cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
211, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.345873835905515, 17.04755920371203]"
212, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.34776742445977, 17.052891205850905]"
244, , ,54101,Vlčice,Vlčice,Vlčice,783773,"[50.557387421542614, 15.825986714417112]"
224, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.34892675130586, 17.05708386105154]"
204, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.3416168830477, 17.04477955041447]"
213, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.34918405854903, 17.054797514833204]"
223, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.34559715119464, 17.04540056437797]"
3, , ,54101,Vlčice,Vlčice,Vlčice,783773,"[50.55996863808329, 15.82432690923456]"
215, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.34744625890247, 17.054199218735754]"
214, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.34786361546135, 17.053257128667436]"
221, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.34320441293549, 17.045980357920918]"
237, , ,54101,Vlčice,Vlčice,Vlčice,783773,"[50.559133147448314, 15.827168139701381]"
220, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.34005802897914, 17.042360000107163]"
216, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.33985354943662, 17.04323980632313]"
218, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.34798951230804, 17.0524180136472]"
217, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.35104998076026, 17.056942958798103]"
222, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.341067979818675, 17.043709427208334]"
219, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.34696227523785, 17.04748426524526]"
239, , ,54101,Vlčice,Vlčice,Vlčice,783773,"[50.55970048399647, 15.827488889591859]"
197, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.33886504374326, 17.04125165257894]"
125, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.35058697203756, 17.05649429078865]"
128, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.3516969501488, 17.057164587763847]"
129, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.35222364175255, 17.058450454986644]"
134, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.354872844603136, 17.057646683449327]"
135, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.35594303147697, 17.05798444979492]"
138, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.357755261562936, 17.058754727034042]"
141, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.35646458158901, 17.060161038543193]"
146, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.35240100262935, 17.060060364870775]"
148, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.350939362888184, 17.05926247508395]"
153, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.350259735102966, 17.058678864512462]"
154, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.34968832791915, 17.058092135346087]"
155, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.349418046898194, 17.05727382105714]"
158, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.348644783953276, 17.057608950083583]"
161, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.34758533318424, 17.054530058229098]"
10, , ,54101,Vlčice,Vlčice,Vlčice,783765,"[50.58220810632858, 15.84073174279614]"
162, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.34723309061905, 17.05397904802396]"
171, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.34642871161659, 17.048444947263846]"
172, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.34620274242267, 17.04802915784552]"
173, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.345981339849864, 17.04768324644447]"
174, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.34581287168738, 17.047455972114097]"
178, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.34576183762315, 17.046122658573427]"
182, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.35047546404718, 17.056723902494443]"
185, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.34307921782219, 17.04600034974103]"
225, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.34886794256079, 17.05383120043199]"
189, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.3432485373959, 17.045549713721165]"
191, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.34833960399242, 17.054042581795724]"
192, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.348327753127144, 17.0545528372889]"
193, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.349379355143945, 17.05640445808528]"
194, , ,79065,Vlčice,Vlčice,Vlčice,783811,"[50.34770719037424, 17.05266075789781]"
