cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
242, ,Padělky,69661,Vnorovy,Lidéřovice,Lidéřovice,784192,"[48.92537646165565, 17.345162555115397]"
258, ,Kostelní,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.93002777349688, 17.345722798623882]"
542, ,Dražky,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.936026282058165, 17.358570305653085]"
468, ,Vinohradní,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.93057371928249, 17.350725621466964]"
34, ,Lideřovská,69661,Vnorovy,Lidéřovice,Lidéřovice,784192,"[48.925816851636526, 17.34359238482011]"
628, ,Dolina,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.92720483758037, 17.351111299494143]"
501, ,Vinohradní,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.929345640873905, 17.352650771711417]"
736, ,Kostelní,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.93112964267251, 17.34460335428353]"
683, ,Znorovská,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.93279191992235, 17.354309670886757]"
694, ,Znorovská,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.934002500158726, 17.355764313735808]"
54, ,Hlavní,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.93311871312906, 17.352002509422153]"
568, ,Dolina,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.92860417356351, 17.350225686299048]"
246, ,Padělky,69661,Vnorovy,Lidéřovice,Lidéřovice,784192,"[48.925320126232634, 17.345605664121116]"
81, ,Padělky,69661,Vnorovy,Lidéřovice,Lidéřovice,784192,"[48.92353696293443, 17.34226145923002]"
587, ,Dolina,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.92743547498212, 17.351931558918896]"
27, ,Lideřovská,69661,Vnorovy,Lidéřovice,Lidéřovice,784192,"[48.92513627026519, 17.34228735787176]"
226, ,Nová,69661,Vnorovy,Lidéřovice,Lidéřovice,784192,"[48.921885322255825, 17.34152553323382]"
67, ,Zahradní,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.934499513033096, 17.351041126928738]"
454, ,Dražky,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.93356869376908, 17.358459508772707]"
254, ,Padělky,69661,Vnorovy,Lidéřovice,Lidéřovice,784192,"[48.924636472919445, 17.344540238551048]"
536, ,Dražky,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.93556344035933, 17.358139563119828]"
647, ,Dolina,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.92841120183362, 17.351988708472355]"
706, ,U Jazera,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.93503602028743, 17.34897196313321]"
240, ,Padělky,69661,Vnorovy,Lidéřovice,Lidéřovice,784192,"[48.9252092171714, 17.34490610622405]"
551, ,Dražky,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.93596860464769, 17.359231219180334]"
659, ,Znorovská,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.93363438379189, 17.354688600190546]"
753, ,Dražky,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.935620737854165, 17.356195324879238]"
209, ,Dolní,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.930692460471654, 17.348194320784074]"
437, ,Hlavní,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.93028902513059, 17.3498437036997]"
382, ,Hlavní,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.93694703051592, 17.356562315054116]"
584, ,Dolina,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.92758973169084, 17.351646778075526]"
229, ,Pátkova,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.93319408417038, 17.348842400183837]"
648, ,Dolina,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.928523849346156, 17.351893203822055]"
171, ,Znorovská,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.93215416817719, 17.35298423694685]"
215, ,Pátkova,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.93341191360855, 17.348220575168593]"
703, ,Znorovská,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.93460198332666, 17.355812168063032]"
69, ,Lideřovská,69661,Vnorovy,Lidéřovice,Lidéřovice,784192,"[48.923459823100714, 17.339916439760678]"
661, ,Dolina,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.927841229610884, 17.350030024234645]"
203, ,Průhony,69661,Vnorovy,Lidéřovice,Lidéřovice,784192,"[48.92136757277297, 17.336893617574685]"
414, ,Za Školou,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.92634282394727, 17.346757829641437]"
287, ,Padělky,69661,Vnorovy,Lidéřovice,Lidéřovice,784192,"[48.923735749298515, 17.343255731131205]"
432, ,Hlavní,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.9271252638396, 17.345885392662126]"
616, ,Zelničky,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.93230853493282, 17.347366895341477]"
591, ,Dolina,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.9266947932329, 17.351412350101107]"
512, ,Vinohradní,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.93008616017274, 17.351525016043844]"
50, ,Hlavní,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.93255153016566, 17.35159919519917]"
148, ,Hlavní,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.9314052739812, 17.35108511780826]"
278, ,Pátkova,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.93258912019243, 17.35036321654364]"
98, ,Spinek,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.937370209693086, 17.35555203519745]"
177, ,Dolní,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.931468713715745, 17.3471688743605]"
319, ,Zahradní,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.93432898282031, 17.350850937805134]"
556, ,Znorovská,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.934283252209916, 17.35609129994916]"
486, ,Hlavní,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.92700017170743, 17.345681202895033]"
452, ,Dražky,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.9337503313447, 17.358261158667155]"
502, ,Dolní,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.93207711613196, 17.34571994949153]"
413, ,Průhonek,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.928036991456544, 17.346325809430695]"
280, ,Hlavní,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.93304842963914, 17.351959494991107]"
94, ,Strážnická,69661,Vnorovy,Lidéřovice,Lidéřovice,784192,"[48.925538985750386, 17.346801587839867]"
577, ,Dolina,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.92797701878295, 17.351021037936913]"
141, ,Průhony,69661,Vnorovy,Lidéřovice,Lidéřovice,784192,"[48.92204051404703, 17.337781394925052]"
366, ,Dražky,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.93472507495589, 17.357179374777132]"
261, ,Dolní,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.93087118468296, 17.34804753212409]"
323, ,Pátkova,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.93257420861562, 17.34910927724738]"
19, ,Lideřovská,69661,Vnorovy,Lidéřovice,Lidéřovice,784192,"[48.92468764460666, 17.341409193058706]"
246, ,Hlavní,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.92669778405861, 17.347233964204598]"
184, ,Hlavní,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.92751315055955, 17.347658598834325]"
103, ,Za zborem,69661,Vnorovy,Lidéřovice,Lidéřovice,784192,"[48.92238083026035, 17.33706786533818]"
170, ,Lideřovská,69661,Vnorovy,Lidéřovice,Lidéřovice,784192,"[48.926253109793834, 17.34403017363899]"
500, ,Májová,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.925107905805525, 17.349045281809317]"
255, ,Padělky,69661,Vnorovy,Lidéřovice,Lidéřovice,784192,"[48.92453455631839, 17.344382794395518]"
154, ,Lideřovská,69661,Vnorovy,Lidéřovice,Lidéřovice,784192,"[48.9262349192705, 17.34359309776866]"
337, ,Zelničky,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.93271610163219, 17.347025367234174]"
471, ,Smetkova,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.93146821750804, 17.352979887007784]"
646, ,Dolina,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.92824273724242, 17.35211954667007]"
476, ,Dražky,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.93327224883155, 17.35873680730865]"
6, ,Kopanice,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.928771750687616, 17.347367251902618]"
372, ,Dolní,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.93008147620009, 17.348923824886274]"
714, ,U Jazera,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.93481898852468, 17.349388361878137]"
86, ,Spinek,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.937576252591214, 17.354909454047554]"
27, ,Dolní,69661,Vnorovy,Vnorovy,Vnorovy,784206,"[48.93153829501239, 17.346926031679352]"
