cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
36, , ,56601,Vraclav,Sedlec,Sedlec,785148,"[49.948554026908255, 16.095823163038464]"
65, , ,56601,Vraclav,Sedlec,Sedlec,785148,"[49.94657052857411, 16.095026071210263]"
33, , ,56601,Vraclav,Sedlec,Sedlec,785148,"[49.948819573207786, 16.095679355065705]"
12, , ,56601,Vraclav,Sedlec,Sedlec,785148,"[49.95204521646937, 16.091004622315804]"
52, , ,56542,Vraclav,Vraclav,Vraclav,785164,"[49.96923806988462, 16.08952960120556]"
69, , ,56601,Vraclav,Sedlec,Sedlec,785148,"[49.94534494790158, 16.096355886107414]"
81, , ,56601,Vraclav,Sedlec,Sedlec,785148,"[49.945341248444414, 16.09606202813931]"
149, , ,56542,Vraclav,Vraclav,Vraclav,785164,"[49.96412778687298, 16.09762444133778]"
76, , ,56542,Vraclav,Vraclav,Vraclav,785164,"[49.9664157948047, 16.093330224686035]"
42, , ,56542,Vraclav,Vraclav,Vraclav,785164,"[49.96889112323067, 16.08778141305815]"
37, , ,56601,Vraclav,Sedlec,Sedlec,785148,"[49.94853848126605, 16.09609550374455]"
8, , ,56542,Vraclav,Vraclav,Vraclav,785164,"[49.96667186430956, 16.091292189978116]"
179, , ,56542,Vraclav,Vraclav,Vraclav,785164,"[49.97025857761704, 16.08669552181176]"
143, , ,56542,Vraclav,Vraclav,Vraclav,785164,"[49.96776240349289, 16.093426888452665]"
92, , ,56542,Vraclav,Vraclav,Vraclav,785164,"[49.968283916918104, 16.090331204024988]"
57, , ,56542,Vraclav,Vraclav,Vraclav,785164,"[49.96857448421355, 16.08900251719707]"
18, , ,56542,Vraclav,Svatý Mikuláš,Svatý Mikuláš,785164,"[49.97136034025228, 16.09129796554568]"
121, , ,56542,Vraclav,Vraclav,Vraclav,785164,"[49.965940624368834, 16.089121554069134]"
198, , ,56542,Vraclav,Vraclav,Vraclav,785164,"[49.97146485457685, 16.08392637834407]"
28, , ,56542,Vraclav,Svatý Mikuláš,Svatý Mikuláš,785164,"[49.9725930157498, 16.09510546203348]"
50, , ,56542,Vraclav,Vraclav,Vraclav,785164,"[49.96954460392976, 16.089025907605837]"
62, , ,56542,Vraclav,Vraclav,Vraclav,785164,"[49.968124562735525, 16.09013512394887]"
5, , ,56601,Vraclav,Sedlec,Sedlec,785148,"[49.94697029767638, 16.094187106207308]"
43, , ,56542,Vraclav,Vraclav,Vraclav,785164,"[49.96897594140582, 16.087948691887355]"
