cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
53, , ,Vracovice,Malovidy,62338858010,"[49.65966044092142, 14.95764479618088]"
91, , ,Vracovice,Vracovice,688627713,"[48.90193467647861, 15.898821569703838]"
13, , ,Vracovice,Malovidy,0,"[49.661013401329534, 14.9587020410385]"
52, , ,Vracovice,Malovidy,60980463010,"[49.66053457885965, 14.956626541112641]"
134, , ,Vracovice,Vracovice,688680713,"[48.901407073902924, 15.901124860523328]"
18, , ,Vracovice,Vracovice,323539201,"[49.661932806274336, 14.93092095130864]"
116, , ,Vracovice,Vracovice,52558315010,"[49.6610216466743, 14.935253413902933]"
49, , ,Vracovice,Malovidy,50062310010,"[49.66236453705704, 14.955602651539857]"
115, , ,Vracovice,Vracovice,44804165010,"[49.664048681354906, 14.933414796337418]"
1, , ,Vracovice,Malovidy,323428201,"[49.66134325960198, 14.958322211349962]"
113, , ,Vracovice,Vracovice,466745201,"[49.663549111301144, 14.927312433427451]"
150, , ,Vracovice,Vracovice,26028786010,"[48.900680043257424, 15.899221874283874]"
111, , ,Vracovice,Vracovice,25722948010,"[49.66381578634989, 14.929172702296716]"
47, , ,Vracovice,Malovidy,16181554010,"[49.661026738743125, 14.954795674895202]"
149, , ,Vracovice,Vracovice,24010551010,"[48.902294470948945, 15.89913989055703]"
48, , ,Vracovice,Malovidy,323559201,"[49.65888026379855, 14.953969565438808]"
146, , ,Vracovice,Vracovice,865389713,"[48.90053708113352, 15.901115213079006]"
84, , ,Vracovice,Vracovice,688639713,"[48.903193322336634, 15.900339285804842]"
110, , ,Vracovice,Vracovice,610818201,"[49.66433399512196, 14.933357364344031]"
109, , ,Vracovice,Vracovice,22775403010,"[49.66042776840892, 14.93263489130107]"
7, , ,Vracovice,Vracovice,635953201,"[49.6609856103737, 14.938892774520154]"
6, , ,Vracovice,Vracovice,16545512010,"[49.6635858356274, 14.928813862587482]"
3, , ,Vracovice,Malovidy,14546262010,"[49.6620482026462, 14.960875941471027]"
1, , ,Vracovice,Vracovice,0,"[49.649763571490155, 14.926652501544936]"
1, , ,Vracovice,Malovidy,323505201,"[49.66178020707545, 14.958030255952737]"
2, , ,Vracovice,Malovidy,323416201,"[49.66119593201511, 14.95825498251788]"
12, , ,Vracovice,Malovidy,323507201,"[49.66113740933905, 14.959325454828987]"
16, , ,Vracovice,Malovidy,323388201,"[49.66001976203353, 14.94757560277118]"
35, , ,Vracovice,Malovidy,323473201,"[49.659699809405396, 14.959213127502286]"
44, , ,Vracovice,Malovidy,323530201,"[49.66057487725933, 14.954258791305879]"
1, , ,Vracovice,Vracovice,323574201,"[49.662456466405516, 14.934410184976949]"
21, , ,Vracovice,Vracovice,323392201,"[49.66185941311771, 14.931616488001648]"
28, , ,Vracovice,Vracovice,323425201,"[49.66201026475779, 14.935194577367179]"
30, , ,Vracovice,Vracovice,323556201,"[49.66234257318739, 14.933342041750956]"
