cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
32, , ,79813,Vrbátky,Vrbátky,Vrbátky,785822,"[49.50848727660207, 17.20309989762852]"
4, , ,79812,Vrbátky,Dubany,Dubany,785806,"[49.51355722399477, 17.193353751757297]"
129, , ,79812,Vrbátky,Dubany,Dubany,785806,"[49.515027557212385, 17.193990436447578]"
267, , ,79813,Vrbátky,Vrbátky,Vrbátky,785822,"[49.50503820619244, 17.200405444242833]"
119, , ,79812,Vrbátky,Štětovice,Štětovice,785814,"[49.49610094362418, 17.207038593880473]"
224, , ,79813,Vrbátky,Vrbátky,Vrbátky,785822,"[49.5052355245764, 17.199065655299325]"
24, , ,79813,Vrbátky,Vrbátky,Vrbátky,785822,"[49.50930867442354, 17.202760931252726]"
109, , ,79813,Vrbátky,Vrbátky,Vrbátky,785822,"[49.507312786345516, 17.201314957029357]"
69, , ,79812,Vrbátky,Dubany,Dubany,785806,"[49.515457821781474, 17.190524545020985]"
144, , ,79813,Vrbátky,Vrbátky,Vrbátky,785822,"[49.5093538490911, 17.20075359941368]"
134, , ,79812,Vrbátky,Dubany,Dubany,785806,"[49.515354275580606, 17.19496111419626]"
196, , ,79812,Vrbátky,Dubany,Dubany,785806,"[49.518289629257616, 17.191429975373097]"
45, , ,79813,Vrbátky,Vrbátky,Vrbátky,785822,"[49.507616219194, 17.199958643053833]"
137, , ,79813,Vrbátky,Vrbátky,Vrbátky,785822,"[49.50710108651584, 17.201193628313078]"
12, , ,79812,Vrbátky,Dubany,Dubany,785806,"[49.515135112909945, 17.189763829007436]"
223, , ,79812,Vrbátky,Dubany,Dubany,785806,"[49.51396501492241, 17.190266305761995]"
3, , ,79813,Vrbátky,Vrbátky,Vrbátky,785822,"[49.50882250222953, 17.201968769688882]"
27, , ,79812,Vrbátky,Štětovice,Štětovice,785814,"[49.49627666243007, 17.2095604230177]"
209, , ,79813,Vrbátky,Vrbátky,Vrbátky,785822,"[49.506108375003414, 17.199983212110062]"
