cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
20, ,Kryrská,43982,Vroutek,Vroutek,Vroutek,786543,"[50.180386139488185, 13.382036044634312]"
478, ,Na Hůrce,43982,Vroutek,Vroutek,Vroutek,786543,"[50.17821667403528, 13.375404427361469]"
22, ,Kryrská,43982,Vroutek,Vroutek,Vroutek,786543,"[50.1801699094193, 13.382380176993925]"
477, ,Na Hůrce,43982,Vroutek,Vroutek,Vroutek,786543,"[50.17829667556814, 13.375385502862402]"
37, , ,44101,Vroutek,Skytaly,Skytaly,749222,"[50.166740774377054, 13.300539913235083]"
474, ,Na Hůrce,43982,Vroutek,Vroutek,Vroutek,786543,"[50.178994027372156, 13.375998749606605]"
22, , ,44101,Vroutek,Lužec,Lužec,631736,"[50.15902253306576, 13.350678404513394]"
20, ,Pod Hájem,43982,Vroutek,Vroutek,Vroutek,786543,"[50.17704740322072, 13.37171584820268]"
479, ,Na Hůrce,43982,Vroutek,Vroutek,Vroutek,786543,"[50.17814826216399, 13.375448933412882]"
14, ,Pod Hájem,43982,Vroutek,Vroutek,Vroutek,786543,"[50.17725376703798, 13.371780308657684]"
15, ,Pod Hájem,43982,Vroutek,Vroutek,Vroutek,786543,"[50.177216860319724, 13.37177488025683]"
514, ,Pod Hájem,43982,Vroutek,Vroutek,Vroutek,786543,"[50.1756439977814, 13.371063732178099]"
5, , ,44101,Vroutek,Skytaly,Skytaly,749222,"[50.16648447824425, 13.298023757155448]"
22, ,Pod Hájem,43982,Vroutek,Vroutek,Vroutek,786543,"[50.17698112802028, 13.3716890464831]"
490, ,Vidhostická,43982,Vroutek,Vroutek,Vroutek,786543,"[50.17191615210823, 13.376593164494123]"
13, ,Pod Hájem,43982,Vroutek,Vroutek,Vroutek,786543,"[50.17728178476092, 13.371787840416342]"
30, , ,44101,Vroutek,Vrbička,Vrbička,749231,"[50.17650557049555, 13.294081895027025]"
17, ,Pod Hájem,43982,Vroutek,Vroutek,Vroutek,786543,"[50.177150585134584, 13.371748078360806]"
3, , ,44101,Vroutek,Skytaly,Skytaly,749222,"[50.16697021789475, 13.298561018976656]"
27, , ,44101,Vroutek,Mlýnce,Mlýnce,631752,"[50.15927600098751, 13.317339883814844]"
21, ,Pod Hájem,43982,Vroutek,Vroutek,Vroutek,786543,"[50.17701938549217, 13.371708316522934]"
18, ,Pod Hájem,43982,Vroutek,Vroutek,Vroutek,786543,"[50.17712256740855, 13.371740546646]"
19, ,Pod Hájem,43982,Vroutek,Vroutek,Vroutek,786543,"[50.177084309942614, 13.371721276538928]"
29, , ,44101,Vroutek,Vrbička,Vrbička,749231,"[50.1760071752678, 13.292783896573557]"
536, ,Zahradní,43982,Vroutek,Vroutek,Vroutek,786543,"[50.175511028434315, 13.383096432928555]"
12, ,Pod Hájem,43982,Vroutek,Vroutek,Vroutek,786543,"[50.177318691478185, 13.371793268834507]"
11, ,Pod Hájem,43982,Vroutek,Vroutek,Vroutek,786543,"[50.17734805993559, 13.371814642440729]"
