cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
105, , ,Víceměřice,Víceměřice,550255709,"[49.34354078697453, 17.163795631550087]"
104, , ,Víceměřice,Víceměřice,550306709,"[49.34355177845758, 17.163922854240088]"
188, , ,Víceměřice,Víceměřice,25933927010,"[49.34442240962571, 17.172733548818247]"
187, , ,Víceměřice,Víceměřice,24924625010,"[49.34273477850698, 17.163836580704324]"
186, , ,Víceměřice,Víceměřice,25353704010,"[49.34271759734115, 17.16343809964468]"
185, , ,Víceměřice,Víceměřice,24640751010,"[49.345261582705334, 17.167901275375936]"
183, , ,Víceměřice,Víceměřice,24586724010,"[49.34243309285498, 17.16350961177138]"
184, , ,Víceměřice,Víceměřice,24278451010,"[49.3428883959258, 17.16520994439709]"
181, , ,Víceměřice,Víceměřice,24118390010,"[49.34302055944528, 17.16666961161371]"
18, , ,Víceměřice,Víceměřice,550339709,"[49.344263160124235, 17.172785727847657]"
80, , ,Víceměřice,Víceměřice,550355709,"[49.34320702735087, 17.171980061159495]"
182, , ,Víceměřice,Víceměřice,16196932010,"[49.34278349039123, 17.16677529360163]"
56, , ,Víceměřice,Víceměřice,550298709,"[49.343533938737714, 17.172828819351274]"
33, , ,Víceměřice,Víceměřice,550404709,"[49.346443309041, 17.171716964459012]"
179, , ,Víceměřice,Víceměřice,16145119010,"[49.34290557099844, 17.16560842743762]"
180, , ,Víceměřice,Víceměřice,23817593010,"[49.343070874797405, 17.167159814670285]"
13, , ,Víceměřice,Víceměřice,550388709,"[49.34225034039564, 17.16925033148702]"
178, , ,Víceměřice,Víceměřice,16179214010,"[49.34247621408203, 17.16389026089534]"
176, , ,Víceměřice,Víceměřice,16155993010,"[49.342959433819985, 17.16601509009459]"
177, , ,Víceměřice,Víceměřice,22663145010,"[49.342781502264316, 17.1642720052461]"
175, , ,Víceměřice,Víceměřice,21893576010,"[49.34251128786961, 17.164285982597626]"
171, , ,Víceměřice,Víceměřice,16264496010,"[49.342793514071545, 17.167202541122222]"
174, , ,Víceměřice,Víceměřice,21796319010,"[49.34282462098198, 17.16465265771086]"
173, , ,Víceměřice,Víceměřice,16168247010,"[49.34297030156321, 17.166317720915576]"
170, , ,Víceměřice,Víceměřice,16477560010,"[49.34262358611828, 17.16530607572328]"
172, , ,Víceměřice,Víceměřice,16155947010,"[49.34253026781974, 17.164711848570267]"
169, , ,Víceměřice,Víceměřice,15696875010,"[49.34262821082816, 17.16565116244428]"
12, , ,Víceměřice,Víceměřice,550246709,"[49.345945352333146, 17.160298500624727]"
168, , ,Víceměřice,Víceměřice,15275290010,"[49.34265433149376, 17.166048265070724]"
167, , ,Víceměřice,Víceměřice,15034975010,"[49.342741279292134, 17.16640833284637]"
162, , ,Víceměřice,Víceměřice,734511709,"[49.34347256516601, 17.166260534261966]"
11, , ,Víceměřice,Víceměřice,550337709,"[49.34392236078495, 17.171398394018812]"
60, , ,Víceměřice,Víceměřice,550347709,"[49.34306844856846, 17.17435338045238]"
114, , ,Víceměřice,Víceměřice,550314709,"[49.34581766470432, 17.169343034537526]"
79, , ,Víceměřice,Víceměřice,550316709,"[49.343983610037746, 17.1703956699239]"
