cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
46, , ,Vítězná,Komárov,287610610,"[50.46100248900588, 15.82182796842933]"
56, , ,Vítězná,Komárov,287620610,"[50.46188835569972, 15.821182187373438]"
13, , ,Vítězná,Komárov,287564610,"[50.45989747836462, 15.826217351052595]"
98, , ,Vítězná,Komárov,15855662010,"[50.46014409538674, 15.82433029958958]"
70, , ,Vítězná,Kocléřov,62029869010,"[50.48791472539709, 15.797738949769546]"
274, , ,Vítězná,Kocléřov,62105913010,"[50.48998154221327, 15.800117079887192]"
48, , ,Vítězná,Komárov,287631610,"[50.459122681148564, 15.82711096306313]"
180, , ,Vítězná,Huntířov,62216078010,"[50.45962404893788, 15.81736325721754]"
1, , ,Vítězná,Komárov,62153806010,"[50.46154527714396, 15.824208859737064]"
232, , ,Vítězná,Huntířov,306523610,"[50.47692651232232, 15.805802038341545]"
74, , ,Vítězná,Huntířov,306455610,"[50.47244907200031, 15.807759127425363]"
109, , ,Vítězná,Komárov,62020863010,"[50.46216754988865, 15.822113801756064]"
24, , ,Vítězná,Huntířov,61903761010,"[50.46874051750776, 15.812608667010464]"
181, , ,Vítězná,Huntířov,62216077010,"[50.45984493425956, 15.81722108498752]"
52, , ,Vítězná,Kocléřov,47939283010,"[50.49453842257152, 15.796402408997265]"
104, , ,Vítězná,Kocléřov,60143235010,"[50.490724650756334, 15.803041323626271]"
64, , ,Vítězná,Záboří,310379610,"[50.48172007060376, 15.831496552089266]"
23, , ,Vítězná,Záboří,310395610,"[50.48002325118473, 15.830465998630261]"
101, , ,Vítězná,Kocléřov,287242610,"[50.49118495741018, 15.803579522894834]"
11, , ,Vítězná,Komárov,306581610,"[50.457337492315865, 15.821622346593927]"
45, , ,Vítězná,Záboří,21303096010,"[50.48081103820479, 15.830963652870295]"
125, , ,Vítězná,Huntířov,47724200010,"[50.481473004563895, 15.805629727553493]"
26, , ,Vítězná,Huntířov,702055610,"[50.46916691682027, 15.811793057227586]"
222, , ,Vítězná,Kocléřov,287322610,"[50.48324350469617, 15.805186499631573]"
221, , ,Vítězná,Kocléřov,287322610,"[50.483362778286434, 15.80507731196951]"
22, , ,Vítězná,Kocléřov,647101610,"[50.49146801219631, 15.797524093281528]"
329, , ,Vítězná,Huntířov,27685479010,"[50.48457039548633, 15.79550386243086]"
328, , ,Vítězná,Huntířov,25496156010,"[50.48167032444668, 15.803337124676622]"
108, , ,Vítězná,Komárov,25693928010,"[50.4630367221536, 15.823484794169739]"
94, , ,Vítězná,Záboří,310377610,"[50.48117577271427, 15.831477593367016]"
107, , ,Vítězná,Komárov,25110960010,"[50.46021131895634, 15.822634103295485]"
29, , ,Vítězná,Nové Záboří,25119619010,"[50.47765951242855, 15.84316699820155]"
106, , ,Vítězná,Komárov,23952350010,"[50.46066243799068, 15.824408019196158]"
104, , ,Vítězná,Komárov,15354066010,"[50.46049719979602, 15.824736514079591]"
76, , ,Vítězná,Komárov,287583610,"[50.460592770038105, 15.822052713986158]"
19, , ,Vítězná,Nové Záboří,651880610,"[50.48126918321801, 15.847576496668847]"
45, , ,Vítězná,Komárov,23545049010,"[50.46132099886212, 15.821747231651758]"
115, , ,Vítězná,Záboří,24092857010,"[50.48127362846611, 15.831814099377896]"
24, , ,Vítězná,Komárov,287579610,"[50.45960918191772, 15.82759579593105]"
74, , ,Vítězná,Komárov,23484914010,"[50.4618867166027, 15.821925746201545]"
88, , ,Vítězná,Kocléřov,0,"[50.494141533968076, 15.786353423482057]"
88, , ,Vítězná,Komárov,14710772010,"[50.46195592755716, 15.829060343785798]"
2, , ,Vítězná,Kocléřov,0,"[50.485679152646284, 15.816339317072156]"
103, , ,Vítězná,Komárov,21555675010,"[50.460342126107015, 15.82448169748829]"
102, , ,Vítězná,Komárov,0,"[50.46366915956157, 15.823707668269417]"
6, , ,Vítězná,Záboří,15437306010,"[50.48796702603437, 15.824441472956568]"
101, , ,Vítězná,Komárov,15627718010,"[50.45993074607318, 15.824189406037608]"
47, , ,Vítězná,Záboří,310357610,"[50.47451156193953, 15.823944872095412]"
78, , ,Vítězná,Záboří,310366610,"[50.4848073063953, 15.838746683339474]"
96, , ,Vítězná,Záboří,310354610,"[50.476895425704896, 15.827112208356748]"
55, , ,Vítězná,Záboří,310373610,"[50.47238691067157, 15.826110863007125]"
47, , ,Vítězná,Komárov,287586610,"[50.46650201222467, 15.821756835355178]"
16, , ,Vítězná,Komárov,287601610,"[50.45985290028547, 15.822197269172772]"
8, , ,Vítězná,Záboří,310374610,"[50.4813642312626, 15.8295557195613]"
50, , ,Vítězná,Komárov,287642610,"[50.466259118504134, 15.820461693392188]"
7, , ,Vítězná,Záboří,310391610,"[50.48010146472522, 15.828734881044847]"
140, , ,Vítězná,Huntířov,306345610,"[50.47486800099285, 15.805936648106995]"
10, , ,Vítězná,Komárov,287567610,"[50.46128199157505, 15.823340094366806]"
111, , ,Vítězná,Záboří,310399610,"[50.48059591831501, 15.828500466556392]"
20, , ,Vítězná,Nové Záboří,310369610,"[50.48024942245003, 15.845001844322956]"
112, , ,Vítězná,Záboří,310393610,"[50.47364001919037, 15.824487109683146]"
8, , ,Vítězná,Komárov,287611610,"[50.46178140189953, 15.822657083087188]"
1, , ,Vítězná,Záboří,310390610,"[50.480215548467534, 15.828468260791622]"
19, , ,Vítězná,Komárov,287572610,"[50.458868903239946, 15.828296070977181]"
32, , ,Vítězná,Komárov,287566610,"[50.46555862069061, 15.816956717727129]"
17, , ,Vítězná,Nové Záboří,310345610,"[50.479258297062906, 15.843713772145728]"
70, , ,Vítězná,Komárov,287559610,"[50.46152729779545, 15.823657991463474]"
31, , ,Vítězná,Komárov,287570610,"[50.45867801654454, 15.828838461045162]"
73, , ,Vítězná,Záboří,310361610,"[50.47989908147075, 15.826580764750693]"
14, , ,Vítězná,Komárov,287568610,"[50.46141510756785, 15.821242189038042]"
79, , ,Vítězná,Komárov,287614610,"[50.45966877053052, 15.822469859318113]"
69, , ,Vítězná,Záboří,310351610,"[50.479602613611526, 15.839642303147468]"
64, , ,Vítězná,Komárov,287600610,"[50.46278842650838, 15.821580076369612]"
45, , ,Vítězná,Záboří,322960610,"[50.48846720525842, 15.843861919365345]"
42, , ,Vítězná,Komárov,388008610,"[50.461417368222655, 15.822183129813219]"
1, , ,Vítězná,Komárov,287639610,"[50.462847309722136, 15.818786797539952]"
62, , ,Vítězná,Komárov,287623610,"[50.46003266005418, 15.820588930015889]"
66, , ,Vítězná,Komárov,287563610,"[50.46415842524269, 15.821866976785055]"
37, , ,Vítězná,Komárov,287594610,"[50.459269224401545, 15.822820613292764]"
20, , ,Vítězná,Komárov,287630610,"[50.458772333434595, 15.828552373561193]"
26, , ,Vítězná,Nové Záboří,310372610,"[50.48152741497014, 15.848022476242967]"
6, , ,Vítězná,Záboří,310375610,"[50.48183764827865, 15.830770751401705]"
10, , ,Vítězná,Nové Záboří,310342610,"[50.4762548978814, 15.843649003380769]"
20, , ,Vítězná,Záboří,310360610,"[50.480395772234516, 15.829587466094996]"
33, , ,Vítězná,Komárov,287581610,"[50.46596928022946, 15.819458943661106]"
158, , ,Vítězná,Kocléřov,287206610,"[50.49039001309784, 15.80080354627124]"
3, , ,Vítězná,Záboří,310376610,"[50.48104714446711, 15.828093049819865]"
29, , ,Vítězná,Komárov,287582610,"[50.45986880605072, 15.827228521150815]"
38, , ,Vítězná,Komárov,287635610,"[50.463185899308, 15.827795867228224]"
31, , ,Vítězná,Záboří,310381610,"[50.47993521756745, 15.824955908982403]"
102, , ,Vítězná,Záboří,310355610,"[50.480774260589136, 15.827746502175904]"
52, , ,Vítězná,Komárov,287577610,"[50.45834149550369, 15.822186518140656]"
4, , ,Vítězná,Záboří,310350610,"[50.48143077475669, 15.828430522538426]"
75, , ,Vítězná,Komárov,287633610,"[50.461683061345376, 15.82341363954007]"
78, , ,Vítězná,Komárov,287627610,"[50.46135601246285, 15.828758621625575]"
10, , ,Vítězná,Záboří,310347610,"[50.48141779673776, 15.830697622277832]"
43, , ,Vítězná,Komárov,287565610,"[50.45894309337119, 15.824372008999863]"
9, , ,Vítězná,Komárov,287569610,"[50.463199496798985, 15.821360029000047]"
41, , ,Vítězná,Komárov,287615610,"[50.46189580399111, 15.829903809583632]"
1, , ,Vítězná,Huntířov,663462610,"[50.481024378489145, 15.795901785175126]"
16, , ,Vítězná,Záboří,310389610,"[50.48087872893574, 15.82965113443352]"
7, , ,Vítězná,Komárov,287626610,"[50.461997504754876, 15.822350036381252]"
61, , ,Vítězná,Komárov,287587610,"[50.463601267355685, 15.822235566555873]"
92, , ,Vítězná,Záboří,310378610,"[50.48138728930736, 15.83212738467173]"
2, , ,Vítězná,Komárov,287598610,"[50.46322656896799, 15.819677982198426]"
240, , ,Vítězná,Kocléřov,287033610,"[50.489827651590765, 15.789271215823971]"
46, , ,Vítězná,Záboří,310348610,"[50.47472728751488, 15.824074159849049]"
42, , ,Vítězná,Záboří,310384610,"[50.48713401199034, 15.823556947478638]"
193, , ,Vítězná,Kocléřov,287162610,"[50.48622136080463, 15.79764765922838]"
59, , ,Vítězná,Komárov,287597610,"[50.45986755241454, 15.823190755993759]"
71, , ,Vítězná,Komárov,287607610,"[50.46186407444742, 15.823151264475992]"
23, , ,Vítězná,Komárov,287613610,"[50.4585204615865, 15.831498163615702]"
81, , ,Vítězná,Komárov,568275610,"[50.465064695157714, 15.8213352191851]"
22, , ,Vítězná,Komárov,287628610,"[50.45873834288813, 15.831393914854386]"
27, , ,Vítězná,Komárov,287618610,"[50.46216106084574, 15.822836425145578]"
101, , ,Vítězná,Záboří,310362610,"[50.486677185320445, 15.824510068057997]"
65, , ,Vítězná,Komárov,287625610,"[50.4628634390142, 15.828492074994262]"
36, , ,Vítězná,Komárov,287585610,"[50.462753703770424, 15.827699699992532]"
53, , ,Vítězná,Komárov,287576610,"[50.46002769022573, 15.821479711194556]"
100, , ,Vítězná,Komárov,643224610,"[50.466824624496084, 15.822341359538411]"
35, , ,Vítězná,Komárov,321261610,"[50.464300134111376, 15.8259446878271]"
87, , ,Vítězná,Komárov,683612610,"[50.45968502539105, 15.824291771970756]"
97, , ,Vítězná,Komárov,688695610,"[50.459666584493945, 15.823938124294243]"
83, , ,Vítězná,Komárov,666036610,"[50.46552918815044, 15.822423504563817]"
82, , ,Vítězná,Komárov,287640610,"[50.45929476745955, 15.82683581084567]"
332, , ,Vítězná,Huntířov,29439219010,"[50.48695285988828, 15.789085794718165]"
67, , ,Vítězná,Huntířov,25464012010,"[50.485038449567355, 15.794394984906106]"
331, , ,Vítězná,Huntířov,29615215010,"[50.47757029131673, 15.805377577773585]"
148, , ,Vítězná,Huntířov,40804092010,"[50.48533770110138, 15.794282425173899]"
25, , ,Vítězná,Nové Záboří,30080465010,"[50.47955159826939, 15.840532169217928]"
9, , ,Vítězná,Záboří,41743192010,"[50.47836976257998, 15.843702040920283]"
1, , ,Vítězná,Záboří,27050390010,"[50.46710426160816, 15.821012921603682]"
272, , ,Vítězná,Kocléřov,53232326010,"[50.48501077682989, 15.8073971326297]"
258, , ,Vítězná,Huntířov,306514610,"[50.48159173743701, 15.79561937210885]"
261, , ,Vítězná,Huntířov,306332610,"[50.48544000289181, 15.792291055158875]"
267, , ,Vítězná,Huntířov,306419610,"[50.48122238250279, 15.802682804195692]"
268, , ,Vítězná,Huntířov,306418610,"[50.48336945082557, 15.797572273509585]"
269, , ,Vítězná,Huntířov,306551610,"[50.48451404386459, 15.78915773934096]"
271, , ,Vítězná,Huntířov,306580610,"[50.471764427999844, 15.807366413017093]"
1, , ,Vítězná,Hájemství,287270610,"[50.489872660403954, 15.770334153742631]"
2, , ,Vítězná,Hájemství,287029610,"[50.48974336891567, 15.771252361936662]"
3, , ,Vítězná,Hájemství,287147610,"[50.490872903209656, 15.772176456165486]"
4, , ,Vítězná,Hájemství,287149610,"[50.49076128386177, 15.771899309384514]"
5, , ,Vítězná,Hájemství,287209610,"[50.49060903630221, 15.774538948547733]"
9, , ,Vítězná,Hájemství,287027610,"[50.49087273245597, 15.774078114112362]"
10, , ,Vítězná,Hájemství,287107610,"[50.491074914768106, 15.77459378022898]"
11, , ,Vítězná,Hájemství,287148610,"[50.491237785365065, 15.775187754354548]"
12, , ,Vítězná,Hájemství,287066610,"[50.49131262792735, 15.77545759225612]"
13, , ,Vítězná,Hájemství,287076610,"[50.491367489039554, 15.775702782638248]"
14, , ,Vítězná,Hájemství,287280610,"[50.49146485218139, 15.775911647604822]"
15, , ,Vítězná,Hájemství,287168610,"[50.49164793429188, 15.776771488957591]"
17, , ,Vítězná,Hájemství,287087610,"[50.492521812505075, 15.776239199146605]"
18, , ,Vítězná,Hájemství,287138610,"[50.49183928645388, 15.777502067561615]"
19, , ,Vítězná,Hájemství,287174610,"[50.4915100806968, 15.777577773190824]"
21, , ,Vítězná,Hájemství,287233610,"[50.49102722969591, 15.77575218348399]"
24, , ,Vítězná,Hájemství,287092610,"[50.49043363219143, 15.774018282082434]"
25, , ,Vítězná,Hájemství,287069610,"[50.490281400515634, 15.773564242467584]"
26, , ,Vítězná,Hájemství,287237610,"[50.49013489960279, 15.773066560992762]"
27, , ,Vítězná,Hájemství,287064610,"[50.48984320276666, 15.772326399156919]"
28, , ,Vítězná,Hájemství,287170610,"[50.48898956284162, 15.771577787443885]"
29, , ,Vítězná,Hájemství,287273610,"[50.488350406303184, 15.772577102582142]"
30, , ,Vítězná,Hájemství,287140610,"[50.487308163794545, 15.774347053926844]"
31, , ,Vítězná,Hájemství,287180610,"[50.48646484913198, 15.771354506285137]"
32, , ,Vítězná,Hájemství,287274610,"[50.486593734064556, 15.770549957499012]"
33, , ,Vítězná,Hájemství,287181610,"[50.48582552024131, 15.771161863159294]"
34, , ,Vítězná,Hájemství,287198610,"[50.48889992712575, 15.769210505850628]"
35, , ,Vítězná,Hájemství,287199610,"[50.489268991309025, 15.768588038370021]"
36, , ,Vítězná,Hájemství,287068610,"[50.48905613092534, 15.767932500906417]"
37, , ,Vítězná,Hájemství,287056610,"[50.48920846315661, 15.76648491838576]"
38, , ,Vítězná,Hájemství,287131610,"[50.48926869990634, 15.765849248327234]"
39, , ,Vítězná,Hájemství,287287610,"[50.48923394306769, 15.765273922880363]"
40, , ,Vítězná,Hájemství,287236610,"[50.489378769873596, 15.764679185121295]"
41, , ,Vítězná,Hájemství,287239610,"[50.48935786010969, 15.764285749879994]"
42, , ,Vítězná,Hájemství,287189610,"[50.48947230607836, 15.763767647364219]"
46, , ,Vítězná,Hájemství,287114610,"[50.490857176361395, 15.762813094022768]"
47, , ,Vítězná,Hájemství,287100610,"[50.49216866964725, 15.777071539621982]"
6, , ,Vítězná,Hájemství,328160610,"[50.490461150311695, 15.771643220452273]"
19, , ,Vítězná,Hájemství,661985610,"[50.492326325306585, 15.77664471440836]"
22, , ,Vítězná,Hájemství,662414610,"[50.4928930416763, 15.775644725092816]"
23, , ,Vítězná,Hájemství,287146610,"[50.48913128853723, 15.76749271709952]"
2, , ,Vítězná,Huntířov,306484610,"[50.48682548200922, 15.7930117079452]"
3, , ,Vítězná,Huntířov,306413610,"[50.460284754124835, 15.819061009342384]"
4, , ,Vítězná,Huntířov,306411610,"[50.483296754179, 15.794109650746865]"
10, , ,Vítězná,Huntířov,306507610,"[50.46179706700144, 15.813929803340796]"
11, , ,Vítězná,Huntířov,306343610,"[50.46210221005074, 15.813178146497686]"
12, , ,Vítězná,Huntířov,306501610,"[50.46243351617701, 15.812293975402218]"
13, , ,Vítězná,Huntířov,306378610,"[50.462547672040074, 15.811053092259879]"
14, , ,Vítězná,Huntířov,306435610,"[50.462778202204056, 15.810272737764622]"
15, , ,Vítězná,Huntířov,306546610,"[50.46191022268327, 15.813511670856474]"
16, , ,Vítězná,Huntířov,306350610,"[50.46380918034952, 15.816590587885004]"
17, , ,Vítězná,Huntířov,306395610,"[50.46377043187376, 15.815959592562965]"
18, , ,Vítězná,Huntířov,306468610,"[50.463675999960024, 15.815310587645307]"
19, , ,Vítězná,Huntířov,306359610,"[50.464167133926196, 15.815460359049217]"
21, , ,Vítězná,Huntířov,306323610,"[50.46455040189679, 15.816098212163132]"
27, , ,Vítězná,Huntířov,306458610,"[50.46618655362182, 15.814872085097491]"
28, , ,Vítězná,Huntířov,306421610,"[50.46646630332642, 15.814621496684978]"
29, , ,Vítězná,Huntířov,306456610,"[50.46592183365562, 15.817233120518035]"
32, , ,Vítězná,Huntířov,306326610,"[50.4655626673749, 15.813328721719433]"
34, , ,Vítězná,Huntířov,306477610,"[50.466289079316354, 15.813477266411317]"
40, , ,Vítězná,Huntířov,306353610,"[50.466730893409235, 15.813692933900334]"
43, , ,Vítězná,Huntířov,306349610,"[50.466597846574146, 15.81265394614598]"
44, , ,Vítězná,Huntířov,306397610,"[50.46678983126207, 15.812320385932786]"
45, , ,Vítězná,Huntířov,306344610,"[50.46714506371881, 15.811871353029865]"
46, , ,Vítězná,Huntířov,306525610,"[50.46727634479353, 15.81109521139921]"
47, , ,Vítězná,Huntířov,306439610,"[50.46756233509254, 15.811524238437604]"
48, , ,Vítězná,Huntířov,306460610,"[50.468100440334354, 15.812771565497329]"
54, , ,Vítězná,Huntířov,306381610,"[50.46941032266493, 15.809152096753719]"
56, , ,Vítězná,Huntířov,306528610,"[50.46952838755961, 15.809754223639713]"
58, , ,Vítězná,Huntířov,306335610,"[50.46992434405568, 15.809723091215355]"
61, , ,Vítězná,Huntířov,306327610,"[50.46806128463792, 15.81082151432956]"
62, , ,Vítězná,Huntířov,306467610,"[50.4683765637342, 15.810323156841848]"
64, , ,Vítězná,Huntířov,306531610,"[50.470222825200956, 15.809242016826701]"
65, , ,Vítězná,Huntířov,306506610,"[50.4704973599296, 15.808325677039404]"
66, , ,Vítězná,Huntířov,306537610,"[50.47012428786339, 15.80877809023592]"
