cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
254, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.9909920938522, 16.66942332535077]"
197, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.98014242496242, 16.663673214743064]"
54, , ,56301,Výprachtice,Koburk,Koburk,667382,"[49.963873076107575, 16.659524427291238]"
2, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.98564619647159, 16.664593672511156]"
217, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.97413152584527, 16.661501756944848]"
216, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.986353788667714, 16.66421517033063]"
1, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.987137304166794, 16.664241247591857]"
90, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.98586080372991, 16.662492042826504]"
291, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.978870558336226, 16.6609113787253]"
3, , ,56301,Výprachtice,Valteřice,Valteřice,787647,"[49.99008800851191, 16.708402365714974]"
116, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.981900489173384, 16.66278428863626]"
25, , ,56301,Výprachtice,Koburk,Koburk,667382,"[49.96439230839443, 16.659780438766166]"
6, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.99468981839933, 16.67040259363711]"
128, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.9857952155086, 16.66550315524543]"
204, , ,56301,Výprachtice,Výprachtice,Výprachtice,787655,"[49.994616039292744, 16.67108014888419]"
386, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.98312938373838, 16.662180018694585]"
199, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.9705590947734, 16.65533538817969]"
223, , ,56301,Výprachtice,Výprachtice,Výprachtice,787655,"[49.9681133581095, 16.63794600217486]"
357, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.983743187834726, 16.70006170003261]"
388, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.99210106530587, 16.668435266153125]"
56, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.973927368935996, 16.663492347775655]"
94, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.98596437043948, 16.661626470469656]"
32, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.97993532070861, 16.660044584262156]"
110, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.98548841301798, 16.665271916426462]"
127, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.985107685807094, 16.665511708773614]"
162, , ,56301,Výprachtice,Výprachtice,Výprachtice,787655,"[49.99366115136306, 16.668771630769996]"
43, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.97680005507641, 16.663450662075007]"
159, , ,56301,Výprachtice,Výprachtice,Výprachtice,787655,"[49.99487537644031, 16.669483412918936]"
148, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.99129715992745, 16.668660765877988]"
46, , ,56301,Výprachtice,Výprachtice,Výprachtice,787655,"[49.97547802787516, 16.652459825301108]"
141, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.989663307996736, 16.669560253068656]"
399, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.97960155817543, 16.65927284195743]"
281, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.991885667737904, 16.66648729230056]"
21, , ,56301,Výprachtice,Valteřice,Valteřice,787647,"[49.986315842235534, 16.705081375179557]"
23, , ,56301,Výprachtice,Koburk,Koburk,667382,"[49.97349326118335, 16.667700679947902]"
172, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.989944245154206, 16.66590901229806]"
6, , ,56301,Výprachtice,Valteřice,Valteřice,787647,"[49.98989899108507, 16.710609268684724]"
31, , ,56301,Výprachtice,Koburk,Koburk,667382,"[49.963835037317665, 16.660806672932697]"
20, , ,56301,Výprachtice,Koburk,Koburk,667382,"[49.97442293061536, 16.66754293432321]"
102, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.97547632683001, 16.661726536339458]"
12, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.983368989104925, 16.66266305960367]"
201, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.991885351149584, 16.668579581661664]"
89, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.9741861010055, 16.663405256915972]"
53, , ,56301,Výprachtice,Koburk,Koburk,667382,"[49.97294892718657, 16.66840658835245]"
41, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.97689929009961, 16.664046888363693]"
22, , ,56301,Výprachtice,Koburk,Koburk,667382,"[49.97329365740376, 16.6680581795903]"
253, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.991023392472265, 16.667343452804076]"
283, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.99180042557024, 16.66673080303573]"
2, , ,56301,Výprachtice,Valteřice,Valteřice,787647,"[49.9912204917631, 16.707493280386846]"
279, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.99201077860791, 16.668917071145536]"
260, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.98175594677415, 16.66100344588301]"
109, , ,56301,Výprachtice,Valteřice,Valteřice,787647,"[49.99305763733192, 16.704999409223415]"
26, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.98234223461117, 16.664117128373185]"
22, , ,56301,Výprachtice,Valteřice,Valteřice,787647,"[49.99356332798702, 16.70100614362386]"
19, , ,56301,Výprachtice,Koburk,Koburk,667382,"[49.97432051562504, 16.666554259940067]"
195, , ,56301,Výprachtice,Výprachtice,Výprachtice,787655,"[49.99500623253828, 16.670544220196785]"
393, , ,56301,Výprachtice,Výprachtice,Výprachtice,787655,"[49.97385351001301, 16.653623027252564]"
17, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.98314654686672, 16.66131121241673]"
238, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.984422006542935, 16.661592452135576]"
59, , ,56301,Výprachtice,Koburk,Koburk,667382,"[49.97557268840129, 16.665575447702214]"
7, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.98444540666186, 16.662757300912535]"
153, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.993526090281726, 16.670198697632618]"
60, , ,56301,Výprachtice,Koburk,Koburk,667382,"[49.97498444015172, 16.666352234312576]"
52, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.9746659039624, 16.661319828478213]"
11, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.99638307446945, 16.67099910756846]"
235, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.99153923149458, 16.667886939297578]"
112, , ,56301,Výprachtice,Výprachtice,Výprachtice,787655,"[49.97358274757428, 16.64846316578535]"
380, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.96931753563861, 16.643875016098345]"
49, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.97517733520164, 16.662906419674798]"
406, , ,56301,Výprachtice,Výprachtice,Výprachtice,787655,"[49.99831943037606, 16.67319111997461]"
25, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.98148343173334, 16.660925423832154]"
14, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.98297072383061, 16.662649435288944]"
98, , ,56301,Výprachtice,Valteřice,Valteřice,787647,"[49.99090941139321, 16.707434838139793]"
78, , ,56301,Výprachtice,Valteřice,Valteřice,787647,"[49.9902000303839, 16.70779268432954]"
25, , ,56301,Výprachtice,Valteřice,Valteřice,787647,"[49.98537767078972, 16.704162297918696]"
376, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.98995228869426, 16.667903615390834]"
40, , ,56301,Výprachtice,Koburk,Koburk,667382,"[49.97262964609076, 16.666322440970493]"
23, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.98424023099627, 16.665979193397224]"
56, , ,56301,Výprachtice,Koburk,Koburk,667382,"[49.97510784867793, 16.665710427175224]"
1, , ,56301,Výprachtice,Koburk,Koburk,667382,"[49.97336997824402, 16.667075543720927]"
8, , ,56301,Výprachtice,Valteřice,Valteřice,787647,"[49.9869812579234, 16.70544951159944]"
326, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.984912213277795, 16.66600731220524]"
131, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.986247473392226, 16.66556138954546]"
251, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[50.0022748193514, 16.682487620115467]"
245, , ,56301,Výprachtice,Výprachtice,Výprachtice,787655,"[49.970711424571, 16.645277774937647]"
345, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.97993090122094, 16.6639681221986]"
237, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.990904986339004, 16.670125069109286]"
33, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.97856453464359, 16.66197529635691]"
12, , ,56301,Výprachtice,Výprachtice,Výprachtice,787655,"[50.002584730298686, 16.68055488730921]"
24, , ,56301,Výprachtice,Valteřice,Valteřice,787647,"[49.99542018915381, 16.708803091663583]"
88, , ,56301,Výprachtice,Výprachtice,Výprachtice,787655,"[49.9743391184933, 16.664369520988686]"
14, , ,56301,Výprachtice,Koburk,Koburk,667382,"[49.9742523725518, 16.666149740874392]"
206, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.98861435398677, 16.667729208788057]"
317, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.98174014186478, 16.663703549866618]"
353, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.981671831231495, 16.660049862161543]"
31, , ,56301,Výprachtice,Výprachtice,Výprachtice,787655,"[49.97214312702223, 16.64757134189855]"
290, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.97886890049568, 16.66101149315379]"
295, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.985030721168286, 16.661451118278954]"
32, , ,56301,Výprachtice,Koburk,Koburk,667382,"[49.96402876988097, 16.661068379271278]"
4, , ,56301,Výprachtice,Valteřice,Valteřice,787647,"[49.98924267424685, 16.708042078798908]"
194, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.98236155629751, 16.66278423252321]"
6, , ,56301,Výprachtice,Valteřice,Valteřice,787647,"[49.988409184210106, 16.706922545284034]"
403, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.988471659570656, 16.659535735071355]"
329, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.97932751360697, 16.665764695797566]"
100, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.97813591276198, 16.66424656824856]"
298, , ,56301,Výprachtice,Výprachtice,Výprachtice,787655,"[49.99678293730063, 16.671929354998174]"
99, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.97837785202418, 16.664061871385304]"
67, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.97369216874571, 16.659205395134496]"
213, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.97825914421194, 16.67162542597957]"
28, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.981416224582304, 16.65987521560518]"
7, , ,56301,Výprachtice,Valteřice,Valteřice,787647,"[49.98800896460471, 16.706419026203257]"
292, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.97888678181934, 16.660794395895206]"
68, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.973063315459946, 16.659545525968156]"
391, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.98861915163808, 16.664435774377516]"
41, , ,56301,Výprachtice,Valteřice,Valteřice,787647,"[49.993916925483965, 16.70316023894226]"
360, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.99084602645967, 16.664566731227733]"
267, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.98909730210692, 16.669120207740544]"
315, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.974164132292245, 16.661826379713208]"
35, , ,56301,Výprachtice,Koburk,Koburk,667382,"[49.97289930243899, 16.667266012815144]"
151, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.99262483377595, 16.667814836744373]"
12, , ,56301,Výprachtice,Koburk,Koburk,667382,"[49.97390728347747, 16.66813416406213]"
322, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.9897536857042, 16.670886865759808]"
65, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.97405223526685, 16.660842517856025]"
407, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.9909671764518, 16.666181810694027]"
47, , ,56301,Výprachtice,Koburk,Koburk,667382,"[49.9740316681885, 16.666992796806127]"
85, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.985645798804654, 16.66208481927226]"
299, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.98261349169369, 16.664795012772267]"
2, , ,56301,Výprachtice,Koburk,Koburk,667382,"[49.972634377895595, 16.667974509338908]"
118, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.98210117520829, 16.66403104749089]"
394, , ,56301,Výprachtice,Výprachtice,Výprachtice,787655,"[49.99980443653785, 16.6765493077434]"
261, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.986421783924186, 16.66622882376196]"
55, , ,56301,Výprachtice,Valteřice,Valteřice,787647,"[49.98969772339424, 16.707673904886125]"
160, , ,56301,Výprachtice,Výprachtice,Výprachtice,787655,"[49.99426662892118, 16.669096019508583]"
1, , ,56301,Výprachtice,Valteřice,Valteřice,787647,"[49.991040023446054, 16.709332779996785]"
305, , ,56301,Výprachtice,Výprachtice,Výprachtice,787655,"[49.969579951089514, 16.644284078149703]"
250, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.98790834599616, 16.66240957415219]"
17, , ,56301,Výprachtice,Koburk,Koburk,667382,"[49.97394037090983, 16.66632293459314]"
4, , ,56134,Výprachtice,Výprachtice,Výprachtice,787655,"[49.98069565230299, 16.663009835578663]"
