cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
499, ,tř. 5. května,Včelná,Včelná,61251835010,"[48.92498356272311, 14.45353830142671]"
774, ,Čtyři chalupy,Včelná,Včelná,31847813010,"[48.920918164841666, 14.447607610630023]"
167, ,Lesní,Včelná,Včelná,747369301,"[48.9190371129065, 14.458930689250447]"
390, ,Borovského,Včelná,Včelná,747227301,"[48.92316250536237, 14.452364867588498]"
511, ,Husova,Včelná,Včelná,747590301,"[48.92208199726963, 14.456336825049034]"
337, ,Jiráskova,Včelná,Včelná,747215301,"[48.919807739836514, 14.456285851787646]"
795, ,Jiřičkova,Včelná,Včelná,62139847010,"[48.92965760012405, 14.46375929776475]"
647, ,Tikalova,Včelná,Včelná,21936672010,"[48.93053255923679, 14.459786303287444]"
793, ,Okružní,Včelná,Včelná,60522352010,"[48.931483126582926, 14.464072930144862]"
237, ,Nádražní,Včelná,Včelná,747510301,"[48.924197600508386, 14.450511545572445]"
17, ,Čtyři chalupy,Včelná,Včelná,747401301,"[48.92119564046546, 14.44621955451246]"
790, ,Tikalova,Včelná,Včelná,46050175010,"[48.92910929538334, 14.459269057993666]"
785, ,Pod Tratí,Včelná,Včelná,51716314010,"[48.92761896050544, 14.456534943821193]"
786, ,Pod Tratí,Včelná,Včelná,51716315010,"[48.92767033062977, 14.456400290252207]"
782, ,Jiráskova,Včelná,Včelná,46740175010,"[48.91954759411447, 14.458916118839147]"
787, ,Čtyři chalupy,Včelná,Včelná,51535250010,"[48.92131268893704, 14.445506553428904]"
784, ,Jiráskova,Včelná,Včelná,40429045010,"[48.91930755432108, 14.459172609877914]"
502, ,Družstevní,Včelná,Včelná,747298301,"[48.92543884562505, 14.452897718257885]"
780, , ,Včelná,Včelná,43081145010,"[48.91530157945188, 14.449994245770226]"
716, ,Okružní,Včelná,Včelná,44172133010,"[48.93015070466046, 14.461655878981466]"
722, ,Tikalova,Včelná,Včelná,24645572010,"[48.928874006035144, 14.459276670406227]"
781, ,Tyršova,Včelná,Včelná,43676098010,"[48.91953542948073, 14.457073226320738]"
771, ,Jiřičkova,Včelná,Včelná,32013813010,"[48.93008188455062, 14.46370883438703]"
770, ,Tikalova,Včelná,Včelná,32272970010,"[48.93106795394875, 14.463572706562735]"
772, ,Tikalova,Včelná,Včelná,34174946010,"[48.92971129256715, 14.458799486882606]"
773, ,Okružní,Včelná,Včelná,30307523010,"[48.92947498439756, 14.46211319704703]"
