cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
5, , ,Všechlapy,Všechlapy,0,"[49.76408023179583, 14.92936910333398]"
6, , ,Všechlapy,Všechlapy,0,"[49.7649089197261, 14.929414530202685]"
11, , ,Všechlapy,Všechlapy,0,"[49.77234846235602, 14.929447894851718]"
90, , ,Všechlapy,Všechlapy,329534208,"[50.221752952642895, 15.02730021879946]"
80, , ,Všechlapy,Všechlapy,0,"[49.777976148324065, 14.910635213389698]"
323, , ,Všechlapy,Všechlapy,61217745010,"[50.22019149400587, 15.024917436126376]"
321, , ,Všechlapy,Všechlapy,61115543010,"[50.222631331987, 15.03147903793236]"
311, , ,Všechlapy,Všechlapy,59778613010,"[50.221982877903386, 15.029151954560588]"
96, , ,Všechlapy,Všechlapy,329577208,"[50.21996146992656, 15.027681087370203]"
315, , ,Všechlapy,Všechlapy,51735306010,"[50.22135973150277, 15.0243315274534]"
31, , ,Všechlapy,Všechlapy,329350208,"[50.2234996892424, 15.034617457606137]"
79, , ,Všechlapy,Všechlapy,60625362010,"[49.77953318123382, 14.91430228731502]"
163, , ,Všechlapy,Všechlapy,329567208,"[50.22183895983416, 15.025714149929872]"
131, , ,Všechlapy,Všechlapy,329495208,"[50.219865880963056, 15.02655572792135]"
124, , ,Všechlapy,Všechlapy,329396208,"[50.22390993857622, 15.037383782888867]"
182, , ,Všechlapy,Všechlapy,329580208,"[50.217243142778194, 15.02903434464748]"
318, , ,Všechlapy,Všechlapy,56731549010,"[50.22379657049023, 15.028476121868094]"
46, , ,Všechlapy,Všechlapy,329543208,"[50.22516359735996, 15.03085711534788]"
320, , ,Všechlapy,Všechlapy,51230266010,"[50.22396682466985, 15.028342878887331]"
30, , ,Všechlapy,Všechlapy,329391208,"[50.22536083061159, 15.030393424725034]"
54, , ,Všechlapy,Všechlapy,329358208,"[50.2230665710759, 15.037271063713655]"
313, , ,Všechlapy,Všechlapy,45541134010,"[50.2251211212312, 15.028378620730397]"
319, , ,Všechlapy,Všechlapy,49379270010,"[50.22240066050822, 15.024546743975002]"
300, , ,Všechlapy,Všechlapy,49344238010,"[50.22396185436187, 15.029375421051842]"
317, , ,Všechlapy,Všechlapy,45158132010,"[50.22373410670668, 15.029689818329846]"
307, , ,Všechlapy,Všechlapy,29499251010,"[50.2249557910955, 15.028680445718413]"
299, , ,Všechlapy,Všechlapy,42594243010,"[50.223999067709265, 15.029933145525153]"
308, , ,Všechlapy,Všechlapy,34304955010,"[50.22464380463899, 15.02918140795808]"
310, , ,Všechlapy,Všechlapy,31520808010,"[50.21994981833972, 15.025055195465551]"
290, , ,Všechlapy,Všechlapy,29384358010,"[50.22125412413937, 15.02449540067234]"
314, , ,Všechlapy,Všechlapy,30888810010,"[50.22283179531338, 15.031270623316242]"
305, , ,Všechlapy,Všechlapy,29466218010,"[50.22320493071748, 15.035222562742295]"
291, , ,Všechlapy,Všechlapy,28004490010,"[50.22298894863081, 15.028794392562734]"
297, , ,Všechlapy,Všechlapy,26943454010,"[50.222577950893815, 15.028976168212928]"
303, , ,Všechlapy,Všechlapy,28847534010,"[50.22416067853576, 15.0282755302062]"
283, , ,Všechlapy,Všechlapy,26327322010,"[50.222411408932345, 15.03046515639082]"
289, , ,Všechlapy,Všechlapy,25076596010,"[50.22235965394482, 15.029076700171759]"
286, , ,Všechlapy,Všechlapy,25369584010,"[50.22337860326361, 15.029775618452138]"
275, , ,Všechlapy,Všechlapy,23919171010,"[50.22196595490939, 15.029466934770873]"
76, , ,Všechlapy,Všechlapy,25701231010,"[49.77798891683028, 14.913589829556424]"
77, , ,Všechlapy,Všechlapy,16542543010,"[49.778693365521754, 14.911416808953158]"
287, , ,Všechlapy,Všechlapy,25239609010,"[50.22347243061269, 15.028612129772876]"
