cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
186, , ,75353,Všechovice,Všechovice,Všechovice,787086,"[49.46034690776891, 17.75448487949951]"
1, , ,66603,Všechovice,Všechovice,Všechovice,787078,"[49.359817053252016, 16.504727824393274]"
307, , ,75353,Všechovice,Všechovice,Všechovice,787086,"[49.45967989525382, 17.751670495436063]"
278, , ,75353,Všechovice,Všechovice,Všechovice,787086,"[49.46024723309518, 17.765083689893146]"
293, , ,75353,Všechovice,Všechovice,Všechovice,787086,"[49.46175132504037, 17.76337351326225]"
4, , ,66603,Všechovice,Všechovice,Všechovice,787078,"[49.35490586982024, 16.493261581099265]"
52, , ,75353,Všechovice,Všechovice,Všechovice,787086,"[49.45952112321286, 17.76233302852768]"
290, , ,75353,Všechovice,Všechovice,Všechovice,787086,"[49.46024714246327, 17.76642755098519]"
13, , ,66603,Všechovice,Všechovice,Všechovice,787078,"[49.357301669805146, 16.493221136942722]"
44, , ,75353,Všechovice,Všechovice,Všechovice,787086,"[49.46086899450695, 17.76072814233764]"
113, , ,75353,Všechovice,Všechovice,Všechovice,787086,"[49.45664892768773, 17.761577913755744]"
69, , ,75353,Všechovice,Všechovice,Všechovice,787086,"[49.46068320403825, 17.75989561009455]"
215, , ,75353,Všechovice,Všechovice,Všechovice,787086,"[49.45983972911589, 17.75580398379577]"
9, , ,75353,Všechovice,Všechovice,Všechovice,787086,"[49.46094619284702, 17.757225844435723]"
98, , ,66603,Všechovice,Všechovice,Všechovice,787078,"[49.35529802138794, 16.491366090218996]"
204, , ,75353,Všechovice,Všechovice,Všechovice,787086,"[49.45734281964162, 17.759761380920107]"
3, , ,66603,Všechovice,Všechovice,Všechovice,787078,"[49.3549818791556, 16.49370138726092]"
14, , ,66603,Všechovice,Všechovice,Všechovice,787078,"[49.35686721348545, 16.49083366559399]"
137, , ,66603,Všechovice,Všechovice,Všechovice,787078,"[49.35693570781805, 16.500421382998493]"
36, , ,75353,Všechovice,Všechovice,Všechovice,787086,"[49.46231053103541, 17.759179108585165]"
300, , ,75353,Všechovice,Všechovice,Všechovice,787086,"[49.45722087018561, 17.760582228565188]"
1, , ,75353,Všechovice,Všechovice,Všechovice,787086,"[49.46085180243768, 17.75731493110871]"
115, , ,66603,Všechovice,Všechovice,Všechovice,787078,"[49.354946480956485, 16.49203527477766]"
26, , ,66603,Všechovice,Všechovice,Všechovice,787078,"[49.358181463116516, 16.494540497014412]"
309, , ,75353,Všechovice,Všechovice,Všechovice,787086,"[49.46088886926465, 17.758965807201363]"
