cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
137, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87031259903934, 14.10242186330691]"
135, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87125540533256, 14.104569532305746]"
110, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87432748046561, 14.081860066213581]"
38, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87235076137643, 14.108206985575672]"
71, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.872787823767744, 14.106461639128915]"
58, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87264230775012, 14.099344693276501]"
151, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87127011959362, 14.098314216630458]"
33, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87561761229887, 14.101545500860205]"
59, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.873161025172855, 14.099021769924105]"
5, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.873834125061705, 14.109379578953181]"
18, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87396026520653, 14.113129502048585]"
39, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.875562075723025, 14.112648169381716]"
181, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.86780950860209, 14.102291131478951]"
77, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.872114977221685, 14.106812272404287]"
123, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.86782472031154, 14.102729116600987]"
13, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87661021879318, 14.114649594907084]"
52, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87412779285599, 14.102926693150193]"
41, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.871669357362144, 14.10470134796131]"
28, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87457151189561, 14.10947332885801]"
30, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.873395144397065, 14.108492299682943]"
164, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.86634168131511, 14.10536715646587]"
117, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87050690574643, 14.099590844352317]"
42, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87185260355635, 14.104619937292366]"
90, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87513004411706, 14.109374475891071]"
33, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.874278720871594, 14.106280150826514]"
121, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.870535811281385, 14.104657010134671]"
29, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87314391645718, 14.10665578147089]"
133, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87302188817609, 14.108766605732075]"
143, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.875473978006156, 14.102009175420466]"
45, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87272221408405, 14.10569574667706]"
76, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.873924813165374, 14.099823561269162]"
113, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.874505431505625, 14.107242138939014]"
146, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87546007438091, 14.102885184162362]"
16, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87427110959149, 14.109837033615747]"
116, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87397283001543, 14.10600163120581]"
182, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.875227634496014, 14.098488139961027]"
70, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.874578114872335, 14.10183441492838]"
98, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87527943840739, 14.101423051498799]"
15, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87349758239193, 14.112111090612835]"
131, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87003261809314, 14.101844872116715]"
153, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87197218116498, 14.103888988317399]"
43, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87263616715817, 14.106157693702677]"
82, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.875015924242284, 14.108352621264139]"
132, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87268375192352, 14.108595908305846]"
55, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87442619884025, 14.101427803783784]"
6, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87377918654756, 14.111900905193702]"
159, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.868669589421906, 14.101638417734254]"
1, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.872971789813754, 14.109248338770103]"
163, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.86840771560292, 14.101844732710905]"
103, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87500069069225, 14.110007122721202]"
165, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.8731872843544, 14.1064354805623]"
4, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87034689102416, 14.101508869693918]"
45, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87521443808096, 14.112103199369653]"
66, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.873431254813184, 14.107821400648714]"
128, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.8723201871761, 14.105442423880675]"
47, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87416779670014, 14.111179437994524]"
162, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87534552361797, 14.10679996869317]"
177, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87060598557538, 14.102056165370765]"
183, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.868153080148375, 14.102512984711597]"
138, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.869929032886056, 14.10291527455479]"
22, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87473278988527, 14.108681771812948]"
78, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.875387926611815, 14.108497481879315]"
96, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87604145332225, 14.101599947753108]"
92, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.872721158849025, 14.104778252454716]"
106, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87182192436183, 14.098507167709718]"
23, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87375856072779, 14.108192888358985]"
107, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87366613329481, 14.108735914297807]"
9, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.874255642378834, 14.110163628357794]"
57, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87244379320849, 14.099123148759638]"
39, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.874316376757186, 14.106566980512275]"
14, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87048090367327, 14.102870509478532]"
172, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.8762751135408, 14.101387008479144]"
19, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.874548255211664, 14.109170127062026]"
120, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.8694961292268, 14.101763323836455]"
16, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87045270603164, 14.103256085908292]"
112, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87290188553308, 14.107025087491232]"
185, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.872212897877866, 14.107276961018828]"
13, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.86940304155595, 14.100254038477516]"
145, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.866842243506014, 14.107007618317558]"
108, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87104477578353, 14.105367251643997]"
140, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.86899806137066, 14.107484319211268]"
180, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.868823232137636, 14.102026195233952]"
130, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.86908920810097, 14.101446911131925]"
125, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.86965505079396, 14.102147279141303]"
6, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.86969656656388, 14.101115103058579]"
11, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.870161312962566, 14.103489115524079]"
2, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.873424805618285, 14.10892673886057]"
34, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.873793513911295, 14.105720896612006]"
109, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.86836722213414, 14.10092937280356]"
35, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87208278514022, 14.105372021670236]"
48, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87368331394194, 14.104120386776122]"
174, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.86899220681357, 14.102284150064381]"
115, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.867153635186, 14.107745178728361]"
24, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.8751142542299, 14.108620796448848]"
86, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87435245335214, 14.107603142978496]"
168, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.875294649145076, 14.099213432628373]"
49, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87623791330519, 14.106631993390522]"
84, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87269599270394, 14.105336578240196]"
17, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87117630920286, 14.105303241689002]"
5, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.86978748014029, 14.10135072258427]"
148, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87334169208536, 14.107292333515991]"
8, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87405175961311, 14.108831270524725]"
170, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.871320442752385, 14.106676734975581]"
12, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.870064854034645, 14.103285059375528]"
42, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87118816142356, 14.097989225599985]"
37, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.871406160316596, 14.105156659533229]"
7, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.86958558731172, 14.10083302719533]"
2, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87003052619118, 14.10093031980053]"
160, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.873055067766174, 14.1124224859354]"
101, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.873426397709174, 14.099736333695564]"
24, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87504191209568, 14.111239461718728]"
56, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.872234818411, 14.09919632359969]"
161, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87452931334369, 14.099314140420452]"
142, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.86948054677654, 14.10651863078403]"
150, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87179665890785, 14.106918130324084]"
35, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.874101333882884, 14.105753075994683]"
3, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87020341270139, 14.101132899760236]"
169, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.8679250462296, 14.100551448738447]"
10, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.870191371128875, 14.102189385061317]"
74, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.874803908646975, 14.108194562325144]"
175, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87123484180933, 14.103070261783031]"
186, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87518002871476, 14.107253243304248]"
171, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.86813017633383, 14.10209410866192]"
166, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87620608942228, 14.102020501673366]"
104, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.874947752349364, 14.109590145113081]"
141, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.86928332611655, 14.106597196566327]"
65, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87534461266934, 14.10084662555823]"
36, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.873785828567755, 14.104941003525736]"
22, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87423070040072, 14.108257163569533]"
40, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.870782065598945, 14.103620046413226]"
43, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87523716392757, 14.112351155166664]"
149, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.870739125784326, 14.10271543789684]"
129, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.868288554448306, 14.100850967528022]"
102, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87457526619069, 14.107409486907175]"
69, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87473485991695, 14.102020467355576]"
67, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.875940229949954, 14.102191325308288]"
46, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87214401941162, 14.098528575746602]"
25, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87449875253446, 14.10776354043446]"
79, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87491029924422, 14.108952800163177]"
87, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.874482982351, 14.108829635648702]"
100, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.867851240101835, 14.107171379539363]"
154, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87148602068741, 14.107500892471952]"
54, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.8743674522116, 14.101876333766391]"
62, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87494128944246, 14.100596141355355]"
93, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.875281740023986, 14.099567587649764]"
68, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87492450183301, 14.10171181112513]"
73, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.872226786481875, 14.105382556960043]"
184, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.8715080650459, 14.097899681608567]"
97, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.874136985408704, 14.100156360471688]"
111, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.866460607218166, 14.105970626967437]"
30, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87155153651292, 14.105079210748466]"
127, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.873777555310895, 14.112081268929789]"
23, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87485222328269, 14.108387715243685]"
95, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.874614299059644, 14.108219465314852]"
152, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.873493728632795, 14.09943389186702]"
91, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.86915609985351, 14.101593944385566]"
51, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87404629534354, 14.103127272989724]"
157, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.872342568814744, 14.104948789999444]"
126, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.869858360419, 14.10255675600783]"
60, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.873762207201075, 14.099536083709868]"
7, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87409361355442, 14.109928688427589]"
14, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.876168194171754, 14.112006313198249]"
119, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.873221808648886, 14.099486187709369]"
173, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.8756479343938, 14.106232451799539]"
28, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87313613627368, 14.104788580093647]"
144, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.875626472879176, 14.102644870122008]"
72, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87110266851909, 14.099316772151427]"
75, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87181703400961, 14.098874430956043]"
124, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.869151514632264, 14.100905613764429]"
63, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.875079062421655, 14.10032796201501]"
147, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87435348928986, 14.104988205879918]"
4, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.873786816860516, 14.109266726785389]"
50, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87403974932846, 14.103451913139683]"
158, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87569837901039, 14.106671623066553]"
18, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.874085236607925, 14.105432987762427]"
20, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87480419520493, 14.109300138819487]"
178, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87629334173615, 14.102872618319948]"
11, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.874399605879226, 14.110470968989155]"
9, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.870305368326754, 14.103778408468889]"
139, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.871706185839976, 14.105931623563448]"
29, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87207778649108, 14.104279899516003]"
156, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.8719130628442, 14.103346509482988]"
105, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87425144299289, 14.102393649667539]"
34, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.874209365163665, 14.105969507507723]"
26, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87310209244508, 14.10804472013648]"
32, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.874177729284106, 14.106639579151423]"
155, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87160499666563, 14.10340868679592]"
36, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.871281945646, 14.099278227466609]"
48, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.86992715971842, 14.099409083496486]"
3, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87355474146129, 14.10924249013665]"
25, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.873107172999816, 14.108422021855834]"
94, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.871617054694404, 14.098773496301098]"
53, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87418516710513, 14.102661149422087]"
88, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.875490274706145, 14.10827659127986]"
49, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.873813115158875, 14.103951358726732]"
61, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87464540307612, 14.100550551784204]"
20, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87502604619294, 14.109164315397079]"
27, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.873054229610965, 14.10775746821034]"
19, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87434301719314, 14.110197427323653]"
10, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87087298879121, 14.10578351351051]"
114, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.86758768871997, 14.107256492075702]"
38, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.871822956746044, 14.104952163516666]"
89, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87581860374758, 14.111858192011914]"
83, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.872583977362126, 14.105423283781375]"
44, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87481042743577, 14.111559507015114]"
1, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.86997228437747, 14.100593520442215]"
122, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87307816803674, 14.10603788066494]"
167, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87520618804437, 14.100525718777321]"
118, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87413979946111, 14.10414660623513]"
15, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.87028362898232, 14.10291481926735]"
37, , ,26726,Všeradice,Všeradice,Všeradice,787299,"[49.873250452569295, 14.104766568028923]"
