cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
66, ,Všestary,25163,Všestary,Všestary,Všestary,787396,"[49.96019854546624, 14.701806215035527]"
185, ,Azalková,25163,Všestary,Všestary,Všestary,787396,"[49.95938293221877, 14.682335194330493]"
85, , ,50312,Všestary,Všestary,Všestary,787434,"[50.260093684973924, 15.754741299676079]"
56, , ,50312,Všestary,Rozběřice,Rozběřice,742228,"[50.264515187605376, 15.749647888168159]"
48, , ,50312,Všestary,Bříza,Bříza,787400,"[50.24065009050536, 15.762118146957198]"
43, , ,50312,Všestary,Bříza,Bříza,787400,"[50.240942201182214, 15.761926942822864]"
22, ,Říčanská,25163,Všestary,Všestary,Všestary,787396,"[49.959201864765525, 14.684913826262562]"
30, , ,50312,Všestary,Rosnice,Rosnice,787418,"[50.24759269611528, 15.751441101078509]"
37, , ,50312,Všestary,Rozběřice,Rozběřice,742228,"[50.26346712465157, 15.749169255868882]"
238, , ,50312,Všestary,Všestary,Všestary,787434,"[50.25884455546479, 15.761246801692817]"
108, ,V Jedlovci,25163,Všestary,Všestary,Všestary,787396,"[49.947673948449136, 14.690921256555514]"
26, , ,50312,Všestary,Rozběřice,Rozběřice,742228,"[50.26632928619215, 15.751480794929476]"
232, , ,50312,Všestary,Všestary,Všestary,787434,"[50.25649510677393, 15.764381930752506]"
57, , ,50312,Všestary,Lípa,Lípa,683922,"[50.280535771848015, 15.731571672040122]"
86, , ,50312,Všestary,Rosnice,Rosnice,787418,"[50.25147134040593, 15.753879361544689]"
279, ,Klikatá,25163,Všestary,Všestary,Všestary,787396,"[49.9511829925119, 14.68754018988333]"
84, , ,50312,Všestary,Rosnice,Rosnice,787418,"[50.251997674970966, 15.75613950089644]"
160, ,Krátká,25163,Všestary,Všestary,Všestary,787396,"[49.95662588151059, 14.683453959349428]"
206, , ,50312,Všestary,Všestary,Všestary,787434,"[50.25579174604913, 15.763354897269947]"
21, , ,50312,Všestary,Bříza,Bříza,787400,"[50.241071335826675, 15.765150033708457]"
6, ,K údolí raků,25163,Všestary,Menčice,Menčice,787396,"[49.95448409384091, 14.699647471001134]"
201, , ,50312,Všestary,Všestary,Všestary,787434,"[50.25460608111587, 15.754749588925105]"
13, , ,50312,Všestary,Rozběřice,Rozběřice,742228,"[50.268854504152614, 15.75086389834031]"
41, , ,50312,Všestary,Rozběřice,Rozběřice,742228,"[50.26811262945535, 15.752110653282871]"
53, , ,50312,Všestary,Rosnice,Rosnice,787418,"[50.24913851196574, 15.75518835093252]"
84, , ,50312,Všestary,Všestary,Všestary,787434,"[50.26022182266268, 15.755483623235294]"
21, ,Hlavní,25163,Všestary,Menčice,Menčice,787396,"[49.95358518898394, 14.6987985445681]"
193, ,Azalková,25163,Všestary,Všestary,Všestary,787396,"[49.95970188810565, 14.681005141839101]"
55, , ,50312,Všestary,Všestary,Všestary,787434,"[50.25246276714353, 15.764332332179368]"
78, , ,50312,Všestary,Rozběřice,Rozběřice,742228,"[50.26611012524054, 15.752081477564424]"
5, , ,50312,Všestary,Rosnice,Rosnice,787418,"[50.24876531966156, 15.75445036832408]"
97, , ,50312,Všestary,Všestary,Všestary,787434,"[50.2598607407392, 15.757350864841923]"
139, , ,50312,Všestary,Všestary,Všestary,787434,"[50.26037933755627, 15.756467639862056]"
65, ,Všestary,25163,Všestary,Všestary,Všestary,787396,"[49.959821231617354, 14.701743852978836]"
53, , ,50312,Všestary,Rozběřice,Rozběřice,742228,"[50.26868906531397, 15.755358402154897]"
76, ,Strančická,25163,Všestary,Všestary,Všestary,787396,"[49.95576792426215, 14.684184673619054]"
42, , ,50312,Všestary,Všestary,Všestary,787434,"[50.25708110711296, 15.758644032748045]"
123, ,Na Vávrově I,25163,Všestary,Všestary,Všestary,787396,"[49.94639295501188, 14.691004399806127]"
50, , ,50312,Všestary,Všestary,Všestary,787434,"[50.25775360442194, 15.75775337357108]"
70, , ,50312,Všestary,Rosnice,Rosnice,787418,"[50.248214074767105, 15.751558915275917]"
18, , ,50312,Všestary,Všestary,Všestary,787434,"[50.254476688747445, 15.759151415574998]"
223, , ,50312,Všestary,Všestary,Všestary,787434,"[50.2558487762991, 15.764572916136116]"
61, , ,50312,Všestary,Bříza,Bříza,787400,"[50.24061027775662, 15.76455383538113]"
60, , ,50312,Všestary,Rozběřice,Rozběřice,742228,"[50.26853043476657, 15.755788603269895]"
55, , ,50312,Všestary,Bříza,Bříza,787400,"[50.24070214962846, 15.768014940573577]"
20, ,Do Hůry,25163,Všestary,Všestary,Všestary,787396,"[49.95908848925368, 14.686540439389836]"
21, , ,50312,Všestary,Chlum,Chlum,651541,"[50.27834015500965, 15.748970693730312]"
65, , ,50312,Všestary,Chlum,Chlum,651541,"[50.280506496062856, 15.74671247967499]"
147, ,Mnichovická,25163,Všestary,Všestary,Všestary,787396,"[49.95797475413465, 14.688971003378008]"
17, , ,50312,Všestary,Všestary,Všestary,787434,"[50.25386946515438, 15.76019336146716]"
376, ,Na Horkách,25163,Všestary,Všestary,Všestary,787396,"[49.95070604744602, 14.689587024054909]"
57, , ,50312,Všestary,Chlum,Chlum,651541,"[50.279410575603464, 15.7473019818408]"
218, ,Vilová,25163,Všestary,Všestary,Všestary,787396,"[49.952648753337456, 14.68141871613102]"
42, , ,50312,Všestary,Rosnice,Rosnice,787418,"[50.24954175385025, 15.754716532076259]"
223, ,Mnichovická,25163,Všestary,Všestary,Všestary,787396,"[49.9450984036916, 14.70017268993756]"
174, , ,50312,Všestary,Všestary,Všestary,787434,"[50.255169129396, 15.763146057427251]"
108, , ,50312,Všestary,Všestary,Všestary,787434,"[50.25957192911828, 15.758115821242537]"
8, , ,50312,Všestary,Chlum,Chlum,651541,"[50.27533186876738, 15.747678516540999]"
95, , ,50312,Všestary,Chlum,Chlum,651541,"[50.27994423107469, 15.749471870535883]"
71, ,Vilová,25163,Všestary,Všestary,Všestary,787396,"[49.952359007301276, 14.682053278387588]"
47, , ,50312,Všestary,Bříza,Bříza,787400,"[50.239311486188214, 15.759861567069853]"
23, , ,50312,Všestary,Lípa,Lípa,683922,"[50.2793902516163, 15.73114327808235]"
250, , ,50312,Všestary,Všestary,Všestary,787434,"[50.25431233843017, 15.752306435362696]"
13, , ,50312,Všestary,Všestary,Všestary,787434,"[50.255206536162305, 15.761387941020663]"
111, , ,50312,Všestary,Všestary,Všestary,787434,"[50.25958831910556, 15.757488222776804]"
83, , ,50312,Všestary,Bříza,Bříza,787400,"[50.23906382762632, 15.756319161476528]"
333, ,Polní,25163,Všestary,Všestary,Všestary,787396,"[49.9554050056924, 14.683284103896716]"
23, ,Hlavní,25163,Všestary,Menčice,Menčice,787396,"[49.95372045352247, 14.700030965933397]"
27, ,K údolí raků,25163,Všestary,Menčice,Menčice,787396,"[49.954805567758655, 14.701256918303507]"
87, , ,50312,Všestary,Chlum,Chlum,651541,"[50.27764862994863, 15.74986075600351]"
64, , ,50312,Všestary,Všestary,Všestary,787434,"[50.254214106525986, 15.755310584684883]"
47, , ,50312,Všestary,Všestary,Všestary,787434,"[50.25854911047167, 15.756982826914637]"
166, , ,50312,Všestary,Všestary,Všestary,787434,"[50.253757657960776, 15.757011786534287]"
15, , ,50312,Všestary,Chlum,Chlum,651541,"[50.27527255260474, 15.747327619634442]"
196, ,Pampelišková,25163,Všestary,Všestary,Všestary,787396,"[49.959162067596516, 14.681770236941302]"
277, ,V zahradách,25163,Všestary,Všestary,Všestary,787396,"[49.955598760669524, 14.684548984583751]"
184, , ,50312,Všestary,Všestary,Všestary,787434,"[50.25847311065812, 15.756161038320455]"
159, ,Krátká,25163,Všestary,Všestary,Všestary,787396,"[49.95674081490215, 14.683883977664298]"
93, , ,50312,Všestary,Všestary,Všestary,787434,"[50.25091491106463, 15.765918850795105]"
4, , ,50312,Všestary,Rosnice,Rosnice,787418,"[50.247871077652356, 15.753943115992033]"
194, ,Azalková,25163,Všestary,Všestary,Všestary,787396,"[49.959693280821085, 14.681210832863844]"
8, , ,50312,Všestary,Všestary,Všestary,787434,"[50.25580411097667, 15.761742647815643]"
229, ,U trati,25163,Všestary,Všestary,Všestary,787396,"[49.94440903629121, 14.697354468102178]"
124, ,Strančická,25163,Všestary,Všestary,Všestary,787396,"[49.9545327014551, 14.683450295843775]"
337, ,Na Horkách,25163,Všestary,Všestary,Všestary,787396,"[49.952170603149916, 14.687949088702778]"
67, , ,50312,Všestary,Rozběřice,Rozběřice,742228,"[50.26794330684538, 15.745877126406205]"
50, ,Všestary,25163,Všestary,Všestary,Všestary,787396,"[49.94455348899946, 14.697852640846309]"
74, , ,50312,Všestary,Rozběřice,Rozběřice,742228,"[50.26900775818283, 15.755157284253608]"
237, ,Klikatá,25163,Všestary,Všestary,Všestary,787396,"[49.950987684301595, 14.688678795574992]"
33, ,Sluneční,25163,Všestary,Všestary,Všestary,787396,"[49.95781670747933, 14.686197147503604]"
49, , ,50312,Všestary,Chlum,Chlum,651541,"[50.28096488369873, 15.750030255009662]"
134, , ,50312,Všestary,Všestary,Všestary,787434,"[50.25128272533287, 15.764552086298972]"
24, , ,50312,Všestary,Chlum,Chlum,651541,"[50.278681875293856, 15.748831459932973]"
204, , ,50312,Všestary,Všestary,Všestary,787434,"[50.25592135449109, 15.762602183305596]"
69, , ,50312,Všestary,Všestary,Všestary,787434,"[50.25369416049154, 15.761147187101145]"
113, , ,50312,Všestary,Všestary,Všestary,787434,"[50.25241598451151, 15.762841501509534]"
72, , ,50312,Všestary,Všestary,Všestary,787434,"[50.25401409733658, 15.751851824201882]"
50, , ,50312,Všestary,Rosnice,Rosnice,787418,"[50.24688285987503, 15.75270024486652]"
68, ,Strančická,25163,Všestary,Všestary,Všestary,787396,"[49.955238358592815, 14.683979588489896]"
150, , ,50312,Všestary,Všestary,Všestary,787434,"[50.26086579775192, 15.756480337681815]"
152, ,V Jedlovci,25163,Všestary,Všestary,Všestary,787396,"[49.947729626596555, 14.691751239486361]"
10, ,Hlavní,25163,Všestary,Menčice,Menčice,787396,"[49.95361129692438, 14.700739872832756]"
16, ,Hlavní,25163,Všestary,Menčice,Menčice,787396,"[49.95423122822212, 14.699514608067535]"
48, ,Říčanská,25163,Všestary,Všestary,Všestary,787396,"[49.9600487769239, 14.681489490351652]"
77, , ,50312,Všestary,Rozběřice,Rozběřice,742228,"[50.26615455967609, 15.751818927737922]"
57, , ,50312,Všestary,Rozběřice,Rozběřice,742228,"[50.26438089794919, 15.749535506813093]"
42, , ,50312,Všestary,Rozběřice,Rozběřice,742228,"[50.266861272658076, 15.752622644542694]"
7, , ,50312,Všestary,Rozběřice,Rozběřice,742228,"[50.26865907117167, 15.752233747912388]"
105, ,Na Vávrově II,25163,Všestary,Všestary,Všestary,787396,"[49.94496277297863, 14.692510213062649]"
40, , ,50312,Všestary,Rozběřice,Rozběřice,742228,"[50.267032608368474, 15.75127033986898]"
64, ,Všestary,25163,Všestary,Všestary,Všestary,787396,"[49.95998704353899, 14.701878204420755]"
