cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
56, , ,79843,Zdětín,Zdětín,Zdětín,792381,"[49.506166420003424, 16.988824199541625]"
279, , ,79843,Zdětín,Zdětín,Zdětín,792381,"[49.52306465802073, 16.977005381914093]"
85, , ,79843,Zdětín,Zdětín,Zdětín,792381,"[49.50600127475866, 16.991158202563938]"
326, , ,79843,Zdětín,Zdětín,Zdětín,792381,"[49.51833208401009, 16.982587364029506]"
226, , ,29471,Zdětín,Zdětín,Zdětín,792373,"[50.30828132486647, 14.813774215293584]"
57, , ,29471,Zdětín,Zdětín,Zdětín,792373,"[50.3104377288039, 14.815538040124991]"
47, , ,79843,Zdětín,Zdětín,Zdětín,792381,"[49.50566426161148, 16.988868526735864]"
81, , ,29471,Zdětín,Zdětín,Zdětín,792373,"[50.31378366721611, 14.8153656883757]"
161, , ,79843,Zdětín,Zdětín,Zdětín,792381,"[49.52160068463657, 16.991289680428704]"
239, , ,29471,Zdětín,Zdětín,Zdětín,792373,"[50.310054425794384, 14.810682059560442]"
244, , ,79843,Zdětín,Zdětín,Zdětín,792381,"[49.5250064655097, 16.979244955985884]"
237, , ,79843,Zdětín,Zdětín,Zdětín,792381,"[49.522578669941, 16.97649920006137]"
85, , ,29471,Zdětín,Zdětín,Zdětín,792373,"[50.313261753868886, 14.813465953249912]"
136, , ,79843,Zdětín,Zdětín,Zdětín,792381,"[49.51836699719531, 16.98081846940599]"
180, , ,79843,Zdětín,Zdětín,Zdětín,792381,"[49.519892375516534, 16.99115727728106]"
22, , ,29471,Zdětín,Zdětín,Zdětín,792373,"[50.312006210676266, 14.813504924607933]"
66, , ,79843,Zdětín,Zdětín,Zdětín,792381,"[49.50687507459524, 16.986694972890056]"
27, , ,79843,Zdětín,Zdětín,Zdětín,792381,"[49.505033642680765, 16.98686242510399]"
319, , ,79843,Zdětín,Zdětín,Zdětín,792381,"[49.524977705506764, 16.979243403385535]"
240, , ,79843,Zdětín,Zdětín,Zdětín,792381,"[49.52129416009847, 16.974064525618637]"
302, , ,79843,Zdětín,Zdětín,Zdětín,792381,"[49.51797569155364, 16.983338039840653]"
135, , ,29471,Zdětín,Zdětín,Zdětín,792373,"[50.31385948070444, 14.812820312901765]"
281, , ,79843,Zdětín,Zdětín,Zdětín,792381,"[49.519099163711125, 16.98095241172489]"
170, , ,79843,Zdětín,Zdětín,Zdětín,792381,"[49.52322081547838, 16.99024185136778]"
177, , ,29471,Zdětín,Zdětín,Zdětín,792373,"[50.31549907249013, 14.812155856472797]"
331, , ,79843,Zdětín,Zdětín,Zdětín,792381,"[49.52157465376108, 16.991710363179557]"
80, , ,29471,Zdětín,Zdětín,Zdětín,792373,"[50.30942707783829, 14.814446591450906]"
90, , ,29471,Zdětín,Zdětín,Zdětín,792373,"[50.312048629538644, 14.810639811184453]"
