cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
116, ,Libeňská,25241,Zlatníky-Hodkovice,Zlatníky,Zlatníky,793221,"[49.95448848076547, 14.47605520958958]"
203, ,Kamenná,25241,Zlatníky-Hodkovice,Zlatníky,Zlatníky,793221,"[49.9618209190804, 14.47728499700439]"
169, ,Nová,25241,Zlatníky-Hodkovice,Zlatníky,Zlatníky,793221,"[49.96163350925806, 14.483045328785028]"
130, ,K Cihelně,25241,Zlatníky-Hodkovice,Hodkovice,Hodkovice, ,"[49.967073083117796, 14.486103728214468]"
136, ,Průmyslová,25241,Zlatníky-Hodkovice,Hodkovice,Hodkovice,793213,"[49.971360886505096, 14.475991206728528]"
331, ,Pod Vrškama,25241,Zlatníky-Hodkovice,Zlatníky,Zlatníky,793221,"[49.96446023341531, 14.482994094358931]"
349, ,Ke Školce,25241,Zlatníky-Hodkovice,Zlatníky,Zlatníky,793221,"[49.95983545764488, 14.48306584657538]"
159, ,Nová,25241,Zlatníky-Hodkovice,Zlatníky,Zlatníky,793221,"[49.96166715901258, 14.483513124734376]"
138, ,Průmyslová,25241,Zlatníky-Hodkovice,Hodkovice,Hodkovice,793213,"[49.97119737813016, 14.477095706600121]"
327, ,Pod Vrškama,25241,Zlatníky-Hodkovice,Zlatníky,Zlatníky,793221,"[49.96429037649045, 14.483260834286892]"
184, ,U Jezera,25241,Zlatníky-Hodkovice,Zlatníky,Zlatníky,793221,"[49.96356148443527, 14.479568923307708]"
128, ,Vestecká,25241,Zlatníky-Hodkovice,Hodkovice,Hodkovice,793213,"[49.97431535345278, 14.483330009743428]"
51, ,Libeňská,25241,Zlatníky-Hodkovice,Zlatníky,Zlatníky,793221,"[49.955890747552125, 14.478610101188478]"
168, ,Nová,25241,Zlatníky-Hodkovice,Zlatníky,Zlatníky,793221,"[49.96168469897846, 14.483759250895366]"
268, ,Na Vrškách,25241,Zlatníky-Hodkovice,Zlatníky,Zlatníky,793221,"[49.96190679764936, 14.48411141204172]"
292, ,U Hřbitova,25241,Zlatníky-Hodkovice,Zlatníky,Zlatníky,793221,"[49.961259974137214, 14.478332473012058]"
167, ,Nová,25241,Zlatníky-Hodkovice,Zlatníky,Zlatníky,793221,"[49.9616249820825, 14.482799542763203]"
135, ,Inovační,25241,Zlatníky-Hodkovice,Hodkovice,Hodkovice,793213,"[49.97396587597159, 14.480294329580731]"
129, ,V uličce,25241,Zlatníky-Hodkovice,Zlatníky,Zlatníky,793221,"[49.9614619128131, 14.482445845788632]"
82, ,Na Terase,25241,Zlatníky-Hodkovice,Hodkovice,Hodkovice,793213,"[49.973322941273416, 14.483807816711026]"
357, ,V Břínkách,25241,Zlatníky-Hodkovice,Zlatníky,Zlatníky,793221,"[49.96364853494375, 14.478866870469094]"
94, ,Slunečná,25241,Zlatníky-Hodkovice,Hodkovice,Hodkovice,793213,"[49.96740437355341, 14.482966355412307]"
140, ,K Cihelně,25241,Zlatníky-Hodkovice,Hodkovice,Hodkovice,793213,"[49.968322361942114, 14.484980228021547]"
53, ,Libeňská,25241,Zlatníky-Hodkovice,Zlatníky,Zlatníky,793221,"[49.955842096667354, 14.478229658355835]"
22, ,Na Drahách,25241,Zlatníky-Hodkovice,Zlatníky,Zlatníky,793221,"[49.95568968648724, 14.480512575448527]"
73, ,Kamenná,25241,Zlatníky-Hodkovice,Zlatníky,Zlatníky,793221,"[49.96201079146548, 14.479847308890973]"
14, ,Na Osice,25241,Zlatníky-Hodkovice,Hodkovice,Hodkovice,793213,"[49.97033282587831, 14.483963447643497]"
326, ,Náves sv. Petra a Pavla,25241,Zlatníky-Hodkovice,Zlatníky,Zlatníky,793221,"[49.96010534604865, 14.481791515381305]"
80, ,K Cihelně,25241,Zlatníky-Hodkovice,Hodkovice,Hodkovice,793213,"[49.96828944046955, 14.483946469067178]"
