cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
82, ,Hlavní,28574,Záboří nad Labem,Záboří nad Labem,Záboří nad Labem,789348,"[50.026328547882954, 15.3520020845695]"
86, ,Krátká,28574,Záboří nad Labem,Záboří nad Labem,Záboří nad Labem,789348,"[50.02765002415255, 15.347708886581776]"
27, , ,28401,Záboří nad Labem,Habrkovice,Habrkovice,789321,"[49.99897511025989, 15.377027671404392]"
28, , ,28401,Záboří nad Labem,Habrkovice,Habrkovice,789321,"[50.00058949600741, 15.378964593321214]"
79, ,Kateřinská,28574,Záboří nad Labem,Záboří nad Labem,Záboří nad Labem,789348,"[50.0227665746735, 15.351652362186808]"
87, ,Školní,28574,Záboří nad Labem,Záboří nad Labem,Záboří nad Labem,789348,"[50.02579548181823, 15.350783399655668]"
35, , ,28401,Záboří nad Labem,Habrkovice,Habrkovice,789321,"[49.99922475227624, 15.377766566395664]"
88, ,Lesní,28574,Záboří nad Labem,Záboří nad Labem,Záboří nad Labem,789348,"[50.02606646810973, 15.352573336510094]"
89, ,Lesní,28574,Záboří nad Labem,Záboří nad Labem,Záboří nad Labem,789348,"[50.02608543145848, 15.352133642177321]"
32, , ,28401,Záboří nad Labem,Habrkovice,Habrkovice,789321,"[50.000288367380946, 15.379050928469647]"
90, ,U Kostela,28574,Záboří nad Labem,Záboří nad Labem,Záboří nad Labem,789348,"[50.024412615850416, 15.349701518962682]"
30, , ,28401,Záboří nad Labem,Habrkovice,Habrkovice,789321,"[49.99612504065363, 15.375048748509522]"
74, ,Hlavní,28574,Záboří nad Labem,Záboří nad Labem,Záboří nad Labem,789348,"[50.02512858358079, 15.352066110431178]"
85, ,U Nádraží,28574,Záboří nad Labem,Záboří nad Labem,Záboří nad Labem,789348,"[50.03207966473142, 15.349606081148654]"
33, , ,28401,Záboří nad Labem,Habrkovice,Habrkovice,789321,"[49.99889041230616, 15.376762919480976]"
78, ,Hlavní,28574,Záboří nad Labem,Záboří nad Labem,Záboří nad Labem,789348,"[50.02744152879812, 15.35108287541918]"
31, , ,28401,Záboří nad Labem,Habrkovice,Habrkovice,789321,"[49.99587317839735, 15.374169783614427]"
77, ,Školní,28574,Záboří nad Labem,Záboří nad Labem,Záboří nad Labem,789348,"[50.02614788780349, 15.35122136194202]"
80, ,Na Písku,28574,Záboří nad Labem,Záboří nad Labem,Záboří nad Labem,789348,"[50.024930073064205, 15.352414045638465]"
76, ,Hlavní,28574,Záboří nad Labem,Záboří nad Labem,Záboří nad Labem,789348,"[50.024100365247136, 15.350774754996237]"
26, , ,28401,Záboří nad Labem,Habrkovice,Habrkovice,789321,"[49.995868901921654, 15.373214820763486]"
83, ,U Nádraží,28574,Záboří nad Labem,Záboří nad Labem,Záboří nad Labem,789348,"[50.03183209741119, 15.350695068718224]"
75, ,Školní,28574,Záboří nad Labem,Záboří nad Labem,Záboří nad Labem,789348,"[50.02566611548151, 15.35030216368677]"
84, ,U Nádraží,28574,Záboří nad Labem,Záboří nad Labem,Záboří nad Labem,789348,"[50.03162132292077, 15.350553105289572]"
150, ,Na Skalce,28574,Záboří nad Labem,Záboří nad Labem,Záboří nad Labem,789348,"[50.030984679752464, 15.3551946480391]"
29, , ,28401,Záboří nad Labem,Habrkovice,Habrkovice,789321,"[49.99878480862178, 15.380072555352116]"
17, , ,28401,Záboří nad Labem,Habrkovice,Habrkovice,789321,"[50.00155305906037, 15.37889074754819]"
24, , ,28401,Záboří nad Labem,Habrkovice,Habrkovice,789321,"[49.99995100536154, 15.376656210704375]"
115, ,Ke Hřišti,28574,Záboří nad Labem,Záboří nad Labem,Záboří nad Labem,789348,"[50.02701322572448, 15.347227680624721]"
14, , ,28401,Záboří nad Labem,Habrkovice,Habrkovice,789321,"[50.00016332158113, 15.379637378902437]"
116, ,Lesní,28574,Záboří nad Labem,Záboří nad Labem,Záboří nad Labem,789348,"[50.02653707925393, 15.353016512286406]"
12, , ,28401,Záboří nad Labem,Habrkovice,Habrkovice,789321,"[49.99972274593615, 15.379905291495495]"
11, , ,28401,Záboří nad Labem,Habrkovice,Habrkovice,789321,"[49.999401576391556, 15.379854927281773]"
10, , ,28401,Záboří nad Labem,Habrkovice,Habrkovice,789321,"[49.99922983200342, 15.379860015947703]"
9, , ,28401,Záboří nad Labem,Habrkovice,Habrkovice,789321,"[49.99885629640733, 15.379608929082702]"
8, , ,28401,Záboří nad Labem,Habrkovice,Habrkovice,789321,"[49.99916912229348, 15.377186945927356]"
117, ,Lesní,28574,Záboří nad Labem,Záboří nad Labem,Záboří nad Labem,789348,"[50.027148210188436, 15.353179262129911]"
118, ,Lesní,28574,Záboří nad Labem,Záboří nad Labem,Záboří nad Labem,789348,"[50.027004350159444, 15.35308058230343]"
7, , ,28401,Záboří nad Labem,Habrkovice,Habrkovice,789321,"[49.99835312579766, 15.380451187513433]"
113, ,Hlavní,28574,Záboří nad Labem,Záboří nad Labem,Záboří nad Labem,789348,"[50.02285690449787, 15.351986439859036]"
6, , ,28401,Záboří nad Labem,Habrkovice,Habrkovice,789321,"[49.99963927541784, 15.379204536946698]"
3, , ,28401,Záboří nad Labem,Habrkovice,Habrkovice,789321,"[49.99906319419896, 15.3771090338446]"
119, ,Lesní,28574,Záboří nad Labem,Záboří nad Labem,Záboří nad Labem,789348,"[50.026811421661456, 15.352935161206291]"
2, , ,28401,Záboří nad Labem,Habrkovice,Habrkovice,789321,"[49.99899060426857, 15.377558824308379]"
1, , ,28401,Záboří nad Labem,Habrkovice,Habrkovice,789321,"[49.99943339885922, 15.377318577638802]"
120, ,K Havaji,28574,Záboří nad Labem,Záboří nad Labem,Záboří nad Labem,789348,"[50.02652034430097, 15.348758010552473]"
121, ,Hlavní,28574,Záboří nad Labem,Záboří nad Labem,Záboří nad Labem,789348,"[50.03221126064352, 15.352365771854872]"
308, ,Kateřinská,28574,Záboří nad Labem,Záboří nad Labem,Záboří nad Labem,789348,"[50.021555455203234, 15.352027957860113]"
122, ,U Kostela,28574,Záboří nad Labem,Záboří nad Labem,Záboří nad Labem,789348,"[50.02367656777035, 15.34900048644241]"
307, ,Příčná,28574,Záboří nad Labem,Záboří nad Labem,Záboří nad Labem,789348,"[50.03020389313898, 15.351967534758332]"
306, ,Souběžná,28574,Záboří nad Labem,Záboří nad Labem,Záboří nad Labem,789348,"[50.02879538545674, 15.352142357559824]"
305, ,U Nádraží,28574,Záboří nad Labem,Záboří nad Labem,Záboří nad Labem,789348,"[50.03121868598911, 15.347691326560858]"
4, , ,28401,Záboří nad Labem,Habrkovice,Habrkovice,789321,"[49.99953242281097, 15.378325567999106]"
25, , ,28401,Záboří nad Labem,Habrkovice,Habrkovice,789321,"[49.998793281626604, 15.377245567681449]"
112, ,Hlavní,28574,Záboří nad Labem,Záboří nad Labem,Záboří nad Labem,789348,"[50.02295615893247, 15.35186873570855]"
109, ,K Havaji,28574,Záboří nad Labem,Záboří nad Labem,Záboří nad Labem,789348,"[50.02681921766623, 15.348643743071818]"
91, ,U Kostela,28574,Záboří nad Labem,Záboří nad Labem,Záboří nad Labem,789348,"[50.024468379933595, 15.350056377429247]"
51, ,Na Písku,28574,Záboří nad Labem,Záboří nad Labem,Záboří nad Labem,789348,"[50.02532168151623, 15.35446452568811]"
92, ,Školní,28574,Záboří nad Labem,Záboří nad Labem,Záboří nad Labem,789348,"[50.025917038393565, 15.350492578077965]"
23, , ,28401,Záboří nad Labem,Habrkovice,Habrkovice,789321,"[49.99608512710431, 15.373875782624062]"
