cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
1627,4,U Nádraží,Zábřeh,Zábřeh,223496809,"[49.87177555936804, 16.886505848541383]"
1627,4,U Nádraží,Zábřeh,Zábřeh,223496809,"[49.87182780582127, 16.886515174820396]"
1627,4,U Nádraží,Zábřeh,Zábřeh,223496809,"[49.8718638942453, 16.886453818788855]"
1627,4,U Nádraží,Zábřeh,Zábřeh,223496809,"[49.871913716848354, 16.886405770267224]"
1627,4,U Nádraží,Zábřeh,Zábřeh,223496809,"[49.87197406183167, 16.886300633897626]"
1627,4,U Nádraží,Zábřeh,Zábřeh,223496809,"[49.87203893516178, 16.886176862576033]"
1627,4,U Nádraží,Zábřeh,Zábřeh,223496809,"[49.872070827126706, 16.88609618227167]"
1627,4,U Nádraží,Zábřeh,Zábřeh,223496809,"[49.87205987049887, 16.885998084408705]"
2313,1,Mánesova,Zábřeh,Zábřeh,469246809,"[49.8846712179049, 16.881112618780705]"
2313,1,Mánesova,Zábřeh,Zábřeh,469246809,"[49.88460489111901, 16.88095894902316]"
2428,27,Morávkova,Zábřeh,Zábřeh,16456279010,"[49.88575972338339, 16.867530181966448]"
2428,27,Morávkova,Zábřeh,Zábřeh,16456279010,"[49.885773670232965, 16.867396824977387]"
2428,27,Morávkova,Zábřeh,Zábřeh,16456279010,"[49.88570286480187, 16.867368415152892]"
411,11,Postřelmovská,Zábřeh,Zábřeh,226079809,"[49.88399571755946, 16.882633868635597]"
411,11,Postřelmovská,Zábřeh,Zábřeh,226079809,"[49.88391038329231, 16.88247445706683]"
649,11,Československé armády,Zábřeh,Zábřeh,226592809,"[49.88097038517906, 16.880899518046263]"
649,11,Československé armády,Zábřeh,Zábřeh,226592809,"[49.880753051979404, 16.881010469800366]"
649,11,Československé armády,Zábřeh,Zábřeh,226592809,"[49.8805392955858, 16.881120842443945]"
649,11,Československé armády,Zábřeh,Zábřeh,226592809,"[49.88032059815087, 16.881230333960705]"
649,11,Československé armády,Zábřeh,Zábřeh,226592809,"[49.880104427095276, 16.881341094896655]"
652,8,Československé armády,Zábřeh,Zábřeh,226108809,"[49.87987963941578, 16.88022721977007]"
652,8,Československé armády,Zábřeh,Zábřeh,226108809,"[49.87998097043932, 16.880027579034845]"
653,6,Československé armády,Zábřeh,Zábřeh,226703809,"[49.8802915786713, 16.8794369550781]"
653,6,Československé armády,Zábřeh,Zábřeh,226703809,"[49.88039432306282, 16.87924085948136]"
659,2,17. listopadu,Zábřeh,Zábřeh,226109809,"[49.87955173290554, 16.878090897732804]"
659,2,17. listopadu,Zábřeh,Zábřeh,226109809,"[49.87969740529459, 16.87805265556217]"
659,2,17. listopadu,Zábřeh,Zábřeh,226109809,"[49.87984074332815, 16.878014650708334]"
671,7,17. listopadu,Zábřeh,Zábřeh,226111809,"[49.87857646724925, 16.879910058318792]"
671,7,17. listopadu,Zábřeh,Zábřeh,226111809,"[49.87838153897306, 16.880087752041]"
672,4,17. listopadu,Zábřeh,Zábřeh,226759809,"[49.878996016235995, 16.878818794018695]"
672,4,17. listopadu,Zábřeh,Zábřeh,226759809,"[49.87913599942587, 16.878696280093248]"
673,9,17. listopadu,Zábřeh,Zábřeh,226112809,"[49.878104809078295, 16.88075442759524]"
673,9,17. listopadu,Zábřeh,Zábřeh,226112809,"[49.87828328193663, 16.880971786227636]"
831,1,17. listopadu,Zábřeh,Zábřeh,226115809,"[49.879937990136085, 16.878754775712842]"
831,1,17. listopadu,Zábřeh,Zábřeh,226115809,"[49.880059379924184, 16.878640721252403]"
832,3,17. listopadu,Zábřeh,Zábřeh,226116809,"[49.87968428947961, 16.879071522290094]"
832,3,17. listopadu,Zábřeh,Zábřeh,226116809,"[49.87979703754038, 16.878970057862087]"
833,5,17. listopadu,Zábřeh,Zábřeh,226117809,"[49.87938860824661, 16.87926187431022]"
833,5,17. listopadu,Zábřeh,Zábřeh,226117809,"[49.879499922949975, 16.87917533143459]"
865,4,Křížkovského,Zábřeh,Zábřeh,226643809,"[49.87920351211328, 16.880380715590675]"
865,4,Křížkovského,Zábřeh,Zábřeh,226643809,"[49.87907554656398, 16.880221918942716]"
872,5,Křížkovského,Zábřeh,Zábřeh,226121809,"[49.8792382201356, 16.879832884332288]"
872,5,Křížkovského,Zábřeh,Zábřeh,226121809,"[49.87941598584239, 16.880055815051016]"
973,1,Křížkovského,Zábřeh,Zábřeh,226127809,"[49.878640838610764, 16.87785207621691]"
973,1,Křížkovského,Zábřeh,Zábřeh,226127809,"[49.878598007623026, 16.87760733835417]"
974,3,Křížkovského,Zábřeh,Zábřeh,226128809,"[49.87873983775543, 16.87843200437638]"
974,3,Křížkovského,Zábřeh,Zábřeh,226128809,"[49.87870186885452, 16.878188298181357]"
660,7,28. října,Zábřeh,Zábřeh,226110809,"[49.879741686255436, 16.87716612299754]"
660,7,28. října,Zábřeh,Zábřeh,226110809,"[49.87960438120332, 16.877205113256093]"
660,7,28. října,Zábřeh,Zábřeh,226110809,"[49.8794609125987, 16.877241182956308]"
885,29,28. října,Zábřeh,Zábřeh,226123809,"[49.87678892531583, 16.879129435559182]"
885,29,28. října,Zábřeh,Zábřeh,226123809,"[49.8767265221192, 16.879232127221588]"
258,3,Kosmonautů,Zábřeh,Zábřeh,226063809,"[49.88141367272969, 16.875336988855473]"
258,3,Kosmonautů,Zábřeh,Zábřeh,226063809,"[49.88127137749884, 16.875460032548403]"
258,3,Kosmonautů,Zábřeh,Zábřeh,226063809,"[49.88113014585663, 16.87558276357732]"
302,1,Kosmonautů,Zábřeh,Zábřeh,226069809,"[49.8819213538707, 16.874903300533436]"
302,1,Kosmonautů,Zábřeh,Zábřeh,226069809,"[49.88177983839345, 16.875020484800014]"
302,1,Kosmonautů,Zábřeh,Zábřeh,226069809,"[49.88163733258255, 16.87514174575435]"
535,4,Kosmonautů,Zábřeh,Zábřeh,225342809,"[49.88088484661188, 16.875404058868668]"
535,4,Kosmonautů,Zábřeh,Zábřeh,225342809,"[49.88102864606767, 16.875284549912]"
535,4,Kosmonautů,Zábřeh,Zábřeh,225342809,"[49.88116604815102, 16.87515866040565]"
538,6,Kosmonautů,Zábřeh,Zábřeh,226607809,"[49.880730397136524, 16.874958985918248]"
538,6,Kosmonautů,Zábřeh,Zábřeh,226607809,"[49.88087394378149, 16.87483573960956]"
538,6,Kosmonautů,Zábřeh,Zábřeh,226607809,"[49.88101517465636, 16.874713007056126]"
543,8,Kosmonautů,Zábřeh,Zábřeh,226099809,"[49.88058068533786, 16.874513149114065]"
543,8,Kosmonautů,Zábřeh,Zábřeh,226099809,"[49.88072294751597, 16.87438829091269]"
543,8,Kosmonautů,Zábřeh,Zábřeh,226099809,"[49.880864177931194, 16.87426555743999]"
408,5,Postřelmovská,Zábřeh,Zábřeh,226077809,"[49.88227341848202, 16.87946281013091]"
408,5,Postřelmovská,Zábřeh,Zábřeh,226077809,"[49.88219045037957, 16.879278264069864]"
410,9,Postřelmovská,Zábřeh,Zábřeh,226078809,"[49.88375006746643, 16.882102757302135]"
410,9,Postřelmovská,Zábřeh,Zábřeh,226078809,"[49.88366757928942, 16.881944006590675]"
251,10,Školská,Zábřeh,Zábřeh,226062809,"[49.882993634706644, 16.879300904786493]"
251,10,Školská,Zábřeh,Zábřeh,226062809,"[49.88299443300352, 16.879082387351605]"
467,1,Nerudova,Zábřeh,Zábřeh,226664809,"[49.88446065134285, 16.878284857929742]"
467,1,Nerudova,Zábřeh,Zábřeh,226664809,"[49.884487398961916, 16.878043669741544]"
285,2,Nerudova,Zábřeh,Zábřeh,226067809,"[49.88450162593778, 16.877882154536856]"
285,2,Nerudova,Zábřeh,Zábřeh,226067809,"[49.88452543106519, 16.87763220772462]"
407,3,Bezručova,Zábřeh,Zábřeh,226076809,"[49.88490970377717, 16.8780993399483]"
