cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
375, , ,74221,Závišice,Závišice,Závišice,791261,"[49.613672586583235, 18.10658119505119]"
79, , ,74221,Závišice,Závišice,Závišice,791261,"[49.617030483817146, 18.105152771628138]"
142, , ,74221,Závišice,Závišice,Závišice,791261,"[49.6112299614802, 18.100372768337476]"
83, , ,74221,Závišice,Závišice,Závišice,791261,"[49.60852748922278, 18.102341054239755]"
104, , ,74221,Závišice,Závišice,Závišice,791261,"[49.61052662763799, 18.099012525492864]"
131, , ,74221,Závišice,Závišice,Závišice,791261,"[49.61388586094549, 18.104056662085288]"
90, , ,74221,Závišice,Závišice,Závišice,791261,"[49.6087137802423, 18.102249513922366]"
158, , ,74221,Závišice,Závišice,Závišice,791261,"[49.610680943356165, 18.102560907395674]"
362, , ,74221,Závišice,Závišice,Závišice,791261,"[49.6134259615643, 18.10747591141275]"
278, , ,74221,Závišice,Závišice,Závišice,791261,"[49.615623463976554, 18.10677733589126]"
5, , ,74221,Závišice,Závišice,Závišice,791261,"[49.61248461803069, 18.09449465830344]"
213, , ,74221,Závišice,Závišice,Závišice,791261,"[49.613833294436375, 18.10555129284217]"
395, , ,74221,Závišice,Závišice,Závišice,791261,"[49.60673144074287, 18.09996678186578]"
92, , ,74221,Závišice,Závišice,Závišice,791261,"[49.61187940462979, 18.10230808655925]"
162, , ,74221,Závišice,Závišice,Závišice,791261,"[49.61330450573002, 18.106450539656983]"
51, , ,74221,Závišice,Závišice,Závišice,791261,"[49.61655987655858, 18.10367681394763]"
150, , ,74221,Závišice,Závišice,Závišice,791261,"[49.607604031143886, 18.098608643615584]"
86, , ,74221,Závišice,Závišice,Závišice,791261,"[49.61509530403225, 18.125368739037416]"
17, , ,74221,Závišice,Závišice,Závišice,791261,"[49.61188427574971, 18.105360928362376]"
99, , ,74221,Závišice,Závišice,Závišice,791261,"[49.62013649829674, 18.10159543618191]"
