cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
9, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.96328947819283, 15.935854497768966]"
57, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.96416079432801, 15.938582307101758]"
50, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.963433295154694, 15.940774296135045]"
28, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.96206252734798, 15.936721225153192]"
36, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.96317210284706, 15.93566685172964]"
96, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.962577333342004, 15.933088465134334]"
29, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.962532029709955, 15.937039305870716]"
41, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.96195314824009, 15.937797059151036]"
76, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.962064453646946, 15.937179332650707]"
97, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.96256322760153, 15.93265866378138]"
63, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.965166735426244, 15.93870495923797]"
80, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.96291414042887, 15.937929812896314]"
104, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.963884849323634, 15.9347184471797]"
38, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.9632765261325, 15.937317578573483]"
3, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.96382236313128, 15.936565797376337]"
115, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.96632771777251, 15.924839092549757]"
84, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.96526495823955, 15.941106283084514]"
8, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.9633634492806, 15.936015222022622]"
92, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.961858588862604, 15.935950932288655]"
51, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.96324649766414, 15.939277585100454]"
59, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.964654631907464, 15.939445700707903]"
86, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.96158735557336, 15.937629526564898]"
69, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.96316113459185, 15.938751393940194]"
19, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.96230815938103, 15.934731510875558]"
46, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.9628894442938, 15.938482571913756]"
119, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.96448048898613, 15.94144341105933]"
58, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.96420385829551, 15.939094995182618]"
106, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.96478781706173, 15.939604248262565]"
39, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.96312374368904, 15.937746944295585]"
62, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.965493984406244, 15.939168887052684]"
101, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.96339218276434, 15.932831297340611]"
85, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.96322566640861, 15.934582172339855]"
90, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.96110395466151, 15.937778170551914]"
156, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.960432260581534, 15.9380190814989]"
52, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.96327562230634, 15.93823804664027]"
60, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.9642016430273, 15.933160444453183]"
7, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.96356023528404, 15.93590357410964]"
75, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.96282931063376, 15.934620041882257]"
1, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.96386340269372, 15.936868206548082]"
95, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.96224655118769, 15.933971298845739]"
102, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.96355978551205, 15.932977960131886]"
107, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.962243010190576, 15.934347326897472]"
130, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.96526758420764, 15.942030773909154]"
48, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.96270254340395, 15.939137459393956]"
94, , ,53862,Čankovice,Čankovice,Čankovice,618331,"[49.96406462075378, 15.933498700619577]"
