cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
292,2,Křižíkova,Čelákovice,Čelákovice,803258209,"[50.16750913574982, 14.76398486361734]"
293,4,Křižíkova,Čelákovice,Čelákovice,802970209,"[50.16764165789267, 14.764251570962694]"
294,6,Křižíkova,Čelákovice,Čelákovice,802698209,"[50.167736395488234, 14.764433749564652]"
295,8,Křižíkova,Čelákovice,Čelákovice,802956209,"[50.16787249344289, 14.764699860321919]"
296,10,Křižíkova,Čelákovice,Čelákovice,802700209,"[50.16721710915663, 14.764359069256825]"
297,12,Křižíkova,Čelákovice,Čelákovice,802699209,"[50.16728200234656, 14.764592185938337]"
298,14,Křižíkova,Čelákovice,Čelákovice,803364209,"[50.167391947616906, 14.76480482366975]"
299,16,Křižíkova,Čelákovice,Čelákovice,802701209,"[50.1675262622367, 14.765071302468542]"
2055, ,náměstí 5. května,Čelákovice,Čelákovice,14458345010,"[50.16256420116656, 14.750302089911607]"
2055, ,náměstí 5. května,Čelákovice,Čelákovice,14458345010,"[50.16258152783171, 14.750147276953761]"
2055, ,náměstí 5. května,Čelákovice,Čelákovice,14458345010,"[50.162601992866115, 14.75002810106363]"
2055, ,náměstí 5. května,Čelákovice,Čelákovice,14458345010,"[50.16262193482237, 14.749861449988968]"
2055, ,náměstí 5. května,Čelákovice,Čelákovice,14458345010,"[50.16264380719312, 14.749697222571333]"
1369,19,náměstí 5. května,Čelákovice,Čelákovice,804026209,"[50.16283091097012, 14.751726000032324]"
1369, ,Sedláčkova,Čelákovice,Čelákovice,804026209,"[50.16269722626457, 14.751753702096206]"
272, ,U Mlýnské strouhy,Čelákovice,Sedlčánky,0,"[50.16316498494381, 14.793222464812798]"
1792, ,Stankovského,Čelákovice,Čelákovice,0,"[50.16459216126242, 14.740963889905908]"
48,9,Sedláčkova,Čelákovice,Čelákovice,803716209,"[50.16238176265794, 14.753581477846167]"
244,42,Masarykova,Čelákovice,Čelákovice,802779209,"[50.15972215222535, 14.753746454967752]"
563,1,Zahradní,Čelákovice,Čelákovice,803271209,"[50.16907021952721, 14.772290752241133]"
67,15,Ve Skále,Čelákovice,Čelákovice,803730209,"[50.162297914462535, 14.755363505959512]"
2067, ,Lipová,Čelákovice,Čelákovice,1194058209,"[50.160925316449664, 14.762453879313401]"
300, ,Fučíkova,Čelákovice,Sedlčánky,62272827010,"[50.164519576556835, 14.788426622849203]"
35, ,Za Labem,Čelákovice,Sedlčánky,0,"[50.17085048440984, 14.791649766809224]"
38, ,Za Labem,Čelákovice,Sedlčánky,0,"[50.17089468647344, 14.79130611438764]"
746,3,Družstevní,Čelákovice,Čelákovice,802713209,"[50.159690891314476, 14.764144527715272]"
1012,44,Dělnická,Čelákovice,Čelákovice,802332209,"[50.16955975239893, 14.772961938553415]"
1551, ,V Prokopě,Čelákovice,Čelákovice,804548209,"[50.16114609885307, 14.734384841952478]"
