cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
206, ,Svojšínská,Černošín,Černošín,107958410,"[49.815858801474334, 12.879071741096386]"
148, ,Stříbrská,Černošín,Černošín,107960410,"[49.8136893441791, 12.894257812877308]"
235, ,Svojšínská,Černošín,Černošín,107765410,"[49.81602090300275, 12.879038592904152]"
259, ,nám. 1. máje,Černošín,Černošín,108055410,"[49.81659377378212, 12.880931135917761]"
337, ,Jiráskova,Černošín,Černošín,154187410,"[49.81462594908683, 12.890108568315583]"
91, , ,Černošín,Lhota,107967410,"[49.83245635905276, 12.912646769786239]"
102, ,nám. 1. máje,Černošín,Černošín,107780410,"[49.81580565292093, 12.888186621345115]"
88, , ,Černošín,Lhota,107990410,"[49.8332068714312, 12.913222697996805]"
319, ,Plánská,Černošín,Černošín,107997410,"[49.81682727606493, 12.879962013958]"
323, ,Raisova,Černošín,Černošín,108000410,"[49.81558960993048, 12.880199441147026]"
163, ,nám. 1. máje,Černošín,Černošín,108018410,"[49.816133756251716, 12.888240849124365]"
287, ,Zahradní,Černošín,Černošín,108019410,"[49.814018873805196, 12.886781249834694]"
236, ,Svojšínská,Černošín,Černošín,108035410,"[49.815864853860994, 12.879406375298947]"
316, ,nám. 1. máje,Černošín,Černošín,108039410,"[49.81537437780805, 12.88310926429397]"
48, ,nám. 1. máje,Černošín,Černošín,108071410,"[49.81639484082394, 12.88041052894685]"
285, ,Javorová,Černošín,Černošín,108101410,"[49.81447421538669, 12.885129525332118]"
357, ,Jiráskova,Černošín,Černošín,27150323010,"[49.813767393382086, 12.889140567589251]"
274, ,Palackého,Černošín,Černošín,107801410,"[49.81346098016247, 12.892534670731226]"
210, ,Svojšínská,Černošín,Černošín,107834410,"[49.81635979979404, 12.879022296759938]"
213, ,Stříbrská,Černošín,Černošín,107851410,"[49.81379076535986, 12.894010267218622]"
237, ,Svojšínská,Černošín,Černošín,107863410,"[49.815972959069505, 12.879393507034862]"
45, ,Plánská,Černošín,Černošín,107880410,"[49.81661362328677, 12.879622576778386]"
5, ,nám. 1. máje,Černošín,Černošín,107744410,"[49.81653683865474, 12.885708894336116]"
73, ,nám. 1. máje,Černošín,Černošín,107907410,"[49.81603301870126, 12.884377353924018]"
110, ,Tylova,Černošín,Černošín,107921410,"[49.816464761052444, 12.89123189576847]"
82, ,nám. 1. máje,Černošín,Černošín,107912410,"[49.81606237841445, 12.885902445214962]"
9, ,nám. 1. máje,Černošín,Černošín,107933410,"[49.816557857003815, 12.885298119479613]"
307, ,Tylova,Černošín,Černošín,107936410,"[49.81637370270636, 12.891717084961064]"
242, ,Nerudova,Černošín,Černošín,107937410,"[49.815938627625435, 12.891006973354441]"
249, ,Husova,Černošín,Černošín,107943410,"[49.81733682296408, 12.874541117685883]"
41, ,Plánská,Černošín,Černošín,107949410,"[49.81694340444354, 12.879240033837407]"
171, ,Stříbrská,Černošín,Černošín,108045410,"[49.815309176610654, 12.89085844192483]"
272, ,Plánská,Černošín,Černošín,107985410,"[49.816658242298566, 12.879409029784549]"
356, ,Jiráskova,Černošín,Černošín,27238463010,"[49.814224807724386, 12.888937027262745]"
1, ,nám. 1. máje,Černošín,Černošín,108005410,"[49.816421179152556, 12.886607017486968]"
91, ,Zahradní,Černošín,Černošín,107837410,"[49.81564563846292, 12.886815408971156]"
345, ,Zahradní,Černošín,Černošín,278589410,"[49.81197955467181, 12.888438884103183]"
202, ,Stříbrská,Černošín,Černošín,107957410,"[49.8156724587353, 12.878995606731912]"
300, ,Palackého,Černošín,Černošín,107970410,"[49.813981191312756, 12.892602496695403]"
310, ,Jiráskova,Černošín,Černošín,107983410,"[49.81494728168842, 12.888451019061064]"
324, ,Jiráskova,Černošín,Černošín,107993410,"[49.81490085936515, 12.88680550111488]"
338, ,Stříbrská,Černošín,Černošín,107998410,"[49.81478910978738, 12.892493198291033]"
79, ,nám. 1. máje,Černošín,Černošín,108056410,"[49.81607179052082, 12.885378588763423]"
297, ,Plánská,Černošín,Černošín,108061410,"[49.81730541807715, 12.878389494070987]"
55, ,nám. 1. máje,Černošín,Černošín,107747410,"[49.81608819589569, 12.881332294058625]"
280, ,Zahradní,Černošín,Černošín,107751410,"[49.81373222355599, 12.886513582418694]"
286, ,nám. 1. máje,Černošín,Černošín,107753410,"[49.81572607381643, 12.88315204506943]"
269, ,Olbramovská,Černošín,Černošín,107769410,"[49.819552405667466, 12.880564291579045]"
282, ,Javorová,Černošín,Černošín,108099410,"[49.814379812225226, 12.886290553221931]"
335, ,Lipová,Černošín,Černošín,108089410,"[49.815017778826274, 12.895551716845832]"
212, ,Husova,Černošín,Černošín,107791410,"[49.817364119936045, 12.876514628256102]"
27, ,Svojšínská,Černošín,Černošín,107813410,"[49.81297236013059, 12.880405742964943]"
79, , ,Černošín,Lhota,107817410,"[49.83249159407977, 12.912173729693931]"
200, ,Plánská,Černošín,Černošín,107826410,"[49.81731976506956, 12.877019646430844]"
226, ,Husova,Černošín,Černošín,107829410,"[49.8173856101929, 12.876017469783315]"
58, ,nám. 1. máje,Černošín,Černošín,107832410,"[49.81608831392859, 12.881769683706246]"
254, ,Zahradní,Černošín,Černošín,107841410,"[49.814157548590956, 12.887047626239244]"
46, ,Plánská,Černošín,Černošín,107848410,"[49.816470490981466, 12.87989630376159]"
44, ,Plánská,Černošín,Černošín,107857410,"[49.81714686506303, 12.877799465907561]"
279, ,Zahradní,Černošín,Černošín,107860410,"[49.812818650008936, 12.88735862323346]"
229, ,Plánská,Černošín,Černošín,107866410,"[49.817180610506746, 12.877669764682318]"
177, ,Plánská,Černošín,Černošín,107886410,"[49.81749050315295, 12.877574043529108]"
84, ,nám. 1. máje,Černošín,Černošín,107908410,"[49.81604461831876, 12.886215479030792]"
277, ,Palackého,Černošín,Černošín,107911410,"[49.813598840992206, 12.893057723250422]"
12, ,nám. 1. máje,Černošín,Černošín,107935410,"[49.81655487437983, 12.88483357350459]"
207, ,Husova,Černošín,Černošín,107939410,"[49.81712458275908, 12.876431150721851]"
77, ,nám. 1. máje,Černošín,Černošín,107914410,"[49.81605691679786, 12.88501460385698]"
188, ,Stříbrská,Černošín,Černošín,108022410,"[49.81430645803314, 12.892125935558552]"
32, ,nám. 1. máje,Černošín,Černošín,107825410,"[49.81660075320337, 12.88119505817844]"
7, ,nám. 1. máje,Černošín,Černošín,108033410,"[49.81721820534191, 12.885584348515039]"
90, , ,Černošín,Lhota,108006410,"[49.83236842534874, 12.91289401852267]"
273, ,Palackého,Černošín,Černošín,107928410,"[49.813497470041966, 12.892751950358255]"
49, ,nám. 1. máje,Černošín,Černošín,107802410,"[49.81626024013732, 12.880504039528088]"
20, ,nám. 1. máje,Černošín,Černošín,107945410,"[49.81667065630295, 12.883308893656498]"
301, ,Palackého,Černošín,Černošín,107969410,"[49.81372860021441, 12.892740346870207]"
21, ,nám. 1. máje,Černošín,Černošín,107982410,"[49.81658056007281, 12.882931410330121]"
339, ,Stříbrská,Černošín,Černošín,108009410,"[49.81687865582768, 12.889661774393339]"
103, ,nám. 1. máje,Černošín,Černošín,107761410,"[49.81589745886924, 12.888364465813801]"
130, ,nám. 1. máje,Černošín,Černošín,108068410,"[49.81623555806802, 12.887401849390013]"
81, ,nám. 1. máje,Černošín,Černošín,108072410,"[49.816059583479465, 12.885739504433225]"
294, ,Javorová,Černošín,Černošín,108082410,"[49.81451505417936, 12.883547034038969]"
25, ,nám. 1. máje,Černošín,Černošín,107787410,"[49.81656747295666, 12.88263367200676]"
120, ,Tylova,Černošín,Černošín,107788410,"[49.81634932748566, 12.89049270333576]"
215, ,Svojšínská,Černošín,Černošín,107792410,"[49.81626220136332, 12.8790240063858]"
341, ,Stříbrská,Černošín,Černošín,158466410,"[49.815503845351856, 12.888579395341614]"
347, ,Husova,Černošín,Černošín,291509410,"[49.81702866427375, 12.874707767588314]"
360, ,Jiráskova,Černošín,Černošín,42357098010,"[49.81350818199494, 12.89034954107488]"
299, ,Plánská,Černošín,Černošín,107799410,"[49.81735727408551, 12.878666613254907]"
83, ,nám. 1. máje,Černošín,Černošín,107804410,"[49.816062518285776, 12.886055484841277]"
84, , ,Černošín,Lhota,107815410,"[49.8329026727099, 12.911636452675072]"
278, ,Zahradní,Černošín,Černošín,107845410,"[49.812600032243886, 12.88749394061298]"
174, ,Plánská,Černošín,Černošín,107849410,"[49.81737792296418, 12.877884608053185]"
221, ,Raisova,Černošín,Černošín,107873410,"[49.81638560159327, 12.879777976392335]"
111, ,Nerudova,Černošín,Černošín,107862410,"[49.815673168700926, 12.890519808412149]"
231, ,Plánská,Černošín,Černošín,107871410,"[49.81775255129078, 12.876059696719745]"
19, ,nám. 1. máje,Černošín,Černošín,107882410,"[49.81657044532761, 12.88363455264021]"
281, ,Stříbrská,Černošín,Černošín,107883410,"[49.814973221416906, 12.889138539602312]"
85, ,nám. 1. máje,Černošín,Černošín,107890410,"[49.81603531140531, 12.886421061484276]"
183, ,Plánská,Černošín,Černošín,107892410,"[49.816370552399825, 12.88019615671008]"
43, ,Svojšínská,Černošín,Černošín,107893410,"[49.81674910835726, 12.879122794738462]"
275, ,Nerudova,Černošín,Černošín,107898410,"[49.816118122711636, 12.891319082048293]"
106, ,Plánská,Černošín,Černošín,107924410,"[49.817082772099376, 12.878785162068231]"
53, ,nám. 1. máje,Černošín,Černošín,107926410,"[49.81613366054867, 12.881036519416986]"
60, ,nám. 1. máje,Černošín,Černošín,107916410,"[49.81609908332195, 12.882026201545447]"
262, ,Plánská,Černošín,Černošín,107929410,"[49.81810201387037, 12.87589276811995]"
250, ,Nerudova,Černošín,Černošín,107934410,"[49.815832330847876, 12.89104455576431]"
245, ,Svojšínská,Černošín,Černošín,107938410,"[49.81565103843955, 12.879417314159321]"
233, ,Plánská,Černošín,Černošín,107940410,"[49.81775908046167, 12.87682167733271]"
327, ,nám. 1. máje,Černošín,Černošín,107946410,"[49.81565132526763, 12.883666314032567]"
293, ,Zahradní,Černošín,Černošín,107951410,"[49.81206905566311, 12.8878765963292]"
179, ,Stříbrská,Černošín,Černošín,107899410,"[49.81475241065279, 12.891390899761179]"
246, ,Husova,Černošín,Černošín,107901410,"[49.81756006655739, 12.874919694240775]"
144, ,Plánská,Černošín,Černošín,107881410,"[49.816953132279615, 12.879395932415672]"
166, ,Nerudova,Černošín,Černošín,107904410,"[49.81551086431053, 12.891201406353423]"
243, ,Plánská,Černošín,Černošín,107909410,"[49.817801912098865, 12.876701563129355]"
176, ,Plánská,Černošín,Černošín,107923410,"[49.81746163052669, 12.877663435836055]"
72, ,nám. 1. máje,Černošín,Černošín,107918410,"[49.81603974248187, 12.88422291246013]"
88, ,Zahradní,Černošín,Černošín,107919410,"[49.815323830375945, 12.886324914207416]"
265, ,Zahradní,Černošín,Černošín,107953410,"[49.81445460177852, 12.886894202590094]"
325, ,Lipová,Černošín,Černošín,107973410,"[49.81461361050715, 12.894131720221914]"
312, ,Jiráskova,Černošín,Černošín,107984410,"[49.8149310369215, 12.887922773872013]"
260, ,Stříbrská,Černošín,Černošín,108004410,"[49.81444672155983, 12.891817795444787]"
131, ,nám. 1. máje,Černošín,Černošín,108036410,"[49.816294456650525, 12.887196914252348]"
62, ,nám. 1. máje,Černošín,Černošín,107748410,"[49.81610434933895, 12.882318679633812]"
197, ,Stříbrská,Černošín,Černošín,107750410,"[49.81484257396391, 12.89119871678311]"
264, ,Zahradní,Černošín,Černošín,107766410,"[49.812820371312434, 12.88788013523679]"
232, ,Plánská,Černošín,Černošín,107770410,"[49.81766005330854, 12.876322004563487]"
190, ,Stříbrská,Černošín,Černošín,107778410,"[49.814640853802686, 12.892595642483123]"
81, , ,Černošín,Lhota,107847410,"[49.8327312794492, 12.912199527089074]"
351, ,Jiráskova,Černošín,Černošín,15155517010,"[49.81310476271811, 12.8898504872053]"
156, ,Husova,Černošín,Černošín,107868410,"[49.81742614794428, 12.875515214635676]"
349, ,Husova,Černošín,Černošín,291793410,"[49.816977049786644, 12.873850912853753]"
358, ,Jiráskova,Černošín,Černošín,28689400010,"[49.81386579938058, 12.88946436776514]"
350, ,Stříbrská,Černošín,Černošín,287422410,"[49.81534703221398, 12.888569147999004]"
362, ,Jiráskova,Černošín,Černošín,34618943010,"[49.81316975598205, 12.89023283571995]"
365, ,Husova,Černošín,Černošín,59858850010,"[49.8170308204237, 12.874155416484228]"
366, ,Jiráskova,Černošín,Černošín,60532501010,"[49.8139989095087, 12.89008382756756]"
180, ,Svojšínská,Černošín,Černošín,107822410,"[49.816112826654205, 12.879372566723816]"
14, ,nám. 1. máje,Černošín,Černošín,108073410,"[49.81656598948466, 12.884512596870595]"
132, ,Plánská,Černošín,Černošín,108078410,"[49.81801632107743, 12.876127378807464]"
240, ,Svojšínská,Černošín,Černošín,107762410,"[49.8161773534265, 12.87903285925026]"
247, ,Husova,Černošín,Černošín,107843410,"[49.81762295815388, 12.874697994563839]"
234, ,Plánská,Černošín,Černošín,107828410,"[49.81806029083633, 12.876004169887489]"
168, ,Nerudova,Černošín,Černošín,107961410,"[49.816110393438, 12.890926054656054]"
115, ,Stříbrská,Černošín,Černošín,107963410,"[49.813590118269836, 12.894477949152835]"
82, , ,Černošín,Lhota,107964410,"[49.8329068810954, 12.912683332170781]"
92, , ,Černošín,Lhota,107965410,"[49.832061275695615, 12.913141136244603]"
47, ,Plánská,Černošín,Černošín,107885410,"[49.81642604938557, 12.880074350419608]"
61, ,nám. 1. máje,Černošín,Černošín,107779410,"[49.81609277178176, 12.882166895790954]"
128, ,nám. 1. máje,Černošín,Černošín,107854410,"[49.81618241978683, 12.887738326760324]"
303, ,Lipová,Černošín,Černošín,108074410,"[49.81505822614001, 12.893268158801225]"
76, ,nám. 1. máje,Černošín,Černošín,108081410,"[49.81605082638833, 12.884854159084895]"
317, ,Jiráskova,Černošín,Černošín,108084410,"[49.81492464354972, 12.88820290504688]"
283, ,Javorová,Černošín,Černošín,108100410,"[49.81444333896587, 12.886029621289623]"
251, ,Zahradní,Černošín,Černošín,107774410,"[49.81340952149637, 12.887501926798882]"
220, ,nám. 1. máje,Černošín,Černošín,107789410,"[49.816068081836626, 12.883111097314929]"
147, ,Plánská,Černošín,Černošín,137525410,"[49.816893350057164, 12.878621424173806]"
352, ,Jiráskova,Černošín,Černošín,15526979010,"[49.8142725257354, 12.889976122176805]"
342, ,Nerudova,Černošín,Černošín,213413410,"[49.815396585644045, 12.891403440005524]"
51, ,nám. 1. máje,Černošín,Černošín,107793410,"[49.81618619379723, 12.880772355142136]"
17, ,nám. 1. máje,Černošín,Černošín,107794410,"[49.81657224654512, 12.88393322871148]"
181, ,Nerudova,Černošín,Černošín,107798410,"[49.81573326979708, 12.891161543460747]"
75, ,nám. 1. máje,Černošín,Černošín,107800410,"[49.816037266622494, 12.88469456066536]"
141, , ,Černošín,Lhota,107818410,"[49.83348457052504, 12.912237864062751]"
59, ,nám. 1. máje,Černošín,Černošín,107830410,"[49.816090515456054, 12.881893095449197]"
228, ,Plánská,Černošín,Černošín,107836410,"[49.817609973089795, 12.876461062697937]"
57, ,nám. 1. máje,Černošín,Černošín,107838410,"[49.816084631434286, 12.881629189029898]"
10, ,nám. 1. máje,Černošín,Černošín,107839410,"[49.81654933146416, 12.88515740455339]"
208, ,Nerudova,Černošín,Černošín,107842410,"[49.8149557764259, 12.891887785684395]"
209, ,Nerudova,Černošín,Černošín,107844410,"[49.815044332377624, 12.891706548461595]"
354, ,Jiráskova,Černošín,Černošín,25296605010,"[49.81297065668803, 12.889113109582665]"
340, ,Javorová,Černošín,Černošín,167421410,"[49.81452117795139, 12.882972646073995]"
94, ,nám. 1. máje,Černošín,Černošín,107758410,"[49.81596156680715, 12.88718565213504]"
71, , ,Černošín,Černošín,107759410,"[49.81623252183587, 12.891012622182293]"
22, ,nám. 1. máje,Černošín,Černošín,107858410,"[49.81657278107631, 12.88273592220514]"
37, ,Plánská,Černošín,Černošín,107930410,"[49.81772004728723, 12.876930025453198]"
214, ,Stříbrská,Černošín,Černošín,107796410,"[49.81373320341852, 12.894136914253286]"
89, , ,Černošín,Lhota,108007410,"[49.83238009288132, 12.912812353714195]"
80, , ,Černošín,Lhota,107966410,"[49.83250541702629, 12.912424371305606]"
304, ,Lipová,Černošín,Černošín,107975410,"[49.81491299070476, 12.893386743555945]"
313, ,Jiráskova,Černošín,Černošín,107988410,"[49.81489986987376, 12.887659867623034]"
125, ,nám. 1. máje,Černošín,Černošín,107999410,"[49.8161571337835, 12.888126223493476]"
334, ,Svojšínská,Černošín,Černošín,108003410,"[49.8164687484952, 12.878805773897021]"
239, ,Stříbrská,Černošín,Černošín,108008410,"[49.81397679119784, 12.893499455324603]"
326, ,Lipová,Černošín,Černošín,108038410,"[49.814503692831025, 12.894249387600638]"
38, ,nám. 1. máje,Černošín,Černošín,107746410,"[49.816653710507126, 12.880396845460753]"
333, ,nám. 1. máje,Černošín,Černošín,107757410,"[49.81624014801791, 12.88446093432792]"
54, ,nám. 1. máje,Černošín,Černošín,108070410,"[49.816114349940314, 12.881184482205219]"
28, ,nám. 1. máje,Černošín,Černošín,107856410,"[49.81653646962329, 12.881860836914584]"
13, ,nám. 1. máje,Černošín,Černošín,107865410,"[49.81656553474112, 12.88466958307433]"
164, ,Plánská,Černošín,Černošín,107905410,"[49.81732086086232, 12.87803015980311]"
87, ,Zahradní,Černošín,Černošín,107891410,"[49.81551098992201, 12.886346990276241]"
63, ,nám. 1. máje,Černošín,Černošín,107895410,"[49.81603557768972, 12.882513380531845]"
203, ,Nerudova,Černošín,Černošín,107902410,"[49.81487236848868, 12.89210856032792]"
56, ,nám. 1. máje,Černošín,Černošín,107906410,"[49.81608927931412, 12.881481164376298]"
258, ,Husova,Černošín,Černošín,107941410,"[49.81710461783529, 12.876281983848873]"
90, ,Zahradní,Černošín,Černošín,107773410,"[49.81554159587515, 12.886758747868324]"
185, ,Nerudova,Černošín,Černošín,108075410,"[49.815130455699546, 12.891521123119391]"
263, ,Zahradní,Černošín,Černošín,107760410,"[49.812503973525374, 12.888052637647377]"
31, ,nám. 1. máje,Černošín,Černošín,107884410,"[49.81657723178624, 12.88135432573473]"
154, ,Plánská,Černošín,Černošín,107772410,"[49.817012383809015, 12.879005736246237]"
87, , ,Černošín,Lhota,108080410,"[49.83230252296446, 12.913234670582003]"
308, ,Palackého,Černošín,Černošín,107980410,"[49.81377545067467, 12.893035561033468]"
296, ,Stříbrská,Černošín,Černošín,107962410,"[49.81409628504236, 12.892999451061069]"
311, ,Lipová,Černošín,Černošín,107986410,"[49.81461583522261, 12.893170005302977]"
129, ,nám. 1. máje,Černošín,Černošín,108020410,"[49.816194743363475, 12.887573650184873]"
332, ,Jiráskova,Černošín,Černošín,108024410,"[49.81513919695249, 12.889954099318134]"
248, ,Svojšínská,Černošín,Černošín,108032410,"[49.81542959433451, 12.879136779031194]"
119, ,Stříbrská,Černošín,Černošín,107749410,"[49.816371322935325, 12.889908504135546]"
328, ,Zahradní,Černošín,Černošín,107756410,"[49.81172966395221, 12.890431508385097]"
16, ,nám. 1. máje,Černošín,Černošín,108083410,"[49.81656052299246, 12.884199484071987]"
98, ,nám. 1. máje,Černošín,Černošín,107777410,"[49.81592392939448, 12.887575590337635]"
101, ,nám. 1. máje,Černošín,Černošín,107781410,"[49.81591474908332, 12.888075186546384]"
361, ,Jiráskova,Černošín,Černošín,31926816010,"[49.81404103634035, 12.88847953170255]"
363, ,Jiráskova,Černošín,Černošín,36925036010,"[49.813823580307414, 12.88861287421777]"
145, ,Nerudova,Černošín,Černošín,107805410,"[49.81561125927028, 12.890884453118364]"
83, , ,Černošín,Lhota,107816410,"[49.832958043355326, 12.91248504537236]"
141, ,Plánská,Černošín,Černošín,107835410,"[49.817532114544214, 12.876680662528969]"
192, ,Plánská,Černošín,Černošín,107846410,"[49.81767468820165, 12.877061874583912]"
244, ,Svojšínská,Černošín,Černošín,107878410,"[49.8157614677981, 12.879415553523998]"
150, ,Svojšínská,Černošín,Černošín,107771410,"[49.816575500970636, 12.879024400263425]"
133, ,nám. 1. máje,Černošín,Černošín,107879410,"[49.81631787918985, 12.886965641642098]"
