cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
421, , ,Černá v Pošumaví,Plánička,0,"[48.71677701803753, 14.130243822423898]"
369, , ,Černá v Pošumaví,Bližná,86941302,"[48.71507423029942, 14.07591453618234]"
314, , ,Černá v Pošumaví,Bližná,86714302,"[48.71427637141468, 14.072945488654995]"
535, , ,Černá v Pošumaví,Mokrá,0,"[48.76462713103382, 14.103739870305047]"
9420, , ,Černá v Pošumaví,Mokrá,87180302,"[48.77091046873094, 14.101560295308117]"
420, , ,Černá v Pošumaví,Mokrá,87179302,"[48.77081789750031, 14.101597750647267]"
572, , ,Černá v Pošumaví,Bližná,62380353010,"[48.725090967719495, 14.080744924373224]"
124, , ,Černá v Pošumaví,Černá v Pošumaví,87105302,"[48.739346109202984, 14.1124848186925]"
16, , ,Černá v Pošumaví,Bližná,0,"[48.728159840698474, 14.086901247171816]"
476, , ,Černá v Pošumaví,Plánička,121520302,"[48.722635102836286, 14.13320357224099]"
119, , ,Černá v Pošumaví,Bližná,86415302,"[48.714752910619794, 14.076794697553687]"
38, , ,Černá v Pošumaví,Mokrá,16473286010,"[48.75955894543993, 14.132820479916937]"
463, , ,Černá v Pošumaví,Plánička,111200302,"[48.72203907311243, 14.133553464457666]"
218, , ,Černá v Pošumaví,Černá v Pošumaví,61381785010,"[48.732965191819346, 14.099572762554272]"
12, , ,Černá v Pošumaví,Černá v Pošumaví,87195302,"[48.73908169448608, 14.11334166684988]"
37, , ,Černá v Pošumaví,Bližná,60637454010,"[48.72581939865105, 14.08263267357943]"
46, , ,Černá v Pošumaví,Dolní Vltavice,60641353010,"[48.69913491429969, 14.07508012665346]"
224, , ,Černá v Pošumaví,Černá v Pošumaví,60834683010,"[48.740399142955965, 14.111395392707239]"
225, , ,Černá v Pošumaví,Černá v Pošumaví,60834715010,"[48.74081390213145, 14.11091985485149]"
221, , ,Černá v Pošumaví,Černá v Pošumaví,60045208010,"[48.739837485050266, 14.111453828944779]"
223, , ,Černá v Pošumaví,Černá v Pošumaví,60045217010,"[48.74017475406281, 14.111433317820604]"
220, , ,Černá v Pošumaví,Černá v Pošumaví,60333414010,"[48.739761333190806, 14.112127557027225]"
222, , ,Černá v Pošumaví,Černá v Pošumaví,60045226010,"[48.74012161509712, 14.1111861606032]"
111, , ,Černá v Pošumaví,Bližná,86411302,"[48.71449331743468, 14.074766866108927]"
533, , ,Černá v Pošumaví,Bližná,87062302,"[48.7077695282632, 14.08847085266725]"
183, , ,Černá v Pošumaví,Bližná,86565302,"[48.70771245832808, 14.08849654865973]"
381, , ,Černá v Pošumaví,Bližná,86895302,"[48.71489409592302, 14.076523083988228]"
538, , ,Černá v Pošumaví,Bližná,104520302,"[48.725210385182194, 14.08048988680586]"
18, , ,Černá v Pošumaví,Bližná,86422302,"[48.72522998397778, 14.08053797600519]"
