cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
221, ,Náměstí Míru,Česká Kamenice,Česká Kamenice,239144502,"[50.79992682496471, 14.416772065100455]"
221, ,Nerudova,Česká Kamenice,Česká Kamenice,239144502,"[50.80008467979736, 14.416733203647166]"
659, ,Dukelských hrdinů,Česká Kamenice,Česká Kamenice,239124502,"[50.800847564631844, 14.42521358406033]"
539, ,5. května,Česká Kamenice,Česká Kamenice,239338502,"[50.80548691664996, 14.410600740227876]"
3, ,Pivovarská,Česká Kamenice,Česká Kamenice,239664502,"[50.79806007385217, 14.414954028133335]"
474, ,Lipová,Česká Kamenice,Česká Kamenice,239192502,"[50.78138851854039, 14.43402789833581]"
38, , ,Česká Kamenice,Pekelský Důl,239127502,"[50.813788899541905, 14.408506952392363]"
806, ,Žižkova,Česká Kamenice,Česká Kamenice,264842502,"[50.80719811443785, 14.410588447821063]"
385, ,Dívčí,Česká Kamenice,Česká Kamenice,0,"[50.79977323290334, 14.425284465005676]"
163, ,Tovární,Česká Kamenice,Česká Kamenice,238981502,"[50.797703612436344, 14.41825362591435]"
551, ,Na vyhlídce,Česká Kamenice,Česká Kamenice,239218502,"[50.802308106011296, 14.422009132311427]"
49, , ,Česká Kamenice,Kamenická Nová Víska,248386502,"[50.79255318138934, 14.376519673882944]"
11, , ,Česká Kamenice,Pekelský Důl,239366502,"[50.81307424558779, 14.408188956413067]"
28, , ,Česká Kamenice,Kerhartice,248546502,"[50.7683002633494, 14.40346718019447]"
137, ,Náměstí 28. října,Česká Kamenice,Česká Kamenice,239003502,"[50.79967590251323, 14.419429311372424]"
219, ,Náměstí Míru,Česká Kamenice,Česká Kamenice,239780502,"[50.799973778532866, 14.417039929974965]"
125, ,Náměstí Míru,Česká Kamenice,Česká Kamenice,238887502,"[50.799364143703876, 14.41741915609374]"
144, ,Mlýnská,Česká Kamenice,Česká Kamenice,239246502,"[50.79890063728878, 14.415616083472163]"
3, , ,Česká Kamenice,Huníkov,244146502,"[50.78666781036981, 14.418913526179352]"
223, ,Nerudova,Česká Kamenice,Česká Kamenice,239212502,"[50.8004819013611, 14.41687116931129]"
812, ,5. května,Česká Kamenice,Česká Kamenice,238874502,"[50.80005199085893, 14.414128061439538]"
723, ,Na vyhlídce,Česká Kamenice,Česká Kamenice,239487502,"[50.80236939076727, 14.422795538703639]"
757, ,Máchova,Česká Kamenice,Česká Kamenice,239541502,"[50.80294109043299, 14.420785922427038]"
758, ,Máchova,Česká Kamenice,Česká Kamenice,239540502,"[50.802894528623916, 14.420846147037723]"
3, , ,Česká Kamenice,Kamenická Nová Víska,248437502,"[50.794388992433426, 14.382221645994077]"
777, ,Na vyhlídce,Česká Kamenice,Česká Kamenice,239569502,"[50.80379716737938, 14.420516881946636]"
77, , ,Česká Kamenice,Kamenická Nová Víska,23185356010,"[50.790732911199754, 14.378264941269553]"
482, ,Lipová,Česká Kamenice,Česká Kamenice,238991502,"[50.79422932163042, 14.420694090522549]"
520, ,5. května,Česká Kamenice,Česká Kamenice,239577502,"[50.800929678113114, 14.41326428969445]"
21, , ,Česká Kamenice,Víska pod Lesy,248433502,"[50.7908707940278, 14.388827924518722]"
14, , ,Česká Kamenice,Pekelský Důl,239524502,"[50.811649032786434, 14.409626651622338]"
593, ,Slavíčkova,Česká Kamenice,Česká Kamenice,239206502,"[50.80432474178527, 14.446089485895891]"
40, , ,Česká Kamenice,Huníkov,244061502,"[50.78245123880239, 14.425285005194196]"
863, ,5. května,Česká Kamenice,Česká Kamenice,61001485010,"[50.80117040387835, 14.412626643539015]"
11, , ,Česká Kamenice,Filipov,239504502,"[50.815480031591875, 14.39183462407049]"
150, ,Mlýnská,Česká Kamenice,Česká Kamenice,238938502,"[50.799134827534736, 14.419810227858381]"
318, ,Pivovarská,Česká Kamenice,Česká Kamenice,239372502,"[50.79895755303327, 14.412587479582394]"
