cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
110, , ,Částkov,Částkov,107635410,"[49.75502581890658, 12.679904224191867]"
162, , ,Částkov,Částkov,60761521010,"[49.10783280431626, 17.62301516126559]"
140, , ,Částkov,Částkov,15938249010,"[49.10508275878954, 17.615481998080654]"
107, , ,Částkov,Částkov,363182711,"[49.10491769563368, 17.61582732405299]"
39, , ,Částkov,Částkov,363323711,"[49.103853040541416, 17.618858518482647]"
73, , ,Částkov,Částkov,363265711,"[49.104198929512336, 17.616710620603662]"
115, , ,Částkov,Částkov,363184711,"[49.10584464046097, 17.611283193390495]"
131, , ,Částkov,Částkov,363185711,"[49.10576936368324, 17.61128703927429]"
157, , ,Částkov,Částkov,363162711,"[49.106254141750284, 17.61573172706885]"
42, , ,Částkov,Částkov,363249711,"[49.10726972097495, 17.621277559196354]"
50, , ,Částkov,Částkov,363317711,"[49.10615607024632, 17.61868833442179]"
61, , ,Částkov,Částkov,363305711,"[49.106272567204385, 17.618382618825372]"
43, , ,Částkov,Pernolec,116084410,"[49.77620863256091, 12.683782954162181]"
49, , ,Částkov,Pernolec,49570248010,"[49.77348417157934, 12.67861051042511]"
108, , ,Částkov,Částkov,279104410,"[49.75643310292798, 12.67337107327781]"
107, , ,Částkov,Částkov,44647180010,"[49.757211924173625, 12.671588276188496]"
48, , ,Částkov,Pernolec,35870950010,"[49.77493789952236, 12.681538871025062]"
106, , ,Částkov,Částkov,37417035010,"[49.75969568497559, 12.670518931007122]"
151, , ,Částkov,Částkov,585779711,"[49.10305912500985, 17.618419359530353]"
134, , ,Částkov,Částkov,15598755010,"[49.106625178122165, 17.621441156278348]"
155, , ,Částkov,Částkov,15183909010,"[49.105167528297706, 17.612667274216193]"
156, , ,Částkov,Částkov,15654809010,"[49.10595780964222, 17.616515613493064]"
154, , ,Částkov,Částkov,20027062010,"[49.10822929536968, 17.623562731417007]"
58, , ,Částkov,Částkov,363165711,"[49.108182476428425, 17.623390613798826]"
125, , ,Částkov,Částkov,363308711,"[49.106004029961184, 17.61849328575027]"
153, , ,Částkov,Částkov,14412474010,"[49.10511688864913, 17.612920572758696]"
32, , ,Částkov,Částkov,0,"[49.10403412767945, 17.617031134473997]"
10, , ,Částkov,Maršovy Chody,114104410,"[49.75373147881607, 12.647573283924771]"
3, , ,Částkov,Částkov,543880711,"[49.10471950716878, 17.618537710925715]"
37, , ,Částkov,Pernolec,116065410,"[49.7755368287492, 12.676651847100125]"
7, , ,Částkov,Maršovy Chody,114119410,"[49.75373018042775, 12.6487245445152]"
84, , ,Částkov,Částkov,107623410,"[49.75676868684124, 12.684585866284687]"
41, , ,Částkov,Pernolec,116077410,"[49.773274573126415, 12.682039538462188]"
32, , ,Částkov,Pernolec,116066410,"[49.78157353250692, 12.678824328662436]"
26, , ,Částkov,Maršovy Chody,114123410,"[49.75306502351205, 12.649368140578497]"
54, , ,Částkov,Částkov,363206711,"[49.108310745418244, 17.623747058817237]"
15, , ,Částkov,Částkov,363302711,"[49.1064166204624, 17.619761889709142]"
11, , ,Částkov,Částkov,363358711,"[49.105910420671165, 17.619181889791594]"
110, , ,Částkov,Částkov,363293711,"[49.105001397454465, 17.618534359530663]"
56, , ,Částkov,Částkov,363328711,"[49.10643425179937, 17.618074377057745]"
63, , ,Částkov,Částkov,363337711,"[49.104640689854264, 17.618997712620523]"
132, , ,Částkov,Částkov,363343711,"[49.104225643077015, 17.618335124560225]"
93, , ,Částkov,Částkov,363201711,"[49.105901049439055, 17.62128327209902]"
98, , ,Částkov,Částkov,363288711,"[49.10318238214472, 17.61783437637715]"
138, , ,Částkov,Částkov,363326711,"[49.10511897990809, 17.61531924610394]"
52, , ,Částkov,Částkov,363258711,"[49.10638106634319, 17.61741188054052]"
66, , ,Částkov,Částkov,363273711,"[49.10611685602615, 17.622062939379184]"
135, , ,Částkov,Částkov,363318711,"[49.10475149700134, 17.61515762109463]"
74, , ,Částkov,Částkov,363166711,"[49.10805694383849, 17.623092800680553]"
84, , ,Částkov,Částkov,363278711,"[49.10502296234343, 17.61458122339517]"
64, , ,Částkov,Částkov,363203711,"[49.10613952276526, 17.619676628962615]"
35, , ,Částkov,Částkov,363338711,"[49.10396787672438, 17.619931838679896]"
146, , ,Částkov,Částkov,550230711,"[49.10593820985238, 17.616926918849188]"
