cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
3, , ,33501,Čížkov,Měrčín,Měrčín,618811,"[49.52019345616524, 13.684449741541407]"
40, , ,33501,Čížkov,Čečovice,Čečovice,618799,"[49.521211999086454, 13.66043901881458]"
64, , ,33563,Čížkov,Železný Újezd,Železný Újezd,796255,"[49.57044497739135, 13.683646406430926]"
23, , ,33563,Čížkov,Přešín,Přešín,796247,"[49.560223417894164, 13.645826646851962]"
1, , ,33501,Čížkov,Čečovice,Čečovice,618799,"[49.522750451868994, 13.658564742994226]"
2, , ,33501,Čížkov,Čečovice,Čečovice,618799,"[49.52380342734425, 13.661192088475378]"
42, , ,39301,Čížkov,Čížkov,Čížkov,624063,"[49.43726986196999, 15.115565798630792]"
10, , ,33564,Čížkov,Čížkov,Čížkov,624071,"[49.54089336222309, 13.680211535432008]"
204, , ,39301,Čížkov,Čížkov,Čížkov,624063,"[49.43717239891725, 15.118839171669546]"
14, , ,33564,Čížkov,Čížkov,Čížkov,624071,"[49.54045074030684, 13.677309044431219]"
86, , ,33564,Čížkov,Čížkov,Čížkov,624071,"[49.540522306940616, 13.678573455385443]"
12, , ,33501,Čížkov,Čečovice,Čečovice,618799,"[49.524500546206454, 13.658532556950574]"
10, , ,33501,Čížkov,Měrčín,Měrčín,618811,"[49.51954408600786, 13.68361624099013]"
23, , ,33563,Čížkov,Železný Újezd,Železný Újezd,796255,"[49.570515481669204, 13.683328103697121]"
23, , ,33501,Čížkov,Měrčín,Měrčín,618811,"[49.518945733991714, 13.684223125930526]"
12, , ,33564,Čížkov,Čížkov,Čížkov,624071,"[49.54070041061307, 13.677447903704918]"
6, , ,33564,Čížkov,Čížkov,Čížkov,624071,"[49.54030053123687, 13.679717568737674]"
13, , ,33563,Čížkov,Přešín,Přešín,796247,"[49.55559570788786, 13.645663401797673]"
71, , ,33564,Čížkov,Čížkov,Čížkov,624071,"[49.54508430477898, 13.682584723036845]"
43, , ,33563,Čížkov,Zahrádka,Zahrádka,624098,"[49.53326634998844, 13.66168299044755]"
