cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
231, , ,Řeka,Řeka,62280998010,"[49.63898270946909, 18.572891954321193]"
232, , ,Řeka,Řeka,62125787010,"[49.64788963786706, 18.570188928992426]"
225, , ,Řeka,Řeka,61115582010,"[49.6233794222061, 18.57636586329894]"
39, , ,Řeka,Řeka,394451832,"[49.62308892073227, 18.575133272348033]"
99, , ,Řeka,Řeka,394872832,"[49.630879230397106, 18.573143533394692]"
301, , ,Řeka,Řeka,14517795010,"[49.62497737712697, 18.57904021058185]"
218, , ,Řeka,Řeka,48161291010,"[49.635006749808674, 18.571539268935453]"
222, , ,Řeka,Řeka,45050121010,"[49.615518350528106, 18.583869920385457]"
211, , ,Řeka,Řeka,28377389010,"[49.63220194340334, 18.572740514444103]"
220, , ,Řeka,Řeka,29061096010,"[49.62728449263589, 18.575096952911736]"
100, , ,Řeka,Řeka,394342832,"[49.62810379724854, 18.572354910885135]"
215, , ,Řeka,Řeka,23243869010,"[49.63691897852713, 18.571534028537833]"
2, , ,Řeka,Řeka,394869832,"[49.64107468989499, 18.57096774159147]"
207, , ,Řeka,Řeka,394954832,"[49.6313850175831, 18.572815824554343]"
209, , ,Řeka,Řeka,15018374010,"[49.62418217808616, 18.575793737400627]"
372, , ,Řeka,Řeka,394444832,"[49.641111718714896, 18.572171634558636]"
172, , ,Řeka,Řeka,394562832,"[49.61190269386967, 18.587129581309945]"
71, , ,Řeka,Řeka,531249832,"[49.62557580553586, 18.57706224539623]"
223, , ,Řeka,Řeka,394874832,"[49.62984110629155, 18.5822880408656]"
230, , ,Řeka,Řeka,394857832,"[49.629609743585476, 18.582178308617653]"
224, , ,Řeka,Řeka,394863832,"[49.6297514946987, 18.58229933114423]"
228, , ,Řeka,Řeka,394775832,"[49.629789700136094, 18.58216952347801]"
33, , ,Řeka,Řeka,394411832,"[49.620234928359764, 18.580957048455314]"
44, , ,Řeka,Řeka,394676832,"[49.63769000061849, 18.568394650213058]"
173, , ,Řeka,Řeka,402000832,"[49.635521499230705, 18.572057675240146]"
214, , ,Řeka,Řeka,411080832,"[49.63222705785268, 18.57134843725425]"
371, , ,Řeka,Řeka,22984214010,"[49.63045850025735, 18.57846037119243]"
213, , ,Řeka,Řeka,563161832,"[49.64250934333787, 18.57317603010305]"
22, , ,Řeka,Řeka,394318832,"[49.628715327628434, 18.57893011084894]"
202, , ,Řeka,Řeka,554617832,"[49.613349789068394, 18.586350469146282]"
203, , ,Řeka,Řeka,394492832,"[49.641417002808765, 18.567062628624715]"
204, , ,Řeka,Řeka,394368832,"[49.64167314498671, 18.56966971047982]"
7, , ,Řeka,Řeka,394405832,"[49.63848156903192, 18.57428163425236]"
182, , ,Řeka,Řeka,394598832,"[49.64053272841302, 18.56909136125428]"
205, , ,Řeka,Řeka,555597832,"[49.63726581873096, 18.572795953649983]"
82, , ,Řeka,Řeka,394548832,"[49.64268122030938, 18.572168005008812]"
212, , ,Řeka,Řeka,16483353010,"[49.625256294192596, 18.57699143513866]"
146, , ,Řeka,Řeka,394847832,"[49.63635590256923, 18.571641357405163]"
283, , ,Řeka,Řeka,394392832,"[49.61209624819229, 18.586122153608883]"
185, , ,Řeka,Řeka,394445832,"[49.62149875259699, 18.57512164036583]"
267, , ,Řeka,Řeka,394723832,"[49.618361880168194, 18.579017384009887]"
279, , ,Řeka,Řeka,394893832,"[49.64346762546377, 18.56386116280682]"
287, , ,Řeka,Řeka,394699832,"[49.6111819377705, 18.5864172967953]"
104, , ,Řeka,Řeka,394572832,"[49.64062763947558, 18.567472406466685]"
206, , ,Řeka,Řeka,394486832,"[49.64004247452789, 18.56831493173317]"
264, , ,Řeka,Řeka,394394832,"[49.63800258250297, 18.570555883169046]"
288, , ,Řeka,Řeka,394708832,"[49.61868754149191, 18.581096603235647]"
167, , ,Řeka,Řeka,394844832,"[49.63570036366927, 18.57145227299737]"
67, , ,Řeka,Řeka,394479832,"[49.62109272806872, 18.574313725279445]"
87, , ,Řeka,Řeka,394915832,"[49.64084295754975, 18.571074929128994]"
