cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
14, , ,56401,Šedivec,Šedivec,Šedivec,762270,"[50.04650089553449, 16.53400025475831]"
50, , ,56401,Šedivec,Šedivec,Šedivec,762270,"[50.04420464402201, 16.532977932438357]"
4, , ,56401,Šedivec,Šedivec,Šedivec,762270,"[50.04599097363527, 16.532920953977037]"
80, , ,56401,Šedivec,Šedivec,Šedivec,762270,"[50.047835141176584, 16.536386571314655]"
79, , ,56401,Šedivec,Šedivec,Šedivec,762270,"[50.046388031925815, 16.537544496535855]"
5, , ,56401,Šedivec,Šedivec,Šedivec,762270,"[50.046176712051725, 16.53286140004478]"
48, , ,56401,Šedivec,Šedivec,Šedivec,762270,"[50.048625910886976, 16.534511083300558]"
3, , ,56401,Šedivec,Šedivec,Šedivec,762270,"[50.04590582316726, 16.53273875953435]"
78, , ,56401,Šedivec,Šedivec,Šedivec,762270,"[50.05210167550836, 16.538417018382074]"
76, , ,56401,Šedivec,Šedivec,Šedivec,762270,"[50.04515636823127, 16.53339939502503]"
75, , ,56401,Šedivec,Šedivec,Šedivec,762270,"[50.04916227664648, 16.536611271594353]"
74, , ,56401,Šedivec,Šedivec,Šedivec,762270,"[50.04556392142331, 16.533021386761884]"
15, , ,56401,Šedivec,Šedivec,Šedivec,762270,"[50.04569847101455, 16.53339183060995]"
16, , ,56401,Šedivec,Šedivec,Šedivec,762270,"[50.04547145404711, 16.533893741287045]"
45, , ,56401,Šedivec,Šedivec,Šedivec,762270,"[50.045803766007005, 16.534118336430588]"
46, , ,56401,Šedivec,Šedivec,Šedivec,762270,"[50.04775424494302, 16.5352345589804]"
52, , ,56401,Šedivec,Šedivec,Šedivec,762270,"[50.04714891808669, 16.535758414448996]"
81, , ,56401,Šedivec,Šedivec,Šedivec,762270,"[50.04763254902381, 16.53414563829521]"
20, , ,56401,Šedivec,Šedivec,Šedivec,762270,"[50.04561441219255, 16.53618680503206]"
2, , ,56401,Šedivec,Šedivec,Šedivec,762270,"[50.04561266972021, 16.532170478863815]"
