cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
293, ,Těšínská,Šenov,Šenov,0,"[49.78997266505163, 18.39376482142475]"
46, ,K Trati,Šenov,Šenov,49789303010,"[49.7847274392489, 18.40306291923345]"
2180, ,K Trati,Šenov,Šenov,51365312010,"[49.782487202805186, 18.396552533611775]"
2177, ,Do Dědiny,Šenov,Šenov,62281793010,"[49.790844258576115, 18.38760613850592]"
2178, ,Do Dědiny,Šenov,Šenov,62352660010,"[49.78746149278975, 18.387192699695202]"
2182, ,Provaznická,Šenov,Šenov,62231915010,"[49.79919868043774, 18.380922639406194]"
2181, ,Uzavřená,Šenov,Šenov,62351996010,"[49.771185449016635, 18.386670663018634]"
2179, ,K Potoku,Šenov,Šenov,61408708010,"[49.795360216106154, 18.38986419706031]"
471, ,Místní,Šenov,Šenov,713961802,"[49.79631420508077, 18.372991104021306]"
1267, , ,Šenov,Šenov,715189802,"[49.81660900605276, 18.38261287812123]"
1072, ,Václavovická,Šenov,Šenov,714944802,"[49.773035958231354, 18.364345225090815]"
1074, ,Václavovická,Šenov,Šenov,714943802,"[49.772951365901584, 18.36385752255519]"
1073, ,Václavovická,Šenov,Šenov,714945802,"[49.77300222663083, 18.364110284480773]"
1207, ,U Nádraží,Šenov,Šenov,714284802,"[49.77698049348847, 18.36875866461195]"
2185, ,U Mlýna,Šenov,Šenov,62422069010,"[49.788704424248806, 18.389739002744438]"
2186, ,U Mlýna,Šenov,Šenov,62422068010,"[49.78871735329201, 18.389600744320948]"
2184, ,U Mlýna,Šenov,Šenov,62422066010,"[49.788897372924296, 18.389657277799316]"
2183, ,U Mlýna,Šenov,Šenov,62422067010,"[49.788882267701815, 18.389790385204137]"
1033, ,Na Šimšce,Šenov,Šenov,713669802,"[49.77240771961327, 18.389659873270794]"
967, ,Těšínská,Šenov,Šenov,713530802,"[49.794234499608905, 18.373759331985504]"
86, ,Ke Starému mlýnu,Šenov,Šenov,0,"[49.78265451587042, 18.411175529260493]"
2176, ,U Mlýna,Šenov,Šenov,62240867010,"[49.78786258111882, 18.389483865712386]"
2172, ,Hraniční,Šenov,Šenov,62095364010,"[49.76576252791387, 18.368669827468402]"
2173, ,Do Dědiny,Šenov,Šenov,62169805010,"[49.786339573943806, 18.386729417947684]"
2174, ,Rolní,Šenov,Šenov,62227935010,"[49.7997673892714, 18.383188683601173]"
2175, ,Dělená,Šenov,Šenov,62234832010,"[49.76944418212318, 18.39026296402226]"
2138, ,Těšínská,Šenov,Šenov,565425807,"[49.793274155826886, 18.379183594972723]"
2136, ,Do Dědiny,Šenov,Šenov,60847382010,"[49.790515977717654, 18.387512912948427]"
2144, ,Spodní,Šenov,Šenov,60858444010,"[49.79762326278024, 18.375747751066573]"
2142, ,Ve Strži,Šenov,Šenov,59832820010,"[49.771756147621375, 18.364068749419978]"
2145, ,K Trati,Šenov,Šenov,575250807,"[49.78256880100193, 18.396945029866163]"
2146, ,K Potoku,Šenov,Šenov,60374265010,"[49.79575366427215, 18.390347861526738]"
2137, ,Stará cesta,Šenov,Šenov,60669404010,"[49.77758801776754, 18.383912080856113]"
2148, ,Pod Šodkem,Šenov,Šenov,61239784010,"[49.7946809855668, 18.391782188654073]"
2149, ,Do Dědiny,Šenov,Šenov,60657508010,"[49.78680299553965, 18.386919701885436]"
2143, ,K Potoku,Šenov,Šenov,61053520010,"[49.79565005409878, 18.390165534724815]"
279, ,Pod Šodkem,Šenov,Šenov,714030802,"[49.795931128423916, 18.39453082751522]"
2147, ,K Potoku,Šenov,Šenov,61053521010,"[49.79553024531822, 18.38990963642424]"
2141, ,Na Hrázkách,Šenov,Šenov,60835458010,"[49.7899570349604, 18.361855615023718]"
2140, ,U Rybníků,Šenov,Šenov,61301814010,"[49.79262667963189, 18.392937765914066]"
