cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
979, ,Libotín,Štramberk,Štramberk,414749804,"[49.5863231626596, 18.102046316930554]"
571, ,Bařiny,Štramberk,Štramberk,415093804,"[49.57824166737614, 18.124130963005836]"
694, ,Libotín,Štramberk,Štramberk,413740804,"[49.58110430117878, 18.10222427325395]"
33, ,Náměstí,Štramberk,Štramberk,414095804,"[49.592054463608804, 18.117078261374147]"
57, ,Bělohorská,Štramberk,Štramberk,413976804,"[49.59149420045351, 18.119754482155873]"
1136, ,Zauličí,Štramberk,Štramberk,37082035010,"[49.586958491117855, 18.123567422076952]"
1137, ,Libotín,Štramberk,Štramberk,62160841010,"[49.587465443934136, 18.099018436534788]"
1138, ,Libotín,Štramberk,Štramberk,61712888010,"[49.58868213914665, 18.0997757657064]"
1127, ,Novojičínská,Štramberk,Štramberk,60231289010,"[49.593551966988876, 18.107368725390792]"
1131, ,Novojičínská,Štramberk,Štramberk,633485804,"[49.595341417487184, 18.105337966765262]"
1130, ,Libotín,Štramberk,Štramberk,40917083010,"[49.58513520458, 18.0975069609731]"
707, ,Bařiny,Štramberk,Štramberk,414583804,"[49.57735192816799, 18.124540947485638]"
1128, ,Libotín,Štramberk,Štramberk,60916387010,"[49.58609521395413, 18.09715865023672]"
384, ,Libotín,Štramberk,Štramberk,414564804,"[49.58379187303342, 18.095259362457313]"
1126, ,Drážné,Štramberk,Štramberk,60358400010,"[49.5810089223579, 18.134271733858593]"
145, ,Závišická,Štramberk,Štramberk,60697382010,"[49.601253053913624, 18.10592959005109]"
1123, ,K Očnímu,Štramberk,Štramberk,415055804,"[49.59572620200091, 18.112847419256294]"
140, ,Libotín,Štramberk,Štramberk,414517804,"[49.5841052805627, 18.09011205034175]"
34, ,Náměstí,Štramberk,Štramberk,414097804,"[49.59197152794992, 18.116952304471425]"
1, , ,Štramberk,Štramberk,414621804,"[49.58593333970463, 18.097110931760795]"
618, ,Hraničky,Štramberk,Štramberk,414424804,"[49.58702645910486, 18.125341022102102]"
1118, ,Drážné,Štramberk,Štramberk,40443067010,"[49.58162721748131, 18.132581568778544]"
106, ,Libotín,Štramberk,Štramberk,414579804,"[49.593372696133166, 18.097255190035952]"
24, , ,Štramberk,Štramberk,414860804,"[49.573046075792824, 18.126593549979546]"
1117, ,Dolní,Štramberk,Štramberk,45059169010,"[49.58957863174461, 18.11188907306561]"
781, ,Bařiny,Štramberk,Štramberk,415111804,"[49.57625332032298, 18.127395752227862]"
728, ,Bařiny,Štramberk,Štramberk,415100804,"[49.57532923137148, 18.129000947793596]"
727, ,Bařiny,Štramberk,Štramberk,415100804,"[49.57544947673021, 18.12902495621119]"
725, ,Bařiny,Štramberk,Štramberk,415097804,"[49.575681555804366, 18.128649232916874]"
767, ,Bařiny,Štramberk,Štramberk,415105804,"[49.57569209053934, 18.12717801978736]"
768, ,Bařiny,Štramberk,Štramberk,415105804,"[49.575782923541134, 18.12737284070973]"
723, ,Bařiny,Štramberk,Štramberk,415097804,"[49.57593448594779, 18.12869695598757]"
779, ,Bařiny,Štramberk,Štramberk,415111804,"[49.57602035486981, 18.12766111776698]"
780, ,Bařiny,Štramberk,Štramberk,415111804,"[49.57613680281556, 18.12752545571754]"
782, ,Bařiny,Štramberk,Štramberk,415111804,"[49.576366300235826, 18.12726416645299]"
783, ,Bařiny,Štramberk,Štramberk,415111804,"[49.5764772768811, 18.127137014939905]"
892, ,Bařiny,Štramberk,Štramberk,414904804,"[49.57737633597815, 18.126803142451692]"
895, ,Bařiny,Štramberk,Štramberk,414906804,"[49.57800020390305, 18.12692288072804]"
896, ,Bařiny,Štramberk,Štramberk,414906804,"[49.57816604204667, 18.127081339040092]"
897, ,Bařiny,Štramberk,Štramberk,414906804,"[49.578296057991025, 18.127208409642652]"
807, ,Nádražní,Štramberk,Štramberk,0,"[49.5828530167569, 18.130062847434857]"
806, ,Nádražní,Štramberk,Štramberk,0,"[49.58296024319677, 18.13024771259341]"
805, ,Nádražní,Štramberk,Štramberk,423170804,"[49.583217975538865, 18.13069253344094]"
804, ,Nádražní,Štramberk,Štramberk,423170804,"[49.58332783781753, 18.130877739278034]"
726, ,Bařiny,Štramberk,Štramberk,415100804,"[49.57557022500765, 18.12904986842553]"
724, ,Bařiny,Štramberk,Štramberk,415097804,"[49.575808740450505, 18.12867147033564]"
769, ,Bařiny,Štramberk,Štramberk,415105804,"[49.5758703611537, 18.127542997572476]"
893, ,Bařiny,Štramberk,Štramberk,414904804,"[49.57753143432855, 18.12676732934324]"
894, ,Bařiny,Štramberk,Štramberk,414906804,"[49.57786804882013, 18.12679471259202]"
808, ,Nádražní,Štramberk,Štramberk,0,"[49.58274414448076, 18.129874457163012]"
803, ,Nádražní,Štramberk,Štramberk,423170804,"[49.583437750035785, 18.131062245029504]"
1111, ,Pískovna,Štramberk,Štramberk,35123960010,"[49.59446957642828, 18.11092089013222]"
1108, ,Bařiny,Štramberk,Štramberk,30779739010,"[49.57909343504671, 18.131993662989448]"
1109, ,Nádražní,Štramberk,Štramberk,29775443010,"[49.5859338465036, 18.128334803510214]"
1113, ,Nádražní,Štramberk,Štramberk,29775444010,"[49.58585589546749, 18.12823427183916]"
1112, ,Kozina,Štramberk,Štramberk,36314141010,"[49.581202631823714, 18.128307765064218]"
1101, ,Bařiny,Štramberk,Štramberk,29022515010,"[49.57752111268491, 18.12390523276418]"
1102, ,Závišická,Štramberk,Štramberk,28961507010,"[49.59643938808586, 18.105127111899275]"
1103, ,Novojičínská,Štramberk,Štramberk,28255320010,"[49.59357760459, 18.107639769905237]"
1096, ,Bařiny,Štramberk,Štramberk,414671804,"[49.57751234616748, 18.122962514631755]"
1097, ,Libotín,Štramberk,Štramberk,26228686010,"[49.58580369350031, 18.095795697747906]"
1098, ,Bařiny,Štramberk,Štramberk,536944804,"[49.574892248120854, 18.127813962881483]"
1095, ,K Očnímu,Štramberk,Štramberk,25189664010,"[49.5989571030763, 18.115520390777263]"
1047, ,Kozina,Štramberk,Štramberk,770101804,"[49.58101592361377, 18.128041474924544]"
1094, ,Libotín,Štramberk,Štramberk,25264650010,"[49.58407052178604, 18.094378945958034]"
92, ,Horečka,Štramberk,Štramberk,24589511010,"[49.58398436053252, 18.125335804331378]"
95, ,Kopec,Štramberk,Štramberk,414116804,"[49.592597213278836, 18.11842274594716]"
1089, ,Drážné,Štramberk,Štramberk,414390804,"[49.57838770813093, 18.135600858735092]"
1091, ,K Očnímu,Štramberk,Štramberk,23950570010,"[49.59552617084186, 18.11361048564924]"
136, ,Libotín,Štramberk,Štramberk,705580804,"[49.5871522422234, 18.09743137723503]"
1093, ,Libotín,Štramberk,Štramberk,24445770010,"[49.58050399533201, 18.103484159423207]"
1092, ,Libotín,Štramberk,Štramberk,23573198010,"[49.58500055385889, 18.098473204058003]"
128, ,Bařiny,Štramberk,Štramberk,15350795010,"[49.57799945651877, 18.13275215321551]"
40, ,Libotín,Štramberk,Štramberk,414669804,"[49.58844517891667, 18.101087928781933]"
1090, ,Libotín,Štramberk,Štramberk,23463065010,"[49.584303984187756, 18.095929933837404]"
1087, ,Závišická,Štramberk,Štramberk,23434987010,"[49.597386404673614, 18.105429150400337]"
999, ,Bělohorská,Štramberk,Štramberk,0,"[49.594299532696965, 18.126412636607316]"
43, , ,Štramberk,Štramberk,16333065010,"[49.58395438853052, 18.090785072781983]"
1088, ,Libotín,Štramberk,Štramberk,23355069010,"[49.5840908936153, 18.096777980391387]"
359, ,Libotín,Štramberk,Štramberk,413852804,"[49.58418467259348, 18.096681948094403]"
976, ,Nádražní,Štramberk,Štramberk,414869804,"[49.583675481329905, 18.13130542455853]"
134, ,Libotín,Štramberk,Štramberk,22500914010,"[49.5861270713043, 18.093252692764228]"
1086, ,Dolní,Štramberk,Štramberk,22863143010,"[49.587728244706206, 18.112361898931937]"
1085, ,Kopec,Štramberk,Štramberk,22689150010,"[49.59252022483383, 18.120390982399293]"
132, ,Libotín,Štramberk,Štramberk,414697804,"[49.586101616872824, 18.095324841726264]"
1084, ,Bařiny,Štramberk,Štramberk,466106804,"[49.57878321523121, 18.131619120929205]"
1082, ,Dolní,Štramberk,Štramberk,830302804,"[49.58911515093804, 18.11025796847379]"
1081, ,Drážné,Štramberk,Štramberk,15433741010,"[49.58214292184985, 18.131970527588315]"
