cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
169, , ,75612,Študlov,Študlov,Študlov,764132,"[49.16349533118031, 18.07811790695347]"
139, , ,75612,Študlov,Študlov,Študlov,764132,"[49.16508429543833, 18.078994657384694]"
39, , ,56904,Študlov,Študlov,Študlov,764124,"[49.601854907637865, 16.500571454644213]"
5, , ,56904,Študlov,Študlov,Študlov,764124,"[49.6015542670996, 16.499611559136994]"
73, , ,56904,Študlov,Študlov,Študlov,764124,"[49.59923974642688, 16.49864353778754]"
28, , ,56904,Študlov,Študlov,Študlov,764124,"[49.60072957103871, 16.50049057618801]"
92, , ,56904,Študlov,Študlov,Študlov,764124,"[49.60258482808407, 16.49762360319995]"
92, , ,75612,Študlov,Študlov,Študlov,764132,"[49.16265422957777, 18.081483559435018]"
38, , ,56904,Študlov,Študlov,Študlov,764124,"[49.60361114034872, 16.49792321234044]"
33, , ,56904,Študlov,Študlov,Študlov,764124,"[49.600641500053804, 16.500553297158522]"
61, , ,75612,Študlov,Študlov,Študlov,764132,"[49.15956104446125, 18.083583593236117]"
106, , ,75612,Študlov,Študlov,Študlov,764132,"[49.16385684337036, 18.07842179281328]"
8, , ,75612,Študlov,Študlov,Študlov,764132,"[49.16298589711802, 18.082967529245245]"
38, , ,75612,Študlov,Študlov,Študlov,764132,"[49.16167432480321, 18.08366261738298]"
27, , ,75612,Študlov,Študlov,Študlov,764132,"[49.16356988857656, 18.079063086359533]"
16, , ,75612,Študlov,Študlov,Študlov,764132,"[49.161780475768445, 18.08553296530321]"
70, , ,56904,Študlov,Študlov,Študlov,764124,"[49.603108658322675, 16.498037584461276]"
69, , ,56904,Študlov,Študlov,Študlov,764124,"[49.600001526901984, 16.498044701841657]"
113, , ,75612,Študlov,Študlov,Študlov,764132,"[49.15676899630539, 18.086555192368472]"
130, , ,75612,Študlov,Študlov,Študlov,764132,"[49.15536669270461, 18.086672956240996]"
