cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
227, , ,Štáblovice,Štáblovice,14559956010,"[49.88505673061919, 17.8206937100852]"
225, , ,Štáblovice,Štáblovice,457554806,"[49.87841589872184, 17.817941613645385]"
32, , ,Štáblovice,Štáblovice,106038806,"[49.88197544049233, 17.81976817594628]"
95, , ,Štáblovice,Štáblovice,0,"[49.87840211144873, 17.817408755346953]"
181, , ,Štáblovice,Štáblovice,468950806,"[49.88595161379809, 17.819860473037668]"
1, , ,Štáblovice,Štáblovice,106009806,"[49.88203055165586, 17.818759641450683]"
169, , ,Štáblovice,Štáblovice,265361806,"[49.875181028894765, 17.817411797991312]"
223, , ,Štáblovice,Štáblovice,60876508010,"[49.88450679527107, 17.822332436934694]"
204, , ,Štáblovice,Štáblovice,106129806,"[49.88101849074429, 17.816421650595363]"
219, , ,Štáblovice,Štáblovice,57436633010,"[49.87854441521393, 17.82067175683265]"
220, , ,Štáblovice,Štáblovice,57436632010,"[49.87840518619019, 17.820607732750613]"
7, , ,Štáblovice,Štáblovice,106186806,"[49.87895081517961, 17.81611515758689]"
56, , ,Štáblovice,Štáblovice,510012806,"[49.86513633796204, 17.821265403449107]"
209, , ,Štáblovice,Štáblovice,44988223010,"[49.88156916327058, 17.822043906881365]"
210, , ,Štáblovice,Štáblovice,37375037010,"[49.880018394356746, 17.82177543555478]"
208, , ,Štáblovice,Štáblovice,26938497010,"[49.883982154431, 17.81646091335465]"
205, , ,Štáblovice,Štáblovice,26717344010,"[49.88126916702495, 17.816385971756997]"
203, , ,Štáblovice,Štáblovice,25615950010,"[49.879796122683935, 17.821681301812525]"
6, , ,Štáblovice,Štáblovice,0,"[49.876741750320384, 17.816164114361392]"
202, , ,Štáblovice,Štáblovice,24615645010,"[49.88200426568774, 17.821465055833066]"
31, , ,Štáblovice,Štáblovice,106014806,"[49.88215455020698, 17.819739062288765]"
85, , ,Štáblovice,Lipina,15031651010,"[49.85965190750741, 17.79631960685484]"
13, , ,Štáblovice,Štáblovice,106067806,"[49.88226745439262, 17.818144124871527]"
201, , ,Štáblovice,Štáblovice,535510806,"[49.88437226981608, 17.816796628640382]"
5, , ,Štáblovice,Štáblovice,21362973010,"[49.877559278130235, 17.821566307279344]"
200, , ,Štáblovice,Štáblovice,19904147010,"[49.881425528581886, 17.821449563427773]"
183, , ,Štáblovice,Štáblovice,461908806,"[49.88206315136965, 17.820632317814084]"
198, , ,Štáblovice,Štáblovice,556304806,"[49.878914342157415, 17.821275793499026]"
197, , ,Štáblovice,Štáblovice,15641867010,"[49.88406113014746, 17.821437982154883]"
186, , ,Štáblovice,Štáblovice,461416806,"[49.881630619607044, 17.82140642164138]"
194, , ,Štáblovice,Štáblovice,14808909010,"[49.88093259581121, 17.821966772541536]"
185, , ,Štáblovice,Štáblovice,482646806,"[49.88165563583757, 17.821067532467918]"
195, , ,Štáblovice,Štáblovice,561240806,"[49.87819186618288, 17.82051233402433]"
196, , ,Štáblovice,Štáblovice,15699070010,"[49.88339498237958, 17.818430802348164]"
55, , ,Štáblovice,Lipina,93095806,"[49.8595145762665, 17.796302889296207]"
3, , ,Štáblovice,Štáblovice,0,"[49.88342220215076, 17.82113105804467]"
136, , ,Štáblovice,Štáblovice,106151806,"[49.876068421760664, 17.81568742656554]"
14, , ,Štáblovice,Lipina,93093806,"[49.86062956272826, 17.796983187945912]"
141, , ,Štáblovice,Štáblovice,106098806,"[49.876319388923854, 17.815861685781886]"
149, , ,Štáblovice,Štáblovice,106180806,"[49.8773470201238, 17.81914962652269]"
158, , ,Štáblovice,Štáblovice,106149806,"[49.87659038485446, 17.816079758557027]"
2, , ,Štáblovice,Lipina,93090806,"[49.86050786324504, 17.796395799694487]"
7, , ,Štáblovice,Lipina,93081806,"[49.86136639756303, 17.79636534002995]"
167, , ,Štáblovice,Štáblovice,106159806,"[49.878219043792065, 17.818753967536686]"
160, , ,Štáblovice,Štáblovice,106160806,"[49.901597878454545, 17.822814475541605]"
8, , ,Štáblovice,Štáblovice,106003806,"[49.88161162325488, 17.817818840523152]"
76, , ,Štáblovice,Štáblovice,106021806,"[49.88147033572202, 17.817806810121347]"
98, , ,Štáblovice,Štáblovice,106123806,"[49.87673919586138, 17.817585588454673]"
7, , ,Štáblovice,Štáblovice,106020806,"[49.88126288848533, 17.8177935756706]"
87, , ,Štáblovice,Štáblovice,106095806,"[49.88179916800805, 17.820004652309358]"
46, , ,Štáblovice,Štáblovice,106164806,"[49.87718166643201, 17.817439500182957]"
66, , ,Štáblovice,Štáblovice,106088806,"[49.87658625117481, 17.817257384045295]"
63, , ,Štáblovice,Štáblovice,106122806,"[49.87950961975141, 17.819081567171885]"
118, , ,Štáblovice,Štáblovice,106110806,"[49.8833216231737, 17.820906013519057]"
134, , ,Štáblovice,Štáblovice,106116806,"[49.88271512816375, 17.819033903410762]"
67, , ,Štáblovice,Štáblovice,106059806,"[49.88426683678896, 17.81859611891753]"
71, , ,Štáblovice,Štáblovice,106005806,"[49.88187275977217, 17.819171917995316]"
89, , ,Štáblovice,Štáblovice,106068806,"[49.882122319949275, 17.818222343058107]"
199, , ,Štáblovice,Štáblovice,106174806,"[49.876386937446924, 17.81735671740492]"
164, , ,Štáblovice,Štáblovice,106111806,"[49.87800401798917, 17.81999459890681]"
75, , ,Štáblovice,Štáblovice,106125806,"[49.878208396517714, 17.81911118884973]"
124, , ,Štáblovice,Štáblovice,106086806,"[49.88397523296369, 17.82075169972706]"
48, , ,Štáblovice,Štáblovice,106130806,"[49.87709110419063, 17.81673903262088]"
108, , ,Štáblovice,Štáblovice,106079806,"[49.879232978213665, 17.819441570273483]"
99, , ,Štáblovice,Štáblovice,106075806,"[49.88353748111279, 17.819641101691587]"
111, , ,Štáblovice,Štáblovice,106031806,"[49.8827217313476, 17.81851891642457]"
43, , ,Štáblovice,Štáblovice,106052806,"[49.88026332126073, 17.819522448473794]"
44, , ,Štáblovice,Štáblovice,106050806,"[49.880064158490555, 17.819606109947205]"
3, , ,Štáblovice,Štáblovice,106016806,"[49.8804799479024, 17.817723772995063]"
80, , ,Štáblovice,Štáblovice,106192806,"[49.880353414793966, 17.818526855054692]"
83, , ,Štáblovice,Štáblovice,106018806,"[49.881450403298714, 17.819123165704706]"
153, , ,Štáblovice,Štáblovice,106138806,"[49.884460140315, 17.817163209537124]"
135, , ,Štáblovice,Štáblovice,106058806,"[49.87732549153089, 17.818484878312304]"
140, , ,Štáblovice,Štáblovice,106120806,"[49.877023252031954, 17.818930659460595]"
165, , ,Štáblovice,Štáblovice,106170806,"[49.88032648306701, 17.82047178682948]"
18, , ,Štáblovice,Štáblovice,106030806,"[49.88290743738286, 17.818421511489763]"
70, , ,Štáblovice,Štáblovice,106107806,"[49.88301795104661, 17.82093258144164]"
6, , ,Štáblovice,Lipina,93100806,"[49.86119085618782, 17.79646036071852]"
