cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
106, , ,Štíhlice,Štíhlice,62312794010,"[50.006804308948986, 14.77626666682659]"
99, , ,Štíhlice,Štíhlice,1095269209,"[50.00998651770826, 14.777519894638894]"
105, , ,Štíhlice,Štíhlice,62112871010,"[50.00760657349205, 14.779750120823332]"
39, , ,Štíhlice,Štíhlice,315731204,"[50.005529444050865, 14.786359752945344]"
104, , ,Štíhlice,Štíhlice,61133486010,"[50.006964476560576, 14.776930026422749]"
9, , ,Štíhlice,Štíhlice,315706204,"[50.01234322272221, 14.786992393866212]"
21, , ,Štíhlice,Štíhlice,315740204,"[50.01284132108554, 14.78921224034594]"
51, , ,Štíhlice,Štíhlice,315690204,"[50.0061105311599, 14.788246970160467]"
100, , ,Štíhlice,Štíhlice,29717488010,"[50.00690467814792, 14.78024469115784]"
101, , ,Štíhlice,Štíhlice,29717489010,"[50.00703529605523, 14.780499259888]"
97, , ,Štíhlice,Štíhlice,28868700010,"[50.00927721163598, 14.778503439636477]"
84, , ,Štíhlice,Štíhlice,16317924010,"[50.00733255694833, 14.776764825690401]"
75, , ,Štíhlice,Štíhlice,14823057010,"[50.00965289670448, 14.77801789388516]"
91, , ,Štíhlice,Štíhlice,16140778010,"[50.00741296295942, 14.77950669573677]"
90, , ,Štíhlice,Štíhlice,26562540010,"[50.007064758259986, 14.77628520252935]"
93, , ,Štíhlice,Štíhlice,1163619209,"[50.00619675024866, 14.777801005265639]"
89, , ,Štíhlice,Štíhlice,24302677010,"[50.00603860575284, 14.77807282822993]"
22, , ,Štíhlice,Štíhlice,315734204,"[50.012634688671845, 14.788916965032394]"
24, , ,Štíhlice,Štíhlice,315692204,"[50.006875649909006, 14.778421119063285]"
1, , ,Štíhlice,Štíhlice,22561656010,"[50.005843235872355, 14.779393732266144]"
83, , ,Štíhlice,Štíhlice,22750334010,"[50.01016741057837, 14.778094865765478]"
88, , ,Štíhlice,Štíhlice,1078673209,"[50.00657409469482, 14.777652904727066]"
86, , ,Štíhlice,Štíhlice,1113153209,"[50.005703058068086, 14.777649387706617]"
79, , ,Štíhlice,Štíhlice,1138840209,"[50.00672987139862, 14.777353418018155]"
82, , ,Štíhlice,Štíhlice,1161718209,"[50.003917407930096, 14.782858185482286]"
41, , ,Štíhlice,Štíhlice,315729204,"[50.00590999476791, 14.78759866081232]"
52, , ,Štíhlice,Štíhlice,315733204,"[50.00586615997149, 14.78729807637957]"
13, , ,Štíhlice,Štíhlice,315788204,"[50.0078476649517, 14.780363055507937]"
40, , ,Štíhlice,Štíhlice,315732204,"[50.00561147738944, 14.78731615146659]"
43, , ,Štíhlice,Štíhlice,315759204,"[50.005817583226495, 14.788135703355128]"
44, , ,Štíhlice,Štíhlice,315724204,"[50.00587787673719, 14.78849622926837]"
45, , ,Štíhlice,Štíhlice,315747204,"[50.005896583213925, 14.788596238338982]"
46, , ,Štíhlice,Štíhlice,315691204,"[50.00615087324734, 14.789037312493484]"
34, , ,Štíhlice,Štíhlice,315742204,"[50.01164526041113, 14.78760755582144]"
33, , ,Štíhlice,Štíhlice,315741204,"[50.011709674611716, 14.787791343587195]"
31, , ,Štíhlice,Štíhlice,315746204,"[50.011791454167444, 14.78811146013093]"
32, , ,Štíhlice,Štíhlice,315693204,"[50.01182095402896, 14.78783262140543]"
27, , ,Štíhlice,Štíhlice,315769204,"[50.01197116602597, 14.788422823589762]"
30, , ,Štíhlice,Štíhlice,315751204,"[50.011989430066286, 14.788172757075532]"
25, , ,Štíhlice,Štíhlice,315792204,"[50.01214274396245, 14.78870588386408]"
26, , ,Štíhlice,Štíhlice,315770204,"[50.01213476574178, 14.788453335498726]"
38, , ,Štíhlice,Štíhlice,315750204,"[50.01226624188206, 14.788240630818184]"
24, , ,Štíhlice,Štíhlice,315714204,"[50.012356607088954, 14.788793893487437]"
11, , ,Štíhlice,Štíhlice,315743204,"[50.012470161695944, 14.78737711191373]"
10, , ,Štíhlice,Štíhlice,315703204,"[50.01252417105774, 14.787093223646261]"
12, , ,Štíhlice,Štíhlice,315738204,"[50.01263567106521, 14.787456489887328]"
15, , ,Štíhlice,Štíhlice,315744204,"[50.01270910042367, 14.788116129548907]"
