cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
315, , ,Štítary,Štítary,62316858010,"[48.93858900831582, 15.84409085770837]"
27, , ,Štítary,Štítary,681460713,"[48.93498097840364, 15.843891217428625]"
598, , ,Štítary,Štítary,681979713,"[48.9265512011661, 15.80113779757161]"
506, , ,Štítary,Štítary,681901713,"[48.91769817986145, 15.802845108624473]"
312, , ,Štítary,Štítary,61156529010,"[48.93527652372484, 15.850708323819267]"
320, , ,Štítary,Štítary,61055578010,"[48.93194131786066, 15.84788420208333]"
724, , ,Štítary,Štítary,681398713,"[48.93190969249947, 15.785003776054719]"
304, , ,Štítary,Štítary,871191713,"[48.93774181871594, 15.842393450662367]"
263, , ,Štítary,Štítary,682262713,"[48.934339991829106, 15.847885354888705]"
429, , ,Štítary,Štítary,681438713,"[48.917027220761625, 15.80144574897453]"
572, , ,Štítary,Štítary,681949713,"[48.92028192911678, 15.800336247027415]"
282, , ,Štítary,Štítary,681433713,"[48.92043916303034, 15.827570801088484]"
310, , ,Štítary,Štítary,57598673010,"[48.93591030544883, 15.85048982008459]"
294, , ,Štítary,Štítary,45636228010,"[48.937963260050374, 15.84290486143297]"
785, , ,Štítary,Štítary,681779713,"[48.91835680774236, 15.807897707657668]"
786, , ,Štítary,Štítary,869701713,"[48.91834743745927, 15.808009324805854]"
290, , ,Štítary,Štítary,29071146010,"[48.93845898077409, 15.843571809968237]"
296, , ,Štítary,Štítary,29071152010,"[48.93857908644406, 15.843137857856648]"
783, , ,Štítary,Štítary,869702713,"[48.91851816513951, 15.807992281541424]"
782, , ,Štítary,Štítary,681781713,"[48.91852859658168, 15.807894213657306]"
784, , ,Štítary,Štítary,24635640010,"[48.913528134226546, 15.817822628214872]"
37, , ,Štítary,Štítary,24416602010,"[48.93341687692791, 15.84080783599467]"
362, , ,Štítary,Štítary,681762713,"[48.91393891234869, 15.817748649158986]"
773, , ,Štítary,Štítary,681796713,"[48.914020181526524, 15.817514180123545]"
432, , ,Štítary,Štítary,681814713,"[48.9138256817616, 15.817343117262208]"
498, , ,Štítary,Štítary,681889713,"[48.916527107101814, 15.802113092700926]"
499, , ,Štítary,Štítary,681750713,"[48.916644012256334, 15.8024492554982]"
194, , ,Štítary,Štítary,682097713,"[48.933321240526126, 15.851545558869756]"
293, , ,Štítary,Štítary,862549713,"[48.9377336600002, 15.842863640690368]"
305, , ,Štítary,Štítary,15682974010,"[48.93725459429278, 15.842990951161653]"
295, , ,Štítary,Štítary,16091282010,"[48.9382959045972, 15.843106262596484]"
57, , ,Štítary,Štítary,896700713,"[48.935432401163595, 15.841339057430165]"
16, , ,Štítary,Štítary,682113713,"[48.93460487931189, 15.84570737579168]"
120, , ,Štítary,Štítary,20126954010,"[48.93658107639774, 15.845269959121634]"
297, , ,Štítary,Štítary,16073662010,"[48.93881502843364, 15.843260416234083]"
331, , ,Štítary,Štítary,682130713,"[48.91280690392469, 15.819379192388203]"
233, , ,Štítary,Štítary,681616713,"[48.93257786366879, 15.854380484260421]"
351, , ,Štítary,Štítary,681757713,"[48.91412807733745, 15.820096194314303]"
522, , ,Štítary,Štítary,681595713,"[48.91751721448251, 15.802368659571801]"
683, , ,Štítary,Štítary,682178713,"[48.91634399939098, 15.815498199615009]"
503, , ,Štítary,Štítary,844817713,"[48.91684804965133, 15.80305948999932]"
257, , ,Štítary,Štítary,681697713,"[48.9208055453577, 15.8339353242269]"
660, , ,Štítary,Štítary,682022713,"[48.93150930458989, 15.784929793079751]"
670, , ,Štítary,Štítary,682032713,"[48.91600623819622, 15.817063178402316]"
237, , ,Štítary,Štítary,681591713,"[48.937558879820074, 15.844439488536793]"
431, , ,Štítary,Štítary,681812713,"[48.91754901806964, 15.800981140910043]"
249, , ,Štítary,Štítary,681668713,"[48.93254096538143, 15.854863605000396]"
314, , ,Štítary,Štítary,681731713,"[48.91476602587133, 15.823483021548492]"
