cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
47, , ,Štěměchy,Štěměchy,301522710,"[49.19225182673976, 15.713182982975546]"
74, , ,Štěměchy,Štěměchy,301474710,"[49.17822223012488, 15.711901479207189]"
9, , ,Štěměchy,Štěměchy,301451710,"[49.19279853938918, 15.712494217423087]"
108, , ,Štěměchy,Štěměchy,301519710,"[49.17732124624947, 15.716424365035788]"
141, , ,Štěměchy,Štěměchy,482881710,"[49.192813142559714, 15.712038958476276]"
78, , ,Štěměchy,Štěměchy,301573710,"[49.192898194522115, 15.71203787834732]"
130, , ,Štěměchy,Štěměchy,301577710,"[49.19360634979568, 15.716611253247155]"
91, , ,Štěměchy,Štěměchy,301460710,"[49.19495443535948, 15.708523123558772]"
14, , ,Štěměchy,Štěměchy,301436710,"[49.19375134634131, 15.706723449212433]"
61, , ,Štěměchy,Štěměchy,301512710,"[49.19351357443759, 15.709475838561858]"
128, , ,Štěměchy,Štěměchy,301579710,"[49.19466100797997, 15.706509057950953]"
34, , ,Štěměchy,Štěměchy,301599710,"[49.19353090347574, 15.716885157291294]"
103, , ,Štěměchy,Štěměchy,301597710,"[49.19473055394297, 15.706858384504931]"
122, , ,Štěměchy,Štěměchy,301518710,"[49.19426664295447, 15.712808719399824]"
89, , ,Štěměchy,Štěměchy,301506710,"[49.19378012377052, 15.7072853310282]"
92, , ,Štěměchy,Štěměchy,301531710,"[49.19469125909902, 15.708235976471235]"
32, , ,Štěměchy,Štěměchy,301564710,"[49.178043476445495, 15.711592586520675]"
109, , ,Štěměchy,Štěměchy,301529710,"[49.19425896983556, 15.706464365190437]"
76, , ,Štěměchy,Štěměchy,301450710,"[49.19288001001248, 15.713294347186165]"
8, , ,Štěměchy,Štěměchy,301440710,"[49.19294183066741, 15.712849780935727]"
137, , ,Štěměchy,Štěměchy,301600710,"[49.19399312689345, 15.70798755554117]"
46, , ,Štěměchy,Štěměchy,301435710,"[49.19241855391585, 15.712978027283533]"
35, , ,Štěměchy,Štěměchy,301523710,"[49.19380895539985, 15.710557236551207]"
63, , ,Štěměchy,Štěměchy,301459710,"[49.193391497730055, 15.709249470913734]"
145, , ,Štěměchy,Štěměchy,301605710,"[49.19269937359012, 15.715077245029928]"
151, , ,Štěměchy,Štěměchy,58282619010,"[49.19259510023283, 15.715248363206321]"
77, , ,Štěměchy,Štěměchy,301510710,"[49.192383665910086, 15.715093638076791]"
148, , ,Štěměchy,Štěměchy,26446388010,"[49.192399882839716, 15.71806177221218]"
147, , ,Štěměchy,Štěměchy,25792957010,"[49.19459054468528, 15.717701929407687]"
7, , ,Štěměchy,Štěměchy,301533710,"[49.19319280237762, 15.71317648963446]"
70, , ,Štěměchy,Štěměchy,301467710,"[49.19309459125489, 15.713194489980923]"
59, , ,Štěměchy,Štěměchy,301466710,"[49.19305793619359, 15.710658442017765]"
94, , ,Štěměchy,Štěměchy,301524710,"[49.193839744218245, 15.71564217030036]"
143, , ,Štěměchy,Štěměchy,481292710,"[49.19320711952124, 15.713588447297896]"
125, , ,Štěměchy,Štěměchy,301504710,"[49.19497558906946, 15.706257598607122]"
129, , ,Štěměchy,Štěměchy,301574710,"[49.19441998137873, 15.70649163136403]"
58, , ,Štěměchy,Štěměchy,301489710,"[49.19377867196611, 15.711529884427211]"
37, , ,Štěměchy,Štěměchy,301609710,"[49.19329459035587, 15.710529512557567]"
118, , ,Štěměchy,Štěměchy,301498710,"[49.193922498488284, 15.71184735064199]"
10, , ,Štěměchy,Štěměchy,301530710,"[49.193044571533115, 15.712171489592357]"
40, , ,Štěměchy,Štěměchy,301484710,"[49.19365668401023, 15.708112135402995]"
50, , ,Štěměchy,Štěměchy,301601710,"[49.19391644132334, 15.71306458668009]"
12, , ,Štěměchy,Štěměchy,301594710,"[49.19273648895172, 15.711062027435181]"
51, , ,Štěměchy,Štěměchy,301589710,"[49.193868564961996, 15.71344814880061]"
114, , ,Štěměchy,Štěměchy,301560710,"[49.19348932071459, 15.708689530276846]"
27, , ,Štěměchy,Štěměchy,301525710,"[49.193085959013715, 15.71524216351518]"
131, , ,Štěměchy,Štěměchy,301581710,"[49.19329891288678, 15.712884936910537]"
80, , ,Štěměchy,Štěměchy,301586710,"[49.193261823840665, 15.711451059014479]"
16, , ,Štěměchy,Štěměchy,301517710,"[49.19402977083973, 15.712619690185905]"
120, , ,Štěměchy,Štěměchy,301497710,"[49.19433248733178, 15.711532974131412]"
102, , ,Štěměchy,Štěměchy,301439710,"[49.19485560521016, 15.707709976457734]"
115, , ,Štěměchy,Štěměchy,301464710,"[49.193967056087956, 15.70848791172485]"
68, , ,Štěměchy,Štěměchy,301479710,"[49.194246711314754, 15.70986863277457]"
22, , ,Štěměchy,Štěměchy,301540710,"[49.19380881324475, 15.713695829039743]"
116, , ,Štěměchy,Štěměchy,301465710,"[49.193958749698034, 15.708138690678533]"
126, , ,Štěměchy,Štěměchy,301562710,"[49.19438631599322, 15.709671255450548]"
69, , ,Štěměchy,Štěměchy,301516710,"[49.19430646039474, 15.717185571324004]"
124, , ,Štěměchy,Štěměchy,301557710,"[49.19409980891001, 15.71342304087335]"
133, , ,Štěměchy,Štěměchy,301582710,"[49.19493899485258, 15.707388846021395]"
44, , ,Štěměchy,Štěměchy,301471710,"[49.19384202940734, 15.709574124171038]"
49, , ,Štěměchy,Štěměchy,301585710,"[49.19254660686578, 15.713740593729765]"
90, , ,Štěměchy,Štěměchy,301542710,"[49.193637315758, 15.712308962678504]"
55, , ,Štěměchy,Štěměchy,301457710,"[49.193204063247755, 15.716038488923273]"
84, , ,Štěměchy,Štěměchy,301559710,"[49.19359343105633, 15.708732627127665]"
123, , ,Štěměchy,Štěměchy,301527710,"[49.19423303010854, 15.710916328476232]"
107, , ,Štěměchy,Štěměchy,301520710,"[49.191729254650554, 15.714360230837041]"
20, , ,Štěměchy,Štěměchy,301556710,"[49.193893395321965, 15.713245839650646]"
75, , ,Štěměchy,Štěměchy,301449710,"[49.1943350431309, 15.7086752664531]"
1, , ,Štěměchy,Štěměchy,301591710,"[49.19178992700526, 15.71558093461249]"
19, , ,Štěměchy,Štěměchy,301532710,"[49.19414522080845, 15.712993218168828]"
13, , ,Štěměchy,Štěměchy,301481710,"[49.19370888913324, 15.711132511872602]"
11, , ,Štěměchy,Štěměchy,301487710,"[49.19346709516526, 15.711527439805865]"
117, , ,Štěměchy,Štěměchy,301448710,"[49.19461402509269, 15.709055010628742]"
54, , ,Štěměchy,Štěměchy,301534710,"[49.193308143588446, 15.715591018502181]"
121, , ,Štěměchy,Štěměchy,301509710,"[49.194276298277764, 15.71122196591326]"
139, , ,Štěměchy,Štěměchy,453508710,"[49.19518262131646, 15.708351092653743]"
138, , ,Štěměchy,Štěměchy,387244710,"[49.19341138194197, 15.707772522164273]"
142, , ,Štěměchy,Štěměchy,469241710,"[49.19212148623043, 15.713892712717955]"
150, , ,Štěměchy,Štěměchy,29389143010,"[49.19276438774796, 15.715327897050784]"
152, , ,Štěměchy,Štěměchy,47390186010,"[49.19534513414653, 15.708304290746657]"
4, , ,Štěměchy,Štěměchy,301588710,"[49.192405692212844, 15.71341748501207]"
73, , ,Štěměchy,Štěměchy,301578710,"[49.1937303724671, 15.714252621538874]"
24, , ,Štěměchy,Štěměchy,301503710,"[49.19383035481412, 15.71402700524533]"
36, , ,Štěměchy,Štěměchy,301463710,"[49.19368249588062, 15.709963514817916]"
62, , ,Štěměchy,Štěměchy,301477710,"[49.193538495543635, 15.709285119409214]"
67, , ,Štěměchy,Štěměchy,301528710,"[49.19467182674521, 15.707460372994051]"
88, , ,Štěměchy,Štěměchy,402464710,"[49.192044390028705, 15.71515580659322]"
95, , ,Štěměchy,Štěměchy,301485710,"[49.19419981253324, 15.717110169077202]"
104, , ,Štěměchy,Štěměchy,301445710,"[49.19409766485022, 15.716963048329324]"
111, , ,Štěměchy,Štěměchy,301438710,"[49.193765802429965, 15.715393148430463]"
132, , ,Štěměchy,Štěměchy,313943710,"[49.19387394809507, 15.71435068546293]"
146, , ,Štěměchy,Štěměchy,301537710,"[49.176812934561596, 15.716453916538589]"
149, , ,Štěměchy,Štěměchy,14419148010,"[49.192461806876786, 15.714015244346992]"
72, , ,Štěměchy,Štěměchy,301447710,"[49.193640844872945, 15.716107018553355]"
81, , ,Štěměchy,Štěměchy,301507710,"[49.193809016277704, 15.710880051659895]"
140, , ,Štěměchy,Štěměchy,472663710,"[49.192063250617636, 15.714129741350014]"
33, , ,Štěměchy,Štěměchy,301521710,"[49.17848833027724, 15.712195887699403]"
134, , ,Štěměchy,Štěměchy,301580710,"[49.194853177126916, 15.706888132717797]"
106, , ,Štěměchy,Štěměchy,301526710,"[49.19502817889101, 15.706925134354009]"
136, , ,Štěměchy,Štěměchy,301575710,"[49.19304948591487, 15.711931375369083]"
83, , ,Štěměchy,Štěměchy,301478710,"[49.193639476840595, 15.71194760017086]"
25, , ,Štěměchy,Štěměchy,301596710,"[49.193648595904854, 15.71436434455145]"
26, , ,Štěměchy,Štěměchy,301547710,"[49.19361647257702, 15.714646621096096]"
60, , ,Štěměchy,Štěměchy,301482710,"[49.193329382492664, 15.710885066140534]"
21, , ,Štěměchy,Štěměchy,301488710,"[49.193613531031424, 15.713458683949519]"
65, , ,Štěměchy,Štěměchy,301491710,"[49.19323110162535, 15.710212110966435]"
98, , ,Štěměchy,Štěměchy,301494710,"[49.19351220398466, 15.710561339100373]"
82, , ,Štěměchy,Štěměchy,301508710,"[49.19443020521283, 15.708762293620385]"
119, , ,Štěměchy,Štěměchy,301499710,"[49.19446374787742, 15.71194851847575]"
93, , ,Štěměchy,Štěměchy,301553710,"[49.19445012481386, 15.708095288157665]"
105, , ,Štěměchy,Štěměchy,301470710,"[49.19475484010169, 15.708744222157767]"
2, , ,Štěměchy,Štěměchy,301584710,"[49.1971178592637, 15.704938637689951]"
