cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
7, , ,Štěpkov,Štěpkov,301670710,"[49.083567865251766, 15.652460026913419]"
44, , ,Štěpkov,Štěpkov,130778741,"[49.08354361308584, 15.651926677775096]"
26, , ,Štěpkov,Štěpkov,301652710,"[49.085673952981736, 15.648615604238445]"
14, , ,Štěpkov,Štěpkov,301621710,"[49.08321545919246, 15.649626241845441]"
18, , ,Štěpkov,Štěpkov,301626710,"[49.08363575911919, 15.649644538961283]"
10, , ,Štěpkov,Štěpkov,301666710,"[49.084220912878166, 15.652597531879222]"
5, , ,Štěpkov,Štěpkov,301630710,"[49.08320879569757, 15.651262693629505]"
16, , ,Štěpkov,Štěpkov,301645710,"[49.08305978233995, 15.649399796980463]"
27, , ,Štěpkov,Štěpkov,301674710,"[49.083927861525595, 15.65409118165458]"
4, , ,Štěpkov,Štěpkov,301628710,"[49.083268361568756, 15.651469746136875]"
33, , ,Štěpkov,Štěpkov,301682710,"[49.08389259039874, 15.651283233355432]"
12, , ,Štěpkov,Štěpkov,301641710,"[49.08383303158387, 15.65367728193988]"
36, , ,Štěpkov,Štěpkov,301657710,"[49.083810962873756, 15.652083477687436]"
9, , ,Štěpkov,Štěpkov,301633710,"[49.083122400743996, 15.650272206113844]"
6, , ,Štěpkov,Štěpkov,301622710,"[49.083135444349416, 15.651067970913903]"
31, , ,Štěpkov,Štěpkov,301665710,"[49.08499216145047, 15.649308808037988]"
39, , ,Štěpkov,Štěpkov,301619710,"[49.08417765625831, 15.649865086220156]"
11, , ,Štěpkov,Štěpkov,301615710,"[49.08304233345892, 15.65000894421968]"
17, , ,Štěpkov,Štěpkov,301625710,"[49.08357756987739, 15.649888033751607]"
2, , ,Štěpkov,Štěpkov,301647710,"[49.08436752702834, 15.64923258016925]"
20, , ,Štěpkov,Štěpkov,301614710,"[49.08409178369318, 15.648827734139688]"
35, , ,Štěpkov,Štěpkov,301655710,"[49.08488444915456, 15.647205726670911]"
13, , ,Štěpkov,Štěpkov,301632710,"[49.08330567270582, 15.649711674021871]"
29, , ,Štěpkov,Štěpkov,301656710,"[49.0850620669664, 15.648711211183617]"
37, , ,Štěpkov,Štěpkov,301611710,"[49.08486204463498, 15.64675517840457]"
24, , ,Štěpkov,Štěpkov,301638710,"[49.08444790447825, 15.647305592845276]"
40, , ,Štěpkov,Štěpkov,301658710,"[49.084072626942536, 15.650135826412258]"
32, , ,Štěpkov,Štěpkov,301646710,"[49.08395616183955, 15.65241984003879]"
41, , ,Štěpkov,Štěpkov,301664710,"[49.08306305102182, 15.649073887948639]"
8, , ,Štěpkov,Štěpkov,301675710,"[49.08354610933374, 15.652983229640654]"
21, , ,Štěpkov,Štěpkov,301618710,"[49.084208259252506, 15.648383054102771]"
28, , ,Štěpkov,Štěpkov,301660710,"[49.08516506583532, 15.648465107482185]"
19, , ,Štěpkov,Štěpkov,301643710,"[49.08383457037267, 15.649292127017489]"
1, , ,Štěpkov,Štěpkov,301669710,"[49.084541358857294, 15.649773004890013]"
34, , ,Štěpkov,Štěpkov,301623710,"[49.0838007393291, 15.652315104462051]"
25, , ,Štěpkov,Štěpkov,301650710,"[49.085409854603725, 15.647701934442372]"
15, , ,Štěpkov,Štěpkov,301649710,"[49.0831234940573, 15.649566644156007]"
3, , ,Štěpkov,Štěpkov,301612710,"[49.083434822902376, 15.651491083954705]"
22, , ,Štěpkov,Štěpkov,301663710,"[49.08426155641755, 15.648029028581329]"
30, , ,Štěpkov,Štěpkov,301640710,"[49.0849421605004, 15.648917815100877]"
38, , ,Štěpkov,Štěpkov,301659710,"[49.08382369480893, 15.653339624926703]"
42, , ,Štěpkov,Štěpkov,119825741,"[49.08433386879059, 15.652190468312128]"
43, , ,Štěpkov,Štěpkov,14989538010,"[49.083560258959, 15.653454452220638]"
23, , ,Štěpkov,Štěpkov,301677710,"[49.084335557053954, 15.647643745298662]"
45, , ,Štěpkov,Štěpkov,53788392010,"[49.084565953648664, 15.651683275850758]"
