cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
144, , ,43401,Želenice,Želenice,Želenice,795933,"[50.52802446482216, 13.729074843779532]"
24, , ,43401,Želenice,Liběšice,Liběšice,795925,"[50.51928034623531, 13.743938846974965]"
61, , ,43401,Želenice,Želenice,Želenice,795933,"[50.52900229523977, 13.725204138221107]"
11, , ,43401,Želenice,Želenice,Želenice,795933,"[50.53076683408275, 13.732055478107535]"
54, ,Horní Ulice,27341,Želenice,Želenice,Želenice,795917,"[50.20721086721645, 14.162338428584736]"
25, , ,43401,Želenice,Liběšice,Liběšice,795925,"[50.52070650766455, 13.747788911436848]"
43, , ,43401,Želenice,Liběšice,Liběšice,795925,"[50.52166920397998, 13.749434418098703]"
41, , ,43401,Želenice,Liběšice,Liběšice,795925,"[50.52121891095288, 13.748312318709752]"
11, ,Dolní Ulice,27341,Želenice,Želenice,Želenice,795917,"[50.21037771046529, 14.165047511773137]"
35, ,Horní Ulice,27341,Želenice,Želenice,Želenice,795917,"[50.20869030880375, 14.162576329162187]"
39, , ,43401,Želenice,Liběšice,Liběšice,795925,"[50.520779622882344, 13.746965214674592]"
527, , ,43401,Želenice,Želenice,Želenice,795933,"[50.52617274483536, 13.721810873174654]"
545, , ,43401,Želenice,Želenice,Želenice,795933,"[50.52719917611482, 13.722603758476662]"
21, , ,43401,Želenice,Liběšice,Liběšice,795925,"[50.52102999255623, 13.748526851919014]"
73, , ,27341,Želenice,Želenice,Želenice,795917,"[50.20319644845999, 14.179004648295535]"
19, , ,43401,Želenice,Liběšice,Liběšice,795925,"[50.51933281837917, 13.746024320342967]"
118, , ,43401,Želenice,Želenice,Želenice,795933,"[50.52559996317179, 13.725833736803756]"
37, , ,43401,Želenice,Liběšice,Liběšice,795925,"[50.52104003119383, 13.747954418830396]"
10, , ,43401,Želenice,Želenice,Želenice,795933,"[50.52760071605833, 13.7268994004292]"
5, , ,43401,Želenice,Želenice,Želenice,795933,"[50.52861621815446, 13.727567485179144]"
540, , ,43401,Želenice,Želenice,Želenice,795933,"[50.52714672699436, 13.72312678572048]"
35, , ,43401,Želenice,Liběšice,Liběšice,795925,"[50.52062293807758, 13.746895964819457]"
553, , ,43401,Želenice,Želenice,Želenice,795933,"[50.52701242159075, 13.72249703961442]"
82, , ,43401,Želenice,Želenice,Želenice,795933,"[50.52799816266973, 13.726945691133036]"
1, ,Dolní Ulice,27341,Želenice,Želenice,Želenice,795917,"[50.21196108569546, 14.163581545412717]"
552, , ,43401,Želenice,Želenice,Želenice,795933,"[50.527072020097805, 13.722019263091413]"
153, , ,43401,Želenice,Želenice,Želenice,795933,"[50.52870498809725, 13.729254149148082]"
