cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
389, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.01660942852857, 17.235489264375886]"
119, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.017723603180144, 17.2396952682244]"
38, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.02327807661358, 17.236308565255943]"
97, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.0252034860342, 17.240299698528005]"
171, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.024945854089204, 17.237289712462257]"
98, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.01941795539416, 17.238558349285682]"
382, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.02674297056018, 17.241868174953236]"
148, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.02043318336413, 17.235710887888573]"
326, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.016218698249595, 17.2389195053847]"
19, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.02448452558506, 17.23680378765772]"
216, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.01683685976155, 17.236673398741726]"
276, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.01582261483326, 17.23927137764331]"
214, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.02103589196387, 17.23587205102259]"
283, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.016932667102814, 17.23911672873829]"
269, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.01600528796972, 17.23947713233819]"
232, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.023212130071684, 17.238027383517835]"
159, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.017102949085995, 17.237493609154686]"
135, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.01514638847321, 17.23483974421199]"
334, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.01619589798955, 17.24042007381879]"
112, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.02213433918303, 17.236101226685218]"
246, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.01843589476671, 17.234867796826514]"
238, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.016459893076394, 17.237921550059546]"
388, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.01643315954747, 17.235419813757254]"
306, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.014957142885685, 17.2346097243958]"
44, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.023891996204114, 17.237806533409188]"
89, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.023081252232465, 17.23798442588199]"
168, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.02322982682142, 17.234191225956717]"
99, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.02067811107541, 17.23567937740258]"
37, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.023281992364794, 17.235701397861973]"
53, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.02471014175158, 17.23781179839541]"
131, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.01937108376885, 17.238975071230993]"
132, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.019289033179405, 17.23890492609262]"
151, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.0195954480273, 17.23582034305806]"
180, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.02131104727892, 17.23625589687308]"
275, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.017606324803474, 17.239752203620746]"
332, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.02286362937519, 17.234014948438634]"
266, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.01796758444976, 17.239213783509342]"
227, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.02002351491633, 17.235763258982274]"
243, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.01891964722203, 17.23873364671888]"
188, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.023117444987975, 17.233370971434113]"
80, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.0244266801069, 17.238329300062]"
33, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.02334063208326, 17.234425485396773]"
397, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.01490312371007, 17.239650085066057]"
371, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.0261228441825, 17.23601428314043]"
165, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.02308164344228, 17.23306363419336]"
361, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.019943787192375, 17.23884964485733]"
378, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.02022806752084, 17.23568249497606]"
312, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.01632680324418, 17.237839362361825]"
204, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.02332592604595, 17.236648157993102]"
127, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.02098440486829, 17.238622913915403]"
6, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.016707475910906, 17.242872240136816]"
393, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.02411055787108, 17.24114023459636]"
181, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.02473858552834, 17.237439326436782]"
126, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.02113686998851, 17.23864363571373]"
366, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.02322407520517, 17.230801101433595]"
160, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.017168461610375, 17.237235801420784]"
273, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.015662657397684, 17.239752472759385]"
70, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.018298570459294, 17.234784469641852]"
31, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.02415032311398, 17.235419086542475]"
360, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.01988013543544, 17.2388643779274]"
156, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.01832156191251, 17.236110256083464]"
278, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.01537290449326, 17.23988184817269]"
5, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.01843073565435, 17.235173485828277]"
321, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.01531654637781, 17.235400081150573]"
36, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.02288264371828, 17.23687423494216]"
391, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.01692347171999, 17.235730186634104]"
167, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.02490753783773, 17.238530144467145]"
249, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.019851701403205, 17.238477618063698]"
166, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.02119779767774, 17.23599947813978]"
239, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.0169665893474, 17.23889256751983]"
144, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.017004259404466, 17.237828444891676]"
310, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.023091948010865, 17.230565687969616]"
330, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.017118244513675, 17.24000493886324]"
342, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.022369439254724, 17.229982610257554]"
211, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.019478669481856, 17.235843548776167]"
140, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.025791769405615, 17.241022718496442]"
374, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.0194020630712, 17.235257158682113]"
150, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.019859399653285, 17.23578952134962]"
212, , ,69647,Žeravice,Žeravice,Žeravice,796425,"[49.01676055004327, 17.237896444026852]"
