cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
1, , ,53843,Žlebské Chvalovice,Žlebská Lhotka,Žlebská Lhotka,797618,"[49.898306215164915, 15.553295222088122]"
78, , ,53843,Žlebské Chvalovice,Žlebské Chvalovice,Žlebské Chvalovice,797618,"[49.89328306999703, 15.561129257853914]"
90, , ,53843,Žlebské Chvalovice,Žlebské Chvalovice,Žlebské Chvalovice,797618,"[49.89101714887968, 15.567448087314553]"
85, , ,53843,Žlebské Chvalovice,Žlebské Chvalovice,Žlebské Chvalovice,797618,"[49.89398854115636, 15.564982108674402]"
20, , ,53843,Žlebské Chvalovice,Žlebské Chvalovice,Žlebské Chvalovice,797618,"[49.894357274381086, 15.564391631556854]"
81, , ,53843,Žlebské Chvalovice,Žlebské Chvalovice,Žlebské Chvalovice,797618,"[49.89261960716278, 15.566601510574356]"
70, , ,53843,Žlebské Chvalovice,Žlebské Chvalovice,Žlebské Chvalovice,797618,"[49.89326806441116, 15.566837904854742]"
31, , ,53843,Žlebské Chvalovice,Žlebská Lhotka,Žlebská Lhotka,797618,"[49.89853700791202, 15.556363451356615]"
33, , ,53843,Žlebské Chvalovice,Žlebská Lhotka,Žlebská Lhotka,797618,"[49.89983682389734, 15.556661175427243]"
35, , ,53843,Žlebské Chvalovice,Žlebské Chvalovice,Žlebské Chvalovice,797618,"[49.8904987719596, 15.56829362893908]"
83, , ,53843,Žlebské Chvalovice,Žlebské Chvalovice,Žlebské Chvalovice,797618,"[49.89258462585122, 15.566128171178143]"
32, , ,53843,Žlebské Chvalovice,Žlebské Chvalovice,Žlebské Chvalovice,797618,"[49.89334142648543, 15.561725220415246]"
44, , ,53843,Žlebské Chvalovice,Žlebské Chvalovice,Žlebské Chvalovice,797618,"[49.89200245798878, 15.568221775910509]"
93, , ,53843,Žlebské Chvalovice,Žlebské Chvalovice,Žlebské Chvalovice,797618,"[49.891239174123484, 15.569230812369167]"
6, , ,53843,Žlebské Chvalovice,Žlebské Chvalovice,Žlebské Chvalovice,797618,"[49.895939000283335, 15.564941512724365]"
75, , ,53843,Žlebské Chvalovice,Žlebské Chvalovice,Žlebské Chvalovice,797618,"[49.89444113767139, 15.564819711407129]"
68, , ,53843,Žlebské Chvalovice,Žlebské Chvalovice,Žlebské Chvalovice,797618,"[49.894032865129695, 15.562059572893997]"
49, , ,53843,Žlebské Chvalovice,Žlebské Chvalovice,Žlebské Chvalovice,797618,"[49.891756974742755, 15.567973579353866]"
6, , ,53843,Žlebské Chvalovice,Žlebská Lhotka,Žlebská Lhotka,797618,"[49.898870150704106, 15.556212903611979]"
5, , ,53843,Žlebské Chvalovice,Žlebské Chvalovice,Žlebské Chvalovice,797618,"[49.8987498457415, 15.556360758013696]"
1, , ,53843,Žlebské Chvalovice,Žlebské Chvalovice,Žlebské Chvalovice,797618,"[49.8938255004185, 15.563372523784892]"
2, , ,53843,Žlebské Chvalovice,Žlebské Chvalovice,Žlebské Chvalovice,797618,"[49.893982396721256, 15.563186656604655]"
86, , ,53843,Žlebské Chvalovice,Žlebské Chvalovice,Žlebské Chvalovice,797618,"[49.894175511634174, 15.563615950514796]"
34, , ,53843,Žlebské Chvalovice,Žlebské Chvalovice,Žlebské Chvalovice,797618,"[49.89269733794421, 15.568003958423446]"
74, , ,53843,Žlebské Chvalovice,Žlebské Chvalovice,Žlebské Chvalovice,797618,"[49.89089707723638, 15.567990669695169]"
58, , ,53843,Žlebské Chvalovice,Žlebské Chvalovice,Žlebské Chvalovice,797618,"[49.893280774175714, 15.567321769496333]"
26, , ,53843,Žlebské Chvalovice,Žlebské Chvalovice,Žlebské Chvalovice,797618,"[49.89266817662653, 15.567528537021191]"
2, , ,53843,Žlebské Chvalovice,Žlebská Lhotka,Žlebská Lhotka,797618,"[49.89917423037108, 15.553443773297529]"
4, , ,53843,Žlebské Chvalovice,Žlebské Chvalovice,Žlebské Chvalovice,797618,"[49.891475435919375, 15.568623512547509]"
95, , ,53843,Žlebské Chvalovice,Žlebské Chvalovice,Žlebské Chvalovice,797618,"[49.89386441416063, 15.565650012066829]"
64, , ,53843,Žlebské Chvalovice,Žlebské Chvalovice,Žlebské Chvalovice,797618,"[49.89362201353451, 15.56257417988936]"
42, , ,53843,Žlebské Chvalovice,Žlebské Chvalovice,Žlebské Chvalovice,797618,"[49.89216930176545, 15.567608369694804]"
23, , ,53843,Žlebské Chvalovice,Žlebská Lhotka,Žlebská Lhotka,797618,"[49.89926897971843, 15.553983975637722]"
27, , ,53843,Žlebské Chvalovice,Žlebské Chvalovice,Žlebské Chvalovice,797618,"[49.89493775463743, 15.568285180290255]"
37, , ,53843,Žlebské Chvalovice,Žlebská Lhotka,Žlebská Lhotka,797618,"[49.89740923956088, 15.55282934764917]"
32, , ,53843,Žlebské Chvalovice,Žlebská Lhotka,Žlebská Lhotka,797618,"[49.898858769364324, 15.555994188918605]"
7, , ,53843,Žlebské Chvalovice,Žlebská Lhotka,Žlebská Lhotka,797618,"[49.900059917431015, 15.55430013100905]"
77, , ,53843,Žlebské Chvalovice,Žlebské Chvalovice,Žlebské Chvalovice,797618,"[49.892798872747534, 15.560857947321262]"
52, , ,53843,Žlebské Chvalovice,Žlebské Chvalovice,Žlebské Chvalovice,797618,"[49.89393048595965, 15.561794148797743]"
94, , ,53843,Žlebské Chvalovice,Žlebské Chvalovice,Žlebské Chvalovice,797618,"[49.8953604057442, 15.566012250368432]"
60, , ,53843,Žlebské Chvalovice,Žlebské Chvalovice,Žlebské Chvalovice,797618,"[49.892993611956314, 15.561337533915658]"
3, , ,53843,Žlebské Chvalovice,Žlebské Chvalovice,Žlebské Chvalovice,797618,"[49.8945792055557, 15.568080349187786]"
71, , ,53843,Žlebské Chvalovice,Žlebské Chvalovice,Žlebské Chvalovice,797618,"[49.89143186551554, 15.568950862120799]"
16, , ,53843,Žlebské Chvalovice,Žlebská Lhotka,Žlebská Lhotka,797618,"[49.89930394280865, 15.55687363903963]"
23, , ,53843,Žlebské Chvalovice,Žlebské Chvalovice,Žlebské Chvalovice,797618,"[49.8883402247555, 15.5732243294369]"
30, , ,53843,Žlebské Chvalovice,Žlebská Lhotka,Žlebská Lhotka,797618,"[49.897063868800345, 15.551737972118334]"
9, , ,53843,Žlebské Chvalovice,Žlebské Chvalovice,Žlebské Chvalovice,797618,"[49.89477242728501, 15.565193308835223]"
40, , ,53843,Žlebské Chvalovice,Žlebské Chvalovice,Žlebské Chvalovice,797618,"[49.89236616238063, 15.567152773858984]"
9, , ,53843,Žlebské Chvalovice,Žlebská Lhotka,Žlebská Lhotka,797618,"[49.89845421026537, 15.555920558168001]"
21, , ,53843,Žlebské Chvalovice,Žlebská Lhotka,Žlebská Lhotka,797618,"[49.899805258758214, 15.556536728526737]"
17, , ,53843,Žlebské Chvalovice,Žlebské Chvalovice,Žlebské Chvalovice,797618,"[49.895596439669994, 15.565428620855993]"
41, , ,53843,Žlebské Chvalovice,Žlebské Chvalovice,Žlebské Chvalovice,797618,"[49.89214805809563, 15.568608168404868]"
5, , ,53843,Žlebské Chvalovice,Žlebská Lhotka,Žlebská Lhotka,797618,"[49.89928609792893, 15.553849755293944]"
67, , ,53843,Žlebské Chvalovice,Žlebské Chvalovice,Žlebské Chvalovice,797618,"[49.891222534931266, 15.567801159901066]"
