cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
114, , ,79065,Žulová,Žulová,Žulová,797804,"[50.301866918129036, 17.12078341238951]"
185, ,Bezručova,79065,Žulová,Žulová,Žulová,797804,"[50.30795222247782, 17.09801961167339]"
395, , ,79065,Žulová,Tomíkovice,Tomíkovice,748455,"[50.32185955056685, 17.109477629155865]"
167, ,Na Kopci,79065,Žulová,Žulová,Žulová,797804,"[50.31123616453227, 17.099909584976242]"
68, ,Josefské náměstí,79065,Žulová,Žulová,Žulová,797804,"[50.30917236694524, 17.100335925088817]"
99, , ,79065,Žulová,Žulová,Žulová,797804,"[50.31271686624141, 17.128437492608015]"
93, , ,79065,Žulová,Žulová,Žulová,797804,"[50.309025847182745, 17.101877252025922]"
117, , ,79065,Žulová,Žulová,Žulová,797804,"[50.29964527591012, 17.118708215743307]"
196, ,Hlavní,79065,Žulová,Žulová,Žulová,797804,"[50.30742750568496, 17.10222228396173]"
120, ,Mariánské náměstí,79065,Žulová,Žulová,Žulová,797804,"[50.309172100599106, 17.097715374394205]"
27, ,Hlavní,79065,Žulová,Žulová,Žulová,797804,"[50.31005319574522, 17.097959490478154]"
45, ,Hlavní,79065,Žulová,Žulová,Žulová,797804,"[50.30700359300459, 17.101363224407788]"
179, ,Hlavní,79065,Žulová,Žulová,Žulová,797804,"[50.30865359701462, 17.099290970838823]"
146, , ,79065,Žulová,Žulová,Žulová,797804,"[50.302121392986976, 17.121044802348383]"
92, , ,79065,Žulová,Žulová,Žulová,797804,"[50.30942150462406, 17.101792424012373]"
173, ,Hlavní,79065,Žulová,Žulová,Žulová,797804,"[50.307926463867396, 17.10126033797773]"
300, , ,79065,Žulová,Tomíkovice,Tomíkovice,748455,"[50.32429842146709, 17.100965305724543]"
255, ,Na Kopci,79065,Žulová,Žulová,Žulová,797804,"[50.311998165587944, 17.10002856165482]"
11, ,Mariánské náměstí,79065,Žulová,Žulová,Žulová,797804,"[50.308799266185126, 17.097859402793983]"
303, , ,79065,Žulová,Tomíkovice,Tomíkovice,748455,"[50.32427897919449, 17.102196242262856]"
19, ,Hlavní,79065,Žulová,Žulová,Žulová,797804,"[50.30889754905134, 17.097371178039563]"
334, , ,79065,Žulová,Tomíkovice,Tomíkovice,748455,"[50.330828973427906, 17.10817346063236]"
233, ,Janáčkova,79065,Žulová,Žulová,Žulová,797804,"[50.308832656416364, 17.096727376493202]"
123, ,Hlavní,79065,Žulová,Žulová,Žulová,797804,"[50.307811706714375, 17.100913954328906]"
358, , ,79065,Žulová,Tomíkovice,Tomíkovice,748455,"[50.3384015909201, 17.106381240130702]"
104, ,Mariánské náměstí,79065,Žulová,Žulová,Žulová,797804,"[50.309609262183045, 17.09766301534994]"
108, ,Mariánské náměstí,79065,Žulová,Žulová,Žulová,797804,"[50.3097935734777, 17.0977184566104]"
65, ,Hlavní,79065,Žulová,Žulová,Žulová,797804,"[50.30501138277884, 17.09877713731242]"
60, ,Školní,79065,Žulová,Žulová,Žulová,797804,"[50.306531063612816, 17.097759943579064]"
116, , ,79065,Žulová,Žulová,Žulová,797804,"[50.29991935116329, 17.11822945576989]"
105, ,Mariánské náměstí,79065,Žulová,Žulová,Žulová,797804,"[50.30965579389215, 17.09768385823404]"
184, ,Komenského,79065,Žulová,Žulová,Žulová,797804,"[50.31108678102278, 17.09764300305417]"
263, ,Nýznerovská,79065,Žulová,Žulová,Žulová,797804,"[50.30563888180544, 17.093897924649767]"
329, , ,79065,Žulová,Tomíkovice,Tomíkovice,748455,"[50.32945365869089, 17.105497723550442]"
171, , ,79065,Žulová,Žulová,Žulová,797804,"[50.29798773494311, 17.10726309607309]"
63, ,Školní,79065,Žulová,Žulová,Žulová,797804,"[50.308433506588955, 17.10024770954569]"
389, , ,79065,Žulová,Tomíkovice,Tomíkovice,748455,"[50.322648037187676, 17.10783161145867]"
229, ,Sokolská,79065,Žulová,Žulová,Žulová,797804,"[50.30737421982829, 17.094914804781165]"
