cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
65, , ,Žďárek,Žďárek,60967437010,"[50.6410086263196, 15.110127216150001]"
63, , ,Žďárek,Žďárek,57520623010,"[50.643007911650955, 15.108877918374441]"
62, , ,Žďárek,Žďárek,44647155010,"[50.642460357149076, 15.108831554802451]"
58, , ,Žďárek,Žďárek,23320311010,"[50.640703163677394, 15.10995549655646]"
38, , ,Žďárek,Žďárek,392353505,"[50.64119127526057, 15.11094024906093]"
27, , ,Žďárek,Žďárek,392372505,"[50.64031013068849, 15.113027640551078]"
6, , ,Žďárek,Žďárek,392402505,"[50.64701076506074, 15.098620178525001]"
6, , ,Žďárek,Žďárek,392394505,"[50.63997613859725, 15.111042699137577]"
33, , ,Žďárek,Žďárek,392351505,"[50.641287527054814, 15.110564538911788]"
7, , ,Žďárek,Žďárek,392360505,"[50.64059822457502, 15.111002800000499]"
30, , ,Žďárek,Žďárek,392367505,"[50.63974294253847, 15.110961444354125]"
25, , ,Žďárek,Žďárek,392396505,"[50.63988009698447, 15.112644007296534]"
35, , ,Žďárek,Žďárek,392352505,"[50.64043223867578, 15.111634844313855]"
24, , ,Žďárek,Žďárek,392358505,"[50.63938972561541, 15.11240964330478]"
49, , ,Žďárek,Žďárek,392377505,"[50.63789862867214, 15.111461497064594]"
1, , ,Žďárek,Žďárek,392408505,"[50.641653277682394, 15.113120348939237]"
16, , ,Žďárek,Žďárek,392364505,"[50.64111879760231, 15.111496442710331]"
3, , ,Žďárek,Žďárek,392400505,"[50.635516697857284, 15.099198563105672]"
8, , ,Žďárek,Žďárek,392406505,"[50.64010192974192, 15.111627461943291]"
39, , ,Žďárek,Žďárek,392349505,"[50.63756598199889, 15.111272031112204]"
42, , ,Žďárek,Žďárek,392347505,"[50.63557472798713, 15.098306292750857]"
50, , ,Žďárek,Žďárek,392403505,"[50.63673951411143, 15.111327328879192]"
34, , ,Žďárek,Žďárek,392387505,"[50.64037188686805, 15.111005673338921]"
10, , ,Žďárek,Žďárek,392410505,"[50.641487781403995, 15.11257649072456]"
21, , ,Žďárek,Žďárek,392384505,"[50.64246055749717, 15.113392334170948]"
20, , ,Žďárek,Žďárek,392399505,"[50.64213683103951, 15.113201039172408]"
32, , ,Žďárek,Žďárek,392409505,"[50.641546048716926, 15.109748066291631]"
11, , ,Žďárek,Žďárek,392407505,"[50.640170228368014, 15.112200728056502]"
15, , ,Žďárek,Žďárek,392363505,"[50.64081747254558, 15.111357657654768]"
28, , ,Žďárek,Žďárek,392411505,"[50.63563227870838, 15.111120292554897]"
12, , ,Žďárek,Žďárek,392404505,"[50.63657695360638, 15.111257633795404]"
52, , ,Žďárek,Žďárek,392413505,"[50.636119629806565, 15.099208123599167]"
14, , ,Žďárek,Žďárek,392375505,"[50.641782723263624, 15.109524043376442]"
40, , ,Žďárek,Žďárek,392389505,"[50.63426556319608, 15.110141770598146]"
9, , ,Žďárek,Žďárek,392374505,"[50.63933415671143, 15.111727931025536]"
56, , ,Žďárek,Žďárek,392383505,"[50.63375001026113, 15.109376450746781]"
36, , ,Žďárek,Žďárek,392350505,"[50.64160691462915, 15.110257856960235]"
31, , ,Žďárek,Žďárek,392366505,"[50.63513959268445, 15.111191104319156]"
41, , ,Žďárek,Žďárek,592178505,"[50.642036351070864, 15.109192271511127]"
13, , ,Žďárek,Žďárek,392391505,"[50.63707987890703, 15.112121755953948]"
29, , ,Žďárek,Žďárek,544295505,"[50.642823008845156, 15.113793036296922]"
60, , ,Žďárek,Žďárek,392345505,"[50.63767895731407, 15.112073114635665]"
43, , ,Žďárek,Žďárek,392355505,"[50.6421226744606, 15.11389028806607]"
47, , ,Žďárek,Žďárek,392398505,"[50.64361327651281, 15.101605083661088]"
2, , ,Žďárek,Žďárek,392376505,"[50.63922556255231, 15.111507544273577]"
17, , ,Žďárek,Žďárek,392386505,"[50.64092057237184, 15.112177746535115]"
55, , ,Žďárek,Žďárek,392378505,"[50.63348046622056, 15.110072038006328]"
54, , ,Žďárek,Žďárek,392379505,"[50.63320648241938, 15.109625105914233]"
59, , ,Žďárek,Žďárek,27046400010,"[50.640342851989196, 15.109871371014801]"
64, , ,Žďárek,Žďárek,51973465010,"[50.642285690941776, 15.109023554783164]"
22, , ,Žďárek,Žďárek,392365505,"[50.640741782441154, 15.112541582329177]"
46, , ,Žďárek,Žďárek,392354505,"[50.63744137477944, 15.111966948713349]"
51, , ,Žďárek,Žďárek,392397505,"[50.642438416613416, 15.10956286196778]"
3, , ,Žďárek,Žďárek,392370505,"[50.639227852520335, 15.11097977373692]"
37, , ,Žďárek,Žďárek,392346505,"[50.64140686646271, 15.111139073397096]"
48, , ,Žďárek,Žďárek,0,"[50.6411764013251, 15.108534623676414]"
57, , ,Žďárek,Žďárek,544886505,"[50.633357236237856, 15.109783382597316]"
13, , ,Žďárek,Žďárek,392412505,"[50.640315183125104, 15.111644188930983]"
